TaxaID,Rank,NonTarget,BCG_Attr,BCG_Attr2,FFG,HABIT,LIFE_CYCLE,AirBreather,TOLVAL_IA,FFG_IA,FFGDef_IA,HABIT_IA,HabitDef_IA,THERMAL_INDICATOR,COLD_IA,ColdWaterIndicatorTaxa,HABSTRUCT,PHYLUM,CLASS,SUBCLASS,ORDER,FAMILY,SUBFAMILY,GENUS,SPECIES,CommonName,IA_BugTaxaID
ACENTRELLA TURBIDA,Species,FALSE,4,4_middle,CG,SW,multi,FALSE,6,CG,Collector/Gatherer,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,BAETIDAE,,ACENTRELLA,TURBIDA,Small Minnow Mayflies,208
BAETIS,Genus,FALSE,4,4_middle,CG,"SW,CN",multi,FALSE,4.6,CG,Collector/Gatherer,sw/cb,Swimmer/Climber,,0,FALSE,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,BAETIDAE,,BAETIS,,Small Minnow Mayflies,209
GLOSSIPHONIIDAE,Family,FALSE,4,4_worse,PR,SP,"multi,uni",FALSE,7,PR,Predator,UN,Unidentified,,0,FALSE,,ANNELIDA,CLITELLATA,HIRUDINEA,RHYNCHOBDELLIDA,GLOSSIPHONIIDAE,,,,Leeches,21
ACENTRELLA PARVULA,Species,FALSE,4,4_middle,CG,SW,multi,FALSE,4,CG,Collector/Gatherer,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,BAETIDAE,,ACENTRELLA,PARVULA,Small Minnow Mayflies,210
BAETIS BRUNNEICOLOR,Species,FALSE,4,4_middle,CG,"SW,CN",multi,FALSE,4,CG,Collector/Gatherer,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,BAETIDAE,,BAETIS,BRUNNEICOLOR,Small Minnow Mayflies,211
PLAUDITUS DUBIUS,Species,FALSE,4,4_middle,CG,SW,NA,FALSE,4,CG,Collector/Gatherer,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,BAETIDAE,,PLAUDITUS,DUBIUS,Small Minnow Mayflies,212
BAETIS FLAVISTRIGA,Species,FALSE,4,4_middle,CG,"SW,CN",multi,FALSE,4,CG,Collector/Gatherer,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,BAETIDAE,,BAETIS,FLAVISTRIGA,Small Minnow Mayflies,215
BAETIS INTERCALARIS,Species,FALSE,4,4_middle,CG,"SW,CN",multi,FALSE,6,CG,Collector/Gatherer,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,BAETIDAE,,BAETIS,INTERCALARIS,Small Minnow Mayflies,216
BAETIS PLUTO,Species,FALSE,4,4_middle,CG,"SW,CN",multi,FALSE,6,CG,Collector/Gatherer,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,BAETIDAE,,BAETIS,PLUTO,Small Minnow Mayflies,217
PLAUDITUS PUNCTIVENTRIS,Species,FALSE,4,4_middle,CG,SW,NA,FALSE,5,CG,Collector/Gatherer,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,BAETIDAE,,PLAUDITUS,PUNCTIVENTRIS,Small Minnow Mayflies,218
BAETIS TRICAUDATUS,Species,FALSE,4,4_middle,CG,"SW,CN",multi,FALSE,2,CG,,UN,,cold,0,FALSE,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,BAETIDAE,,BAETIS,TRICAUDATUS,Small Minnow Mayflies,219
GLOSSIPHONIA COMPLANATA,Species,FALSE,4,4_worse,PR,SP,NA,FALSE,7,PR,Predator,UN,Unidentified,,0,FALSE,,ANNELIDA,CLITELLATA,HIRUDINEA,RHYNCHOBDELLIDA,GLOSSIPHONIIDAE,,GLOSSIPHONIA,COMPLANATA,Leeches,22
CALLIBAETIS,Genus,FALSE,4,4_worse,CG,SW,multi,FALSE,9,CG,Collector/Gatherer,sw/cn,Swimmer/Clinger,,0,FALSE,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,BAETIDAE,,CALLIBAETIS,,Small Minnow Mayflies,222
CALLIBAETIS PICTUS,Species,FALSE,4,4_worse,CG,SW,multi,FALSE,9,CG,Collector/Gatherer,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,BAETIDAE,,CALLIBAETIS,PICTUS,Small Minnow Mayflies,223
CENTROPTILUM,Genus,FALSE,4,4_middle,CG,SW,NA,FALSE,2,CG,Unidentified,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,BAETIDAE,,CENTROPTILUM,,Small Minnow Mayflies,224
FALLCEON QUILLERI,Species,FALSE,4,4_worse,"CG,SH",SW,multi,FALSE,4.8,CG,Collector/Gatherer,UN,Unidentified,,0,FALSE,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,BAETIDAE,,FALLCEON,QUILLERI,Small Minnow Mayflies,225
PLACOBDELLA,Genus,FALSE,4,4_worse,PR,SP,NA,FALSE,7,PR,Predator,UN,Unidentified,,0,FALSE,,ANNELIDA,CLITELLATA,HIRUDINEA,RHYNCHOBDELLIDA,GLOSSIPHONIIDAE,,PLACOBDELLA,,Leeches,23
