Taxon_Group,Taxon_orig,NonTarget,Rationale,OTU_MTTI,OTU_MetricCalc,OTU_BCG_MariNW,OTU_BSTI,TSN,Kingdom,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,SuperFamily,Family,SubFamily,Tribe,GenusGroup,Genus,SubGenus,SpeciesGroup,SpeciesSubGroup,SpeciesComplex,Species
Other Non-Insect,Calasellus,FALSE,Slashed taxon,DNI,Calasellus/Salmasellus,Calasellus/Salmasellus,DNI,,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Isopoda,Asellota,Aselloidea,Asellidae,,,,Calasellus/Salmasellus,,,,,
Other Non-Insect,Calasellus/Salmasellus,FALSE,Slashed taxon,DNI,Calasellus/Salmasellus,Calasellus/Salmasellus,DNI,,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Isopoda,Asellota,Aselloidea,Asellidae,,,,Calasellus/Salmasellus,,,,,
Plecoptera,Calineuria,FALSE,,Calineuria californica,Calineuria californica,Calineuria californica,Calineuria californica,102986,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Plecoptera,Systellognatha,,Perlidae,Acroneuriinae,Acroneuriini,,Calineuria,,,,,californica
Plecoptera,Calineuria californica,FALSE,,Calineuria californica,Calineuria californica,Calineuria californica,Calineuria californica,102986,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Plecoptera,Systellognatha,,Perlidae,Acroneuriinae,Acroneuriini,,Calineuria,,,,,californica
Ephemeroptera,Callibaetis,FALSE,,Callibaetis,Callibaetis,Callibaetis,DNI,100903,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Callibaetis,,,,,
Ephemeroptera,Callibaetis fluctuans,FALSE,,Callibaetis,Callibaetis,Callibaetis,DNI,100904,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Callibaetis,,,,,
Heteroptera,Callicorixa,TRUE,Excluded as water column or surface dwellers,DNI,DNI,DNI,DNI,103514,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hemiptera,Heteroptera,,Corixidae,Corixinae,,,Callicorixa,,,,,
Heteroptera,Callicorixa vulnerata,TRUE,Excluded as water column or surface dwellers,DNI,DNI,DNI,DNI,103514,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hemiptera,Heteroptera,,Corixidae,Corixinae,,,Callicorixa,,,,,
Plecoptera,Calliperla,FALSE,Single Species in Genus,DNI,Calliperla,Calliperla,DNI,103156,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Plecoptera,Systellognatha,,Perlioidae,,,,Calliperla,,,,,
Plecoptera,Calliperla luctuosa,FALSE,Single Species in Genus,DNI,Calliperla,Calliperla,DNI,103156,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Plecoptera,Systellognatha,,Perlioidae,,,,Calliperla,,,,,
Diptera,Caloparyphus,FALSE,,Stratiomyidae,Caloparyphus,Caloparyphus,DNI,130409,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,,Stratiomyidae,Stratiomyinae,Oxycerini,,Caloparyphus,,,,,
Diptera,Caloparyphus/Euparyphus,FALSE,,Stratiomyidae,Stratiomyidae,Stratiomyidae,DNI,130150,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,,Stratiomyidae,,,,,,,,,
Odonata,Calopterygidae,FALSE,,DNI,Calopterygidae,Calopterygidae,DNI,102043,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Zygoptera,,Calopterygidae,,,,,,,,,
Odonata,Calopteryx,FALSE,,DNI,Calopteryx,Calopteryx,DNI,102052,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Zygoptera,,Calopterygidae,,,,Calopteryx,,,,,
Odonata,Calopteryx aequabilis,FALSE,,DNI,Calopteryx,Calopteryx,DNI,102052,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Zygoptera,,Calopterygidae,,,,Calopteryx,,,,,
Other Non-Insect,Cambaridae,FALSE,,DNI,Cambaridae,Cambaridae,DNI,97336,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Decapoda,Pleocyemata,,Cambaridae,,,,,,,,,
Ephemeroptera,Camelobaetidius,FALSE,,DNI,Camelobaetidius,Camelobaetidius,DNI,568548,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Camelobaetidius,,,,,
Ephemeroptera,Camelobaetidius warreni,FALSE,,DNI,Camelobaetidius,Camelobaetidius,DNI,568548,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Camelobaetidius,,,,,
Terrestrial,Canaceidae,TRUE,Terrestrial,DNI,DNI,DNI,DNI,148316,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,,Canaceidae,,,,,,,,,
Other Non-Insect,Canthocamptidae,TRUE,excluded from BMI samples,DNI,DNI,DNI,DNI,88132,Animalia,Arthropoda,Crustacea,Maxillopoda,Copepoda,Harpactacoida,,,Canthocamptidae,,,,,,,,,
Plecoptera,Capnia,FALSE,,Capniidae,Capniidae,Capniidae,Capniidae,102643,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Plecoptera,Euholognatha,,Capniidae,,,,,,,,,
Plecoptera,Capnia/Arsapnia,FALSE,,Capniidae,Capniidae,Capniidae,Capniidae,102643,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Plecoptera,Euholognatha,,Capniidae,,,,,,,,,
Plecoptera,Capniidae,FALSE,,Capniidae,Capniidae,Capniidae,Capniidae,102643,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Plecoptera,Euholognatha,,Capniidae,,,,,,,,,
Terrestrial,Carabidae,TRUE,Terrestrial,DNI,DNI,DNI,DNI,109234,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Adephaga,,Carabidae,,,,,,,,,
Chironomidae,Cardiocladius,FALSE,,Cardiocladius,Cardiocladius,Cardiocladius,Cardiocladius,128511,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Cardiocladius,,,,,
Chironomidae,Cardiocladius albiplumus,FALSE,,Cardiocladius,Cardiocladius,Cardiocladius,Cardiocladius,128511,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Cardiocladius,,,,,
Chironomidae,Cardiocladius obscurus,FALSE,,Cardiocladius,Cardiocladius,Cardiocladius,Cardiocladius,128511,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Cardiocladius,,,,,
Plecoptera,Cascadoperla,FALSE,Single Species in Genus,DNI,Cascadoperla,Cascadoperla,DNI,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Plecoptera,Systellognatha,,Perlodidae,Isoperlinae,,,Cascadoperla,,,,,
Other Non-Insect,Catenulida,FALSE,,Trepaxonemata,Trepaxonemata,Trepaxonemata,Trepaxonemata,914204,Animalia,Platyhelminthes,Rhabditophora,Trepaxonemata,,,,,,,,,,,,,,
Fish,Caudata,TRUE,Fish,DNI,DNI,DNI,DNI,173584,Animalia,Chordata,Vertebrata,Amphibia,,Caudata,,,,,,,,,,,,
Ephemeroptera,Caudatella,FALSE,,DNI,Caudatella,Caudatella,Caudatella,101347,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Furcatergalia,,Ephemerellidae,,,,Caudatella,,,,,
Ephemeroptera,Caudatella  ,FALSE,Trailing space after genus Name,DNI,Caudatella,Caudatella,Caudatella,101347,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Furcatergalia,,Ephemerellidae,,,,Caudatella,,,,,
Ephemeroptera,Caudatella cascadia,FALSE,current nomenclature,Caudatella hystrix,Caudatella hystrix,Caudatella hystrix,Caudatella,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Furcatergalia,,Ephemerellidae,,,,Caudatella,,,,,cascadia
Ephemeroptera,Caudatella edmundsi,FALSE,,DNI,Caudatella edmundsi,Caudatella edmundsi,Caudatella,568631,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Furcatergalia,,Ephemerellidae,,,,Caudatella,,,,,edmundsi
Ephemeroptera,Caudatella heterocaudata,FALSE,,Caudatella heterocaudata complex,Caudatella heterocaudata complex,Caudatella heterocaudata complex,Caudatella,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Furcatergalia,,Ephemerellidae,,,,Caudatella,,,,heterocaudata complex,
Ephemeroptera,Caudatella heterocaudata complex,FALSE,,Caudatella heterocaudata complex,Caudatella heterocaudata complex,Caudatella heterocaudata complex,Caudatella,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Furcatergalia,,Ephemerellidae,,,,Caudatella,,,,heterocaudata complex,
Ephemeroptera,Caudatella heterocaudata group,FALSE,,Caudatella heterocaudata complex,Caudatella heterocaudata complex,Caudatella heterocaudata complex,Caudatella,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Furcatergalia,,Ephemerellidae,,,,Caudatella,,,,heterocaudata complex,
Ephemeroptera,Caudatella hystrix,FALSE,,Caudatella hystrix,Caudatella hystrix,Caudatella hystrix,Caudatella,101348,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Furcatergalia,,Ephemerellidae,,,,Caudatella,,,,,hystrix
Ephemeroptera,Caudatella jacobi,FALSE,,DNI,Caudatella jacobi,Caudatella jacobi,Caudatella,568632,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Furcatergalia,,Ephemerellidae,,,,Caudatella,,,,,jacobi
Terrestrial,Cecidomyiidae,TRUE,Terrestrial,DNI,DNI,DNI,DNI,122975,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Cecidomyiidae,,,,,,,,,
Heteroptera,Cenocorixa,TRUE,Excluded as water column or surface dwellers,DNI,DNI,DNI,DNI,103501,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hemiptera,Heteroptera,,Corixidae,Corixinae,,,Cenocorixa,,,,,
Ephemeroptera,Centroptilum,FALSE,Slashed taxon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Anafroptilum/Procloeon,,,,,
Ephemeroptera,Centroptilum/Procloeon,FALSE,Slashed taxon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Anafroptilum/Procloeon,,,,,
Trichoptera,Ceraclea,FALSE,,DNI,Ceraclea,Ceraclea,DNI,116684,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Leptoceridae,Leptocerinae,Athripsodini,,Ceraclea,,,,,
Trichoptera,Ceraclea alces,FALSE,,DNI,Ceraclea,Ceraclea,DNI,116684,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Leptoceridae,Leptocerinae,Athripsodini,,Ceraclea,,,,,
Diptera,Ceratopogon,FALSE,Too Many unknown Genera,Ceratopogoninae,Ceratopogoninae,Ceratopogoninae,Ceratopogoninae,127338,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Ceratopogonidae,Ceratopogoninae,,,,,,,,
Diptera,Ceratopogon borealis,FALSE,Too Many unknown Genera,Ceratopogoninae,Ceratopogoninae,Ceratopogoninae,Ceratopogoninae,127338,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Ceratopogonidae,Ceratopogoninae,,,,,,,,
Diptera,Ceratopogonidae,FALSE,Too Many unknown Genera,DNI,Ceratopogonidae,Ceratopogonidae,DNI,127338,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Ceratopogonidae,Ceratopogoninae,,,,,,,,
Diptera,Ceratopogoninae,FALSE,Too Many unknown Genera,Ceratopogoninae,Ceratopogoninae,Ceratopogoninae,Ceratopogoninae,127338,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Ceratopogonidae,Ceratopogoninae,,,,,,,,
Trichoptera,Ceratopsyche,FALSE,,Hydropsyche,Hydropsyche,Hydropsyche,Hydropsyche,115453,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Hydropsychidae,Hydropsychinae,,,Hydropsyche,,,,,
Trichoptera,Ceratopsyche alternans/cockerelli,FALSE,,Hydropsyche,Hydropsyche,Hydropsyche,Hydropsyche,115453,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Hydropsychidae,Hydropsychinae,,,Hydropsyche,,,,,
Trichoptera,Ceratopsyche amblis,FALSE,,Hydropsyche,Hydropsyche,Hydropsyche,Hydropsyche,115453,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Hydropsychidae,Hydropsychinae,,,Hydropsyche,,,,,
Trichoptera,Ceratopsyche centra,FALSE,,Hydropsyche,Hydropsyche,Hydropsyche,Hydropsyche,115453,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Hydropsychidae,Hydropsychinae,,,Hydropsyche,,,,,
Trichoptera,Ceratopsyche cockerelli,FALSE,,Hydropsyche,Hydropsyche,Hydropsyche,Hydropsyche,115453,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Hydropsychidae,Hydropsychinae,,,Hydropsyche,,,,,
Trichoptera,Ceratopsyche oslari,FALSE,,Hydropsyche,Hydropsyche,Hydropsyche,Hydropsyche,115453,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Hydropsychidae,Hydropsychinae,,,Hydropsyche,,,,,
Ephemeroptera,Cercobrachys,FALSE,,DNI,Cercobrachys,Cercobrachys,DNI,568556,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Furcatergalia,,Caenidae,Brachycercinae,Cercobrachini,,Cercobrachys,,,,,
Other Non-Insect,Ceriodaphnia,TRUE,excluded from BMI samples,DNI,DNI,DNI,DNI,83905,Animalia,Arthropoda,Crustacea,Branchiopoda,,Diplostraca,Cladocera,,Daphniidae,,,,Ceriodaphnia,,,,,
Oligochaeta,Cernosvitoviella,FALSE,,DNI,Cernosvitoviella,Oligochaeta,DNI,68534,Animalia,Annelida,,Clitellata,Oligochaeta,Enchytraeida,,,Enchytraeidae,,,,Cernosvitoviella,,,,,
Chironomidae,Chaetocladius,FALSE,,Chaetocladius,Chaetocladius,Chaetocladius,Chaetocladius,128520,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Chaetocladius,,,,,
Chironomidae,Chaetocladius ligni,FALSE,,Chaetocladius,Chaetocladius,Chaetocladius,Chaetocladius,128520,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Chaetocladius,,,,,
Oligochaeta,Chaetogaster,FALSE,,Naidinae,Chaetogaster,Oligochaeta,Naidinae,68934,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,Chaetogaster,,,,,
Terrestrial,Chama,TRUE,Marine,DNI,DNI,DNI,DNI,,Animalia,Mollusca,,Bivalvia,Heterodonta,Veneroida,,,Chamidae,,,,Chama,,,,,
Oligochaeta,Chamaedrilus,FALSE,,Chamaedrilus,Chamaedrilus,Oligochaeta,DNI,,Animalia,Annelida,,Clitellata,Oligochaeta,Enchytraeida,,,Enchytraeidae,,,,Chamaedrilus,,,,,
Diptera,Chaoboridae,FALSE,,DNI,Chaoboridae,Chaoboridae,DNI,125886,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chaoboridae,,,,,,,,,
Diptera,Chaoborus,FALSE,,DNI,Chaoborus,Chaoborus,DNI,125904,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chaoboridae,Chaoborinae,,,Chaoborus,,,,,
Diptera,Cheilotrichia,FALSE,,DNI,Cheilotrichia,Cheilotrichia,DNI,120420,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Limoniidae,Chioneinae,,,Cheilotrichia,,,,,
Diptera,Chelifer,FALSE,Slashed taxon,Chelifera/Metachela,Chelifera/Metachela,Chelifera/Metachela,Chelifera/Metachela,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,,Empididae,Hemerodromiinae,Hemerodromiini,,Chelifera/Metachela,,,,,
Diptera,Chelifera,FALSE,Slashed taxon,Chelifera/Metachela,Chelifera/Metachela,Chelifera/Metachela,Chelifera/Metachela,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,,Empididae,Hemerodromiinae,Hemerodromiini,,Chelifera/Metachela,,,,,
Diptera,Chelifera / Metachela,FALSE,Slashed taxon,Chelifera/Metachela,Chelifera/Metachela,Chelifera/Metachela,Chelifera/Metachela,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,,Empididae,Hemerodromiinae,Hemerodromiini,,Chelifera/Metachela,,,,,
Diptera,Chelifera/Metachela,FALSE,Slashed taxon,Chelifera/Metachela,Chelifera/Metachela,Chelifera/Metachela,Chelifera/Metachela,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,,Empididae,Hemerodromiinae,Hemerodromiini,,Chelifera/Metachela,,,,,
Diptera,Chelifera/Metachela Group,FALSE,Slashed taxon,Chelifera/Metachela,Chelifera/Metachela,Chelifera/Metachela,Chelifera/Metachela,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,,Empididae,Hemerodromiinae,Hemerodromiini,,Chelifera/Metachela,,,,,
Diptera,Chelifera/Neoplasta,FALSE,,DNI,Empididae,Empididae,DNI,135830,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,,Empididae,,,,,,,,,
Other Non-Insect,Chelomideopsis,FALSE,,Athienemanniidae,Chelomideopsis,Trombidiformes,DNI,83517,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Athienemanniidae,,,,Chelomideopsis,,,,,
Coleoptera,Cheryl Barr Undescribed,FALSE,,Bryelmis,Bryelmis,Bryelmis,DNI,945749,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Elmidae,,,,Bryelmis,,,,,
Trichoptera,Cheumatopsyche,FALSE,,Cheumatopsyche,Cheumatopsyche,Cheumatopsyche,Cheumatopsyche,115408,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Hydropsychidae,Hydropsychinae,,,Cheumatopsyche,,,,,
Trichoptera,Cheumatopsyche (Cheumatopsychodes),FALSE,,Cheumatopsyche,Cheumatopsyche,Cheumatopsyche,Cheumatopsyche,115408,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Hydropsychidae,Hydropsychinae,,,Cheumatopsyche,,,,,
Trichoptera,Cheumatopsyche campyla,FALSE,,Cheumatopsyche,Cheumatopsyche,Cheumatopsyche,Cheumatopsyche,115408,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Hydropsychidae,Hydropsychinae,,,Cheumatopsyche,,,,,
Trichoptera,Cheumatopsyche pettiti,FALSE,,Cheumatopsyche,Cheumatopsyche,Cheumatopsyche,Cheumatopsyche,115408,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Hydropsychidae,Hydropsychinae,,,Cheumatopsyche,,,,,
Trichoptera,Chimarra,FALSE,,Chimarra,Chimarra,Chimarra,DNI,115273,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Philopotamidae,Chimarrinae,,,Chimarra,,,,,
Diptera,Chioneinae,FALSE,best to leave at family,DNI,Limoniidae,Limoniidae,DNI,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Limoniidae,Chioneinae,,,,,,,,
Chironomidae,Chironomidae,FALSE,,DNI,Chironomidae,Chironomidae,DNI,127917,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,,,,,,,,,
Chironomidae,Chironomidae-pupae,FALSE,,DNI,Chironomidae,Chironomidae,DNI,127917,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,,,,,,,,,
Chironomidae,Chironominae,FALSE,,DNI,Chironominae,Chironominae,DNI,129228,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,,,,,,,,
Chironomidae,Chironomini,FALSE,,DNI,Chironomini,Chironomini,DNI,129229,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Chironomini,,,,,,,
Chironomidae,Chironomus,FALSE,,Chironomus,Chironomus,Chironomus,Chironomus,129254,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Chironomini,,Chironomus,,,,,
Chironomidae,Chironomus/Einfeldia,FALSE,,DNI,Chironominae,Chironominae,DNI,129228,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,,,,,,,,
Terrestrial,Chlamys,TRUE,Marine,DNI,DNI,DNI,DNI,79612,Animalia,Mollusca,,Bivalvia,Pteriomorpha,Ostreoida,,,Pectinidae,,,,Chlamys,,,,,
Plecoptera,Chloroperla,FALSE,,DNI,Chloroperlidae,Chloroperlidae,DNI,103202,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Plecoptera,Systellognatha,,Chloroperlidae,,,,,,,,,
Plecoptera,Chloroperlidae,FALSE,,DNI,Chloroperlidae,Chloroperlidae,DNI,103202,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Plecoptera,Systellognatha,,Chloroperlidae,,,,,,,,,
Plecoptera,Chloroperlinae,FALSE,,DNI,Chloroperlidae,Chloroperlidae,DNI,103202,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Plecoptera,Systellognatha,,Chloroperlidae,,,,,,,,,
Ephemeroptera,Choroterpes,FALSE,,DNI,Choroterpes,Choroterpes,DNI,101108,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Furcatergalia,,Leptophlebiidae,,,,Choroterpes,,,,,
Terrestrial,Chrysomelidae,TRUE,Terrestrial,DNI,DNI,DNI,DNI,114509,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Chrysomelidae,,,,,,,,,
Diptera,Chrysops,FALSE,,Tabanidae,Tabanidae,Tabanidae,Tabanidae,130934,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,,Tabanidae,,,,,,,,,
Other Non-Insect,Chydoridae,TRUE,Cladocera excluded,DNI,DNI,DNI,DNI,,Animalia,Arthropoda,Crustacea,Branchiopoda,,Diplostraca,Cladocera,,Chydoridae,,,,,,,,,
Trichoptera,Chyranda,FALSE,likely multiple spp.,DNI,Chyrandra,Chyrandra,DNI,568778,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Limnephilidae,Limnephilinae,Stenophylacini,,Chyrandra,,,,,
Trichoptera,Chyranda centralis,FALSE,likely multiple spp.,DNI,Chyrandra,Chyrandra,DNI,568778,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Limnephilidae,Limnephilinae,Stenophylacini,,Chyrandra,,,,,
Trichoptera,Chyranda Chyranda centralis,FALSE,likely multiple spp.,DNI,Chyrandra,Chyrandra,DNI,568778,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Limnephilidae,Limnephilinae,Stenophylacini,,Chyrandra,,,,,
Trichoptera,Chyrandra,FALSE,likely multiple spp.,DNI,Chyrandra,Chyrandra,DNI,568778,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Limnephilidae,Limnephilinae,Stenophylacini,,Chyrandra,,,,,
Trichoptera,Chyrandra centralis,FALSE,likely multiple spp.,DNI,Chyrandra,Chyrandra,DNI,568778,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Limnephilidae,Limnephilinae,Stenophylacini,,Chyrandra,,,,,
Terrestrial,Cinara,TRUE,Excluded as water column or surface dwellers,DNI,DNI,DNI,DNI,200598,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hemiptera,,,Aphididae,,,,,,,,,
Ephemeroptera,Cinygma,FALSE,,Cinygma,Cinygma,Cinygma,Cinygma,100598,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Heptageniidae,,,,Cinygma,,,,,
Ephemeroptera,Cinygmula,FALSE,,Cinygmula,Cinygmula,Cinygmula,Cinygmula,100557,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Heptageniidae,,,,Cinygmula,,,,,
Ephemeroptera,Cinygmula par,FALSE,,Cinygmula,Cinygmula,Cinygmula,Cinygmula,100557,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Heptageniidae,,,,Cinygmula,,,,,
Other Non-Insect,Cipangopaludina,FALSE,,DNI,Cipangopaludina,Cipangopaludina,DNI,70328,Animalia,Mollusca,,Gastropoda,Prosobranchia,Architaenioglossa,,,Viviparidae,,,,Cipangopaludina,,,,,
Other Non-Insect,Cipangopaludina chinensis,FALSE,,DNI,Cipangopaludina,Cipangopaludina,DNI,70328,Animalia,Mollusca,,Gastropoda,Prosobranchia,Architaenioglossa,,,Viviparidae,,,,Cipangopaludina,,,,,
Plecoptera,Claassenia,FALSE,Single Species in Genus,Claassenia sabulosa,Claassenia sabulosa,Claassenia sabulosa,DNI,102930,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Plecoptera,Systellognatha,,Perlidae,Perlinae,Perlini,,Claassenia,,,,,
Plecoptera,Claassenia sabulosa,FALSE,Single Species in Genus,Claassenia sabulosa,Claassenia sabulosa,Claassenia sabulosa,DNI,102930,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Plecoptera,Systellognatha,,Perlidae,Perlinae,Perlini,,Claassenia,,,,,
Other Non-Insect,Cladocera,TRUE,Cladocera excluded,DNI,DNI,DNI,DNI,83832,Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,Diplostraca,Cladocera,,,,,,,,,,,
Chironomidae,Cladopelma,FALSE,,DNI,Cladopelma,Cladopelma,DNI,129350,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Chironomini,,Cladopelma,,,,,
Chironomidae,Cladotanytarsus,FALSE,,Cladotanytarsus,Cladotanytarsus,Cladotanytarsus,Cladotanytarsus,129873,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Tanytarsini,,Cladotanytarsus,,,,,
