Taxon_Group,Taxon_orig,NonTarget,Changed,Rationale,OTU_MTTI,OTU_MetricCalc,OTU_BCG_MariNW,OTU_BSTI,TSN,Kingdom,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,SuperFamily,Family,SubFamily,Tribe,GenusGroup,Genus,SubGenus,SpeciesGroup,SpeciesSubGroup,SpeciesComplex,Species
Chironomidae,Cricotopus tremulus group,FALSE,yes,FORMATTING,DNI,Cricotopus Tremulus Group,Cricotopus Tremulus Group,DNI,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Cricotopus,Cricotopus,Tremulus Gr.,,,
Chironomidae,Cricotopus tremulus Group,FALSE,yes,FORMATTING,DNI,Cricotopus Tremulus Group,Cricotopus Tremulus Group,DNI,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Cricotopus,Cricotopus,Tremulus Gr.,,,
Chironomidae,Cricotopus Tremulus Group,FALSE,no,FORMATTING,DNI,Cricotopus Tremulus Group,Cricotopus Tremulus Group,DNI,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Cricotopus,Cricotopus,Tremulus Gr.,,,
Chironomidae,Cricotopus trifascia,FALSE,yes,FORMATTING,Cricotopus Trifascia Group,Cricotopus Trifascia Group,Cricotopus Trifascia Group,DNI,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Cricotopus,Cricotopus,Trifascia Gr.,,,
Chironomidae,Cricotopus Trifascia Gr.,FALSE,yes,FORMATTING,Cricotopus Trifascia Group,Cricotopus Trifascia Group,Cricotopus Trifascia Group,DNI,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Cricotopus,Cricotopus,Trifascia Gr.,,,
Chironomidae,Cricotopus trifascia group,FALSE,yes,FORMATTING,Cricotopus Trifascia Group,Cricotopus Trifascia Group,Cricotopus Trifascia Group,DNI,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Cricotopus,Cricotopus,Trifascia Gr.,,,
Chironomidae,Cricotopus trifascia Group,FALSE,yes,FORMATTING,Cricotopus Trifascia Group,Cricotopus Trifascia Group,Cricotopus Trifascia Group,DNI,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Cricotopus,Cricotopus,Trifascia Gr.,,,
Chironomidae,Cricotopus Trifascia Group,FALSE,no,FORMATTING,Cricotopus Trifascia Group,Cricotopus Trifascia Group,Cricotopus Trifascia Group,DNI,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Cricotopus,Cricotopus,Trifascia Gr.,,,
Chironomidae,Cricotopus/Orthocladius,FALSE,yes,,Orthocladius complex,Orthocladius complex,Orthocladius complex,Orthocladius complex,128874,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Orthocladius,,,,,
Other Non-Insect,Crustacea,FALSE,no,TOO COARSE,DNI,Crustacea,Crustacea,DNI,,Animalia,Arthropoda,Crustacea,,,,,,,,,,,,,,,
Trichoptera,Cryptochia,FALSE,no,,Cryptochia,Cryptochia,Cryptochia,Cryptochia,115907,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Limnephilidae,Dicosmoecinae,,,Cryptochia,,,,,
Trichoptera,Cryptochia califca,FALSE,yes,,Cryptochia,Cryptochia,Cryptochia,Cryptochia,115907,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Limnephilidae,Dicosmoecinae,,,Cryptochia,,,,,
Chironomidae,Cryptochironomus,FALSE,no,,Cryptochironomus,Cryptochironomus,Cryptochironomus,Cryptochironomus,129368,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Chironomini,,Cryptochironomus,,,,,
Diptera,Cryptolabis,FALSE,no,,Cryptolabis,Cryptolabis,Cryptolabis,Cryptolabis,120488,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Limoniidae,Chioneinae,,,Cryptolabis,,,,,
Chironomidae,Cryptotendipes,FALSE,no,,DNI,Cryptotendipes,Cryptotendipes,DNI,129394,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Chironomini,,Cryptotendipes,,,,,
Diptera,Culex,FALSE,yes,,DNI,Culicidae,Culicidae,DNI,125930,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Culicidae,,,,,,,,,
Diptera,Culex pipiens,FALSE,yes,,DNI,Culicidae,Culicidae,DNI,125930,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Culicidae,,,,,,,,,
Diptera,Culicidae,FALSE,no,,DNI,Culicidae,Culicidae,DNI,125930,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Culicidae,,,,,,,,,
Diptera,Culicoides,FALSE,yes,Too Many unknown Genera,Ceratopogoninae,Ceratopogoninae,Ceratopogoninae,Ceratopogoninae,127338,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Ceratopogonidae,Ceratopogoninae,,,,,,,,
Diptera,Culiseta,FALSE,yes,,DNI,Culicidae,Culicidae,DNI,125930,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Culicidae,,,,,,,,,
Trichoptera,Culoptila,FALSE,no,,DNI,Culoptila,Culoptila,DNI,115236,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Glossosomatidae,Protoptilinae,,,Culoptila,,,,,
Plecoptera,Cultus,FALSE,no,,DNI,Cultus,Cultus,DNI,103137,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Plecoptera,Systellognatha,,Perlodidae,Perlodinae,Diploperlini,,Cultus,,,,,
