Taxon_Orig,Rank,Appendix E target,Modified,Rationale,OTU_BCG,OTU_IBI
Choroterpes basalis,Species,genus,yes,syntax,Choroterpes,Choroterpes
Chromagrion,Genus,genus,no,,Chromagrion,Chromagrion
Chromagrion conditum,Species,genus,yes,level of taxonomic resolution,Chromagrion,Chromagrion
Chrysomelidae,Family,genus,no,,Chrysomelidae,Chrysomelidae
Chrysops,Genus,genus,no,,Chrysops,Chrysops
Chrysops ceras,Species,genus,yes,level of taxonomic resolution,Chrysops,Chrysops
Chyrandra,Genus,genus,no,,Chyrandra,Chyrandra
Cinygmula,Genus,genus,no,,Cinygmula,Cinygmula
Cipangopaludina,Genus,genus,no,,Cipangopaludina,Cipangopaludina
Claassenia,Genus,genus,no,,Claassenia,Claassenia
Cladocera,Order,,yes,non target,DNI,DNI
Cladopelma,Genus,genus,no,,Cladopelma,Cladopelma
Cladotanytarsus,Genus,genus,no,,Cladotanytarsus,Cladotanytarsus
Cladotanytarsus daviesi,Species,genus,yes,level of taxonomic resolution,Cladotanytarsus,Cladotanytarsus
Cladotanytarsus mancus,Species,genus,yes,level of taxonomic resolution,Cladotanytarsus,Cladotanytarsus
Cladotanytarsus vanderwulpi,Species,genus,yes,level of taxonomic resolution,Cladotanytarsus,Cladotanytarsus
Cladotanytarsus/Tanytarsus,Genus,genus,no,,Cladotanytarsus/Tanytarsus,Cladotanytarsus/Tanytarsus
Clathrosperchon,Genus,subclass,yes,level of taxonomic resolution,Acari,Acari
Clathrosperchonidae,Family,subclass,yes,level of taxonomic resolution,Acari,Acari
Cleptelmis,Genus,genus,no,,Cleptelmis,Cleptelmis
Climacia,Genus,genus,no,,Climacia,Climacia
Climacia areolaris,Species,genus,yes,level of taxonomic resolution,Climacia,Climacia
Clinocera,Genus,genus,no,,Clinocera,Clinocera
Clinocerinae,Subfamily,genus,no,,Clinocerinae,Clinocerinae
Clinohelea,Genus,genus,no,,Clinohelea,Clinohelea
Clinotanypus,Genus,genus,no,,Clinotanypus,Clinotanypus
Clinotanypus pinguis,Species,genus,yes,level of taxonomic resolution,Clinotanypus,Clinotanypus
Clioperla,Genus,genus,no,,Clioperla,Clioperla
Clioperla clio,Species,genus,yes,level of taxonomic resolution,Clioperla,Clioperla
Cloeon,Genus,genus,no,,Cloeon,Cloeon
Coelotanypus,Genus,genus,no,,Coelotanypus,Coelotanypus
Coenagrion,Genus,genus,no,,Coenagrion,Coenagrion
Coenagrion/Enallagma,Genus,genus,no,,Coenagrion/Enallagma,Coenagrion/Enallagma
Coenagrionidae,Family,genus,no,,Coenagrionidae,Coenagrionidae
Coleoptera,Order,genus,no,,Coleoptera,Coleoptera
Collembola,Order,order,no,,Collembola,Collembola
Collembola (Hexapoda),Order,order,yes,syntax,Collembola,Collembola
Colymbetes,Genus,genus,no,,Colymbetes,Colymbetes
Conchapelopia,Genus,genus,no,,Conchapelopia,Conchapelopia
Conchapelopia genus group,Genus,genus,yes,level of taxonomic resolution,Conchapelopia,Conchapelopia
Conchapelopia pallens,Species,genus,yes,level of taxonomic resolution,Conchapelopia,Conchapelopia
Conchapelopia/Helopelopia,Genus,genus,no,,Conchapelopia/Helopelopia,Conchapelopia/Helopelopia
Conchapelopia/Thienemannimyia,Genus,genus,no,,Conchapelopia/Thienemannimyia,Conchapelopia/Thienemannimyia
Constempellina,Genus,genus,no,,Constempellina,Constempellina
Constempellina brevicosta,Species,genus,yes,level of taxonomic resolution,Constempellina,Constempellina
Copelatus,Genus,genus,no,,Copelatus,Copelatus
Copepoda,Order,order,no,,Copepoda,Copepoda
Coptotomus,Genus,genus,no,,Coptotomus,Coptotomus
Coquillettidia,Genus,genus,no,,Coquillettidia,Coquillettidia
Corbicula,Genus,genus,no,,Corbicula,Corbicula
Corbicula fluminea,Species,genus,yes,level of taxonomic resolution,Corbicula,Corbicula
Corbiculidae,Family,genus,no,,Corbiculidae,Corbiculidae
Corbiculoidea,Family,genus,no,,Corbiculoidea,Corbiculoidea
Cordulegaster,Genus,genus,no,,Cordulegaster,Cordulegaster
Cordulegaster erronea,Species,genus,yes,level of taxonomic resolution,Cordulegaster,Cordulegaster
Cordulegaster maculata,Species,genus,yes,level of taxonomic resolution,Cordulegaster,Cordulegaster
Cordulegastridae,Family,genus,no,,Cordulegastridae,Cordulegastridae
Cordulia,Genus,genus,no,,Cordulia,Cordulia
Cordulia shurtleffi,Species,genus,yes,level of taxonomic resolution,Cordulia,Cordulia
Corduliidae,Family,genus,no,,Corduliidae,Corduliidae
Corduliidae/Libellulidae,Family,genus,no,,Corduliidae/Libellulidae,Corduliidae/Libellulidae
Corduliinae,Subfamily,genus,no,,Corduliinae,Corduliinae
Corisella,Genus,genus,no,,Corisella,Corisella
Corixidae,Family,genus,no,,Corixidae,Corixidae
Corydalidae,Family,genus,no,,Corydalidae,Corydalidae
Corydalus,Genus,genus,no,,Corydalus,Corydalus
Corydalus cornutus,Species,genus,yes,level of taxonomic resolution,Corydalus,Corydalus
Corynoneura,Genus,genus,no,,Corynoneura,Corynoneura
Corynoneura/Thienemanniella,Genus,genus,no,,Corynoneura/Thienemanniella,Corynoneura/Thienemanniella
Crambidae,Family,genus,no,,Crambidae,Crambidae
Crambus,Genus,genus,no,,Crambus,Crambus
Crangonyctidae,Family,genus,no,,Crangonyctidae,Crangonyctidae
Crangonyx,Genus,genus,no,,Crangonyx,Crangonyx
Crangonyx serratus,Species,genus,yes,level of taxonomic resolution,Crangonyx,Crangonyx
Crenitis,Genus,genus,no,,Crenitis,Crenitis
Cricotopus,Genus,genus,no,,Cricotopus,Cricotopus
Cricotopus (Isocladius),SubGenus,genus,yes,level of taxonomic resolution,Cricotopus,Cricotopus
Cricotopus bicinctus,Species,genus,yes,level of taxonomic resolution,Cricotopus,Cricotopus
Cricotopus bicinctus Gr.,Species,genus,yes,level of taxonomic resolution,Cricotopus,Cricotopus
Cricotopus infuscatus,Species,genus,yes,level of taxonomic resolution,Cricotopus,Cricotopus
Cricotopus nostocicola,Species,genus,yes,level of taxonomic resolution,Cricotopus,Cricotopus
Cricotopus patens,Species,genus,yes,level of taxonomic resolution,Cricotopus,Cricotopus
Cricotopus sylvestris,Species,genus,yes,level of taxonomic resolution,Cricotopus,Cricotopus
Cricotopus trifascia,Species,genus,yes,level of taxonomic resolution,Cricotopus,Cricotopus
Cricotopus trifascia Gr.,Species,genus,yes,level of taxonomic resolution,Cricotopus,Cricotopus
Cricotopus/Orthocladius,Genus,genus,no,,Cricotopus/Orthocladius,Cricotopus/Orthocladius
Crustacea,Class,genus,no,,Crustacea,Crustacea
Cryptochironomus,Genus,genus,no,,Cryptochironomus,Cryptochironomus
Cryptochironomus sorex,Species,genus,yes,level of taxonomic resolution,Cryptochironomus,Cryptochironomus
Cryptolabis,Genus,genus,no,,Cryptolabis,Cryptolabis
Cryptotendipes,Genus,genus,no,,Cryptotendipes,Cryptotendipes
Cryptotendipes/Cladopelma,Genus,genus,no,,Cryptotendipes/Cladopelma,Cryptotendipes/Cladopelma
Culex,Genus,genus,no,,Culex,Culex
Culicidae,Family,genus,no,,Culicidae,Culicidae
Culicoides,Genus,genus,no,,Culicoides,Culicoides
Culiseta,Genus,genus,no,,Culiseta,Culiseta
Culoptila,Genus,genus,no,,Culoptila,Culoptila
Culoptila cantha,Species,genus,yes,level of taxonomic resolution,Culoptila,Culoptila
Cultus,Genus,genus,no,,Cultus,Cultus
Cura,Genus,class,yes,level of taxonomic resolution,Turbellaria,Turbellaria
Cura foremanii,Species,class,yes,level of taxonomic resolution,Turbellaria,Turbellaria
Curculionidae,Family,genus,no,,Curculionidae,Curculionidae
Cylloepus,Genus,genus,no,,Cylloepus,Cylloepus
Cymatia,Genus,genus,no,,Cymatia,Cymatia
Cymatia americana,Species,genus,yes,level of taxonomic resolution,Cymatia,Cymatia
Cymbiodyta,Genus,genus,no,,Cymbiodyta,Cymbiodyta
Cyphon,Genus,genus,no,,Cyphon,Cyphon
Cyrnellus,Genus,genus,no,,Cyrnellus,Cyrnellus
Cyrnellus fraternus,Species,genus,yes,level of taxonomic resolution,Cyrnellus,Cyrnellus
Dannella,Genus,genus,no,,Dannella,Dannella
Dannella lita,Species,genus,yes,level of taxonomic resolution,Dannella,Dannella
Dannella simplex,Species,genus,yes,level of taxonomic resolution,Dannella,Dannella
Dasyhelea,Genus,genus,no,,Dasyhelea,Dasyhelea
Decapoda,Order,genus,no,,Decapoda,Decapoda
Demicryptochironomus,Genus,genus,no,,Demicryptochironomus,Demicryptochironomus
Dentatella,Genus,genus,no,,Dentatella,Dentatella
Dero,Genus,subclass,yes,level of taxonomic resolution,Oligochaeta,Oligochaeta
Deronectes,Genus,genus,no,,Deronectes,Deronectes
Desmopachria,Genus,genus,no,,Desmopachria,Desmopachria
Desmopachria convexa,Species,genus,yes,level of taxonomic resolution,Desmopachria,Desmopachria
Desserobdella,Genus,genus,no,,Desserobdella,Desserobdella
Desserobdella picta,Species,genus,yes,level of taxonomic resolution,Desserobdella,Desserobdella
Diamesa,Genus,genus,no,,Diamesa,Diamesa
Diamesinae,Subfamily,genus,no,,Diamesinae,Diamesinae
Dibusa,Genus,genus,no,,Dibusa,Dibusa
Dibusa angata,Species,genus,yes,level of taxonomic resolution,Dibusa,Dibusa
Dicranomyia,Genus,genus,no,,Dicranomyia,Dicranomyia
Dicranota,Genus,genus,no,,Dicranota,Dicranota
Dicrotendipes,Genus,genus,no,,Dicrotendipes,Dicrotendipes
Dicrotendipes fumidus,Species,genus,yes,level of taxonomic resolution,Dicrotendipes,Dicrotendipes
Dicrotendipes modestus,Species,genus,yes,level of taxonomic resolution,Dicrotendipes,Dicrotendipes
Dicrotendipes neomodestus,Species,genus,yes,level of taxonomic resolution,Dicrotendipes,Dicrotendipes
Didymops,Genus,genus,no,,Didymops,Didymops
Didymops transversa,Species,genus,yes,level of taxonomic resolution,Didymops,Didymops
Dina,Genus,genus,no,,Dina,Dina
Dina parva,Species,genus,yes,level of taxonomic resolution,Dina,Dina
Dineutus,Genus,genus,no,,Dineutus,Dineutus
Dineutus assimilis,Species,genus,yes,level of taxonomic resolution,Dineutus,Dineutus
Dineutus ciliatus,Species,genus,yes,level of taxonomic resolution,Dineutus,Dineutus
Dineutus discolor,Species,genus,yes,level of taxonomic resolution,Dineutus,Dineutus
Dineutus serrulatus,Species,genus,yes,level of taxonomic resolution,Dineutus,Dineutus
Diphetor,Genus,genus,no,,Diphetor,Diphetor
Diphetor hageni,Species,genus,yes,level of taxonomic resolution,Diphetor,Diphetor
Diplectrona,Genus,genus,no,,Diplectrona,Diplectrona
Diplectrona modesta,Species,genus,yes,level of taxonomic resolution,Diplectrona,Diplectrona
Diplocladius,Genus,genus,no,,Diplocladius,Diplocladius
Diplocladius cultriger,Species,genus,yes,level of taxonomic resolution,Diplocladius,Diplocladius
Diploperla,Genus,genus,no,,Diploperla,Diploperla
Diploperla duplicata,Species,genus,yes,level of taxonomic resolution,Diploperla,Diploperla
Dipseudopsidae,Family,genus,no,,Dipseudopsidae,Dipseudopsidae
Diptera,Order,genus,no,,Diptera,Diptera
Discocerina,Genus,genus,no,,Discocerina,Discocerina
Diura,Genus,genus,no,,Diura,Diura
Diura/Mulirekus,Genus,genus,no,,Diura/Mulirekus,Diura/Mulirekus
Dixa,Genus,genus,no,,Dixa,Dixa
Dixella,Genus,genus,no,,Dixella,Dixella
Dixella indiana,Species,genus,yes,level of taxonomic resolution,Dixella,Dixella
Dixidae,Family,genus,no,,Dixidae,Dixidae
Djalmabatista,Genus,genus,no,,Djalmabatista,Djalmabatista
DNI,,,,,DNI,DNI
Dolichocephala,Genus,genus,yes,level of taxonomic resolution,Taphromysis,Taphromysis
Dolichopodidae,Family,genus,no,,Dolichopodidae,Dolichopodidae
Dolichopus,Genus,genus,no,,Dolichopus,Dolichopus
Dolophilodes,Genus,genus,no,,Dolophilodes,Dolophilodes
Dolophilodes distinctus,Species,genus,yes,level of taxonomic resolution,Dolophilodes,Dolophilodes
Donacia,Genus,genus,no,,Donacia,Donacia
Donaciinae,Subfamily,genus,no,,Donaciinae,Donaciinae
Doncricotopus,Genus,genus,no,,Doncricotopus,Doncricotopus
Doncricotopus bicaudatus,Species,genus,yes,level of taxonomic resolution,Doncricotopus,Doncricotopus
Dorocordulia,Genus,genus,no,,Dorocordulia,Dorocordulia
Dorocordulia libera,Species,genus,yes,level of taxonomic resolution,Dorocordulia,Dorocordulia
Dorylaimidae,Family,phylum,no,,Dorylaimidae,Dorylaimidae
Dreissena,Genus,genus,no,,Dreissena,Dreissena
Dreissena polymorpha,Species,genus,yes,level of taxonomic resolution,Dreissena,Dreissena
Dreissenidae,Family,genus,no,,Dreissenidae,Dreissenidae
Dromogomphus,Genus,genus,no,,Dromogomphus,Dromogomphus
Dromogomphus spinosus,Species,genus,yes,level of taxonomic resolution,Dromogomphus,Dromogomphus
Drunella,Genus,genus,no,,Drunella,Drunella
Drunella cornuta,Species,genus,yes,level of taxonomic resolution,Drunella,Drunella
Drunella cornutella,Species,genus,yes,level of taxonomic resolution,Drunella,Drunella
Drunella lata,Species,genus,yes,level of taxonomic resolution,Drunella,Drunella
Drunella tuberculata,Species,genus,yes,level of taxonomic resolution,Drunella,Drunella
Dryopidae,Family,genus,no,,Dryopidae,Dryopidae
Dubiraphia,Genus,genus,no,,Dubiraphia,Dubiraphia
Dubiraphia (larvae),Genus,genus,yes,syntax,Dubiraphia,Dubiraphia
Dubiraphia bivittata,Species,genus,yes,level of taxonomic resolution,Dubiraphia,Dubiraphia
Dubiraphia minima,Species,genus,yes,level of taxonomic resolution,Dubiraphia,Dubiraphia
Dubiraphia quadrinotata,Species,genus,yes,level of taxonomic resolution,Dubiraphia,Dubiraphia
Dubiraphia robusta,Species,genus,yes,level of taxonomic resolution,Dubiraphia,Dubiraphia
Dubiraphia vittata,Species,genus,yes,level of taxonomic resolution,Dubiraphia,Dubiraphia
Dugesia,Genus,class,yes,level of taxonomic resolution,Turbellaria,Turbellaria
Dugesia tigrina,Species,class,yes,level of taxonomic resolution,Turbellaria,Turbellaria
Dugesiidae,Family,class,yes,level of taxonomic resolution,Turbellaria,Turbellaria
Dytiscidae,Family,genus,no,,Dytiscidae,Dytiscidae
Dytiscinae,Subfamily,genus,no,,Dytiscinae,Dytiscinae
Dytiscus,Genus,genus,no,,Dytiscus,Dytiscus
Eccoptura,Genus,genus,no,,Eccoptura,Eccoptura
Eccoptura xanthenes,Species,genus,yes,level of taxonomic resolution,Eccoptura,Eccoptura
Ectemnia,Genus,genus,no,,Ectemnia,Ectemnia
Ectopria,Genus,genus,no,,Ectopria,Ectopria
Ectopria nervosa,Species,genus,yes,level of taxonomic resolution,Ectopria,Ectopria
Einfeldia,Genus,genus,no,,Einfeldia,Einfeldia
Elimia,Genus,genus,no,,Elimia,Elimia
Elimia livescens,Species,genus,yes,level of taxonomic resolution,Elimia,Elimia
Elimia/Pleurocera,Genus,genus,no,,Elimia/Pleurocera,Elimia/Pleurocera
Elliptio,Genus,genus,no,,Elliptio,Elliptio
Elliptio complanata,Species,genus,yes,level of taxonomic resolution,Elliptio,Elliptio
Elliptoideus,Genus,genus,no,,Elliptoideus,Elliptoideus
Elmidae,Family,genus,no,,Elmidae,Elmidae
Elophila,Genus,genus,no,,Elophila,Elophila
Empididae,Family,genus,no,,Empididae,Empididae
Enallagma,Genus,genus,no,,Enallagma,Enallagma
Enallagma basidens,Species,genus,yes,level of taxonomic resolution,Enallagma,Enallagma
Enallagma civile,Species,genus,yes,level of taxonomic resolution,Enallagma,Enallagma
Enallagma cyathigerum,Species,genus,yes,level of taxonomic resolution,Enallagma,Enallagma
Enallagma divagans,Species,genus,yes,level of taxonomic resolution,Enallagma,Enallagma
Enallagma signatum,Species,genus,yes,level of taxonomic resolution,Enallagma,Enallagma
Enallagma/Ischnura,Genus,genus,no,,Enallagma/Ischnura,Enallagma/Ischnura
Enchytraeidae,Family,subclass,yes,,Oligochaeta,Oligochaeta
Endochironomus,Genus,genus,no,,Endochironomus,Endochironomus
Endotribelos,Genus,genus,no,,Endotribelos,Endotribelos
Enochrus,Genus,genus,no,,Enochrus,Enochrus
Enochrus ochraceus,Species,genus,yes,level of taxonomic resolution,Enochrus,Enochrus
Entomobryidae,Family,family,no,,Entomobryidae,Entomobryidae
Epeorus,Genus,genus,no,,Epeorus,Epeorus
Epeorus pleuralis,Species,genus,yes,level of taxonomic resolution,Epeorus,Epeorus
Epeorus vitreus,Species,genus,yes,level of taxonomic resolution,Epeorus,Epeorus
Ephemera,Genus,genus,no,,Ephemera,Ephemera
Ephemera (Ephemeridae),Genus,genus,yes,level of taxonomic resolution,Ephemera,Ephemera
Ephemera guttulata,Species,genus,yes,level of taxonomic resolution,Ephemera,Ephemera
Ephemera simulans,Species,genus,yes,level of taxonomic resolution,Ephemera,Ephemera
Ephemera varia,Species,genus,yes,level of taxonomic resolution,Ephemera,Ephemera
Ephemerella,Genus,genus,no,,Ephemerella,Ephemerella
Ephemerella aurivillii,Species,genus,yes,level of taxonomic resolution,Ephemerella,Ephemerella
Ephemerella dorothea,Species,genus,yes,level of taxonomic resolution,Ephemerella,Ephemerella
Ephemerella dorothea dorothea,Species,genus,yes,level of taxonomic resolution,Ephemerella,Ephemerella
Ephemerella excrucians,Species,genus,yes,level of taxonomic resolution,Ephemerella,Ephemerella
Ephemerella inconstans,Species,genus,yes,level of taxonomic resolution,Ephemerella,Ephemerella
Ephemerella invaria,Species,genus,yes,level of taxonomic resolution,Ephemerella,Ephemerella
Ephemerella needhami,Species,genus,yes,level of taxonomic resolution,Ephemerella,Ephemerella
Ephemerella rotunda,Species,genus,yes,level of taxonomic resolution,Ephemerella,Ephemerella
Ephemerella septentrionalis,Species,genus,yes,level of taxonomic resolution,Ephemerella,Ephemerella
Ephemerella subvaria,Species,genus,yes,level of taxonomic resolution,Ephemerella,Ephemerella
Ephemerella/Serratella,Genus,genus,no,,Ephemerella/Serratella,Ephemerella/Serratella
Ephemerellidae,Family,genus,no,,Ephemerellidae,Ephemerellidae
Ephemeridae,Family,genus,no,,Ephemeridae,Ephemeridae
Ephemeroptera,Order,genus,no,,Ephemeroptera,Ephemeroptera
Ephoron,Genus,genus,no,,Ephoron,Ephoron
Ephoron album,Species,genus,yes,level of taxonomic resolution,Ephoron,Ephoron
Ephoron leukon,Species,genus,yes,level of taxonomic resolution,Ephoron,Ephoron
Ephydra,Genus,genus,no,,Ephydra,Ephydra
Ephydridae,Family,genus,no,,Ephydridae,Ephydridae
Epiaeschna,Genus,genus,no,,Epiaeschna,Epiaeschna
Epitheca,Genus,genus,no,,Epitheca,Epitheca
Epitheca (Tetragoneuria),Genus,genus,yes,level of taxonomic resolution,Epitheca,Epitheca
Epitheca canis,Species,genus,yes,level of taxonomic resolution,Epitheca,Epitheca
Epitheca princeps,Species,genus,yes,level of taxonomic resolution,Epitheca,Epitheca
Epitheca spinigera,Species,genus,yes,level of taxonomic resolution,Epitheca,Epitheca
Epoicocladius,Genus,genus,no,,Epoicocladius,Epoicocladius
Eriocera,Genus,genus,no,,Eriocera,Eriocera
Erioptera,Genus,genus,no,,Erioptera,Erioptera
Erioptera/Ormosia,Genus,genus,no,,Erioptera/Ormosia,Erioptera/Ormosia
Eriopterini,Tribe,genus,no,,Eriopterini,Eriopterini
Eristalis,Genus,genus,no,,Eristalis,Eristalis
Erpetogomphus,Genus,genus,no,,Erpetogomphus,Erpetogomphus
Erpetogomphus designatus,Species,genus,yes,level of taxonomic resolution,Erpetogomphus,Erpetogomphus
Erpetogomphus/Gomphus,Genus,genus,no,,Erpetogomphus/Gomphus,Erpetogomphus/Gomphus
Erpobdella,Genus,genus,no,,Erpobdella,Erpobdella
Erpobdella parva,Species,genus,yes,level of taxonomic resolution,Erpobdella,Erpobdella
Erpobdella punctata,Species,genus,yes,level of taxonomic resolution,Erpobdella,Erpobdella
Erpobdellidae,Family,genus,no,,Erpobdellidae,Erpobdellidae
Erythemis,Genus,genus,no,,Erythemis,Erythemis
Eucorethra,Genus,genus,no,,Eucorethra,Eucorethra
Euholognatha,SubOrder,genus,no,,Euholognatha,Euholognatha
Eukiefferiella,Genus,genus,no,,Eukiefferiella,Eukiefferiella
Eukiefferiella brehmi Gr.,Species,genus,yes,level of taxonomic resolution,Eukiefferiella,Eukiefferiella
Eukiefferiella brevicalcar,Species,genus,yes,level of taxonomic resolution,Eukiefferiella,Eukiefferiella
Eukiefferiella brevicalcar Gr.,Species,genus,yes,level of taxonomic resolution,Eukiefferiella,Eukiefferiella
Eukiefferiella claripennis,Species,genus,yes,level of taxonomic resolution,Eukiefferiella,Eukiefferiella
Eukiefferiella claripennis Gr.,Species,genus,yes,level of taxonomic resolution,Eukiefferiella,Eukiefferiella
Eukiefferiella devonica,Species,genus,yes,level of taxonomic resolution,Eukiefferiella,Eukiefferiella
Eukiefferiella devonica Gr.,Species,genus,yes,level of taxonomic resolution,Eukiefferiella,Eukiefferiella
Eukiefferiella gracei,Species,genus,yes,level of taxonomic resolution,Eukiefferiella,Eukiefferiella
Eukiefferiella gracei Gr.,Species,genus,yes,level of taxonomic resolution,Eukiefferiella,Eukiefferiella
Eukiefferiella pseudomontana,Species,genus,yes,level of taxonomic resolution,Eukiefferiella,Eukiefferiella
Eukiefferiella pseudomontana Gr.,Species,genus,yes,level of taxonomic resolution,Eukiefferiella,Eukiefferiella
Eukiefferiella tirolensis,Species,genus,yes,level of taxonomic resolution,Eukiefferiella,Eukiefferiella
Eukiefferiella/Tvetenia,Genus,genus,no,,Eukiefferiella/Tvetenia,Eukiefferiella/Tvetenia
Euparyphus,Genus,genus,no,,Euparyphus,Euparyphus
Eupera,Genus,genus,no,,Eupera,Eupera
Eupera cubensis,Species,genus,yes,level of taxonomic resolution,Eupera,Eupera
Euphylidorea,Genus,genus,no,,Euphylidorea,Euphylidorea
Euryhapsis,Genus,genus,no,,Euryhapsis,Euryhapsis
Eurylophella,Genus,genus,no,,Eurylophella,Eurylophella
Eurylophella bicolor,Species,genus,yes,level of taxonomic resolution,Eurylophella,Eurylophella
Eurylophella funeralis,Species,genus,yes,level of taxonomic resolution,Eurylophella,Eurylophella
Eurylophella lutulenta,Species,genus,yes,level of taxonomic resolution,Eurylophella,Eurylophella
Eurylophella temporalis,Species,genus,yes,level of taxonomic resolution,Eurylophella,Eurylophella
Fabria,Genus,genus,no,,Fabria,Fabria
Fabria inornatus,Species,genus,yes,level of taxonomic resolution,Fabria,Fabria
Fallceon,Genus,genus,no,,Fallceon,Fallceon
Fallceon quilleri,Species,genus,yes,level of taxonomic resolution,Fallceon,Fallceon
Fattigia/Agarodes,Genus,genus,no,,Fattigia/Agarodes,Fattigia/Agarodes
Faxonius,Genus,genus,no,,Faxonius,Faxonius
Faxonius immunis,Species,genus,yes,level of taxonomic resolution,Faxonius,Faxonius
Faxonius rusticus,Species,genus,yes,level of taxonomic resolution,Faxonius,Faxonius
Faxonius virilis,Species,genus,yes,level of taxonomic resolution,Faxonius,Faxonius
Feltria,Genus,subclass,yes,level of taxonomic resolution,Acari,Acari
Feltriidae,Family,subclass,yes,level of taxonomic resolution,Acari,Acari
Ferrissia,Genus,genus,no,,Ferrissia,Ferrissia
Ferrissia rivularis,Species,genus,yes,level of taxonomic resolution,Ferrissia,Ferrissia
Fissimentum,Genus,genus,no,,Fissimentum,Fissimentum
Fittkauimyia,Genus,genus,no,,Fittkauimyia,Fittkauimyia
Fontigens,Genus,genus,no,,Fontigens,Fontigens
Forcipomyia,Genus,genus,no,,Forcipomyia,Forcipomyia
Forcipomyiinae,Subfamily,genus,no,,Forcipomyiinae,Forcipomyiinae
Forelia,Genus,subclass,yes,level of taxonomic resolution,Acari,Acari
Fossaria,Genus,genus,no,,Fossaria,Fossaria
Fossaria rustica,Species,genus,yes,level of taxonomic resolution,Fossaria,Fossaria
Frenesia,Genus,genus,no,,Frenesia,Frenesia
Frenesia missa,Species,genus,yes,level of taxonomic resolution,Frenesia,Frenesia
Galba,Genus,genus,no,,Galba,Galba
Gammaridae,Family,genus,no,,Gammaridae,Gammaridae
Gammarus,Genus,genus,no,,Gammarus,Gammarus
Gammarus dulongii,Species,genus,yes,level of taxonomic resolution,Gammarus,Gammarus
Gammarus fasciatus,Species,genus,yes,level of taxonomic resolution,Gammarus,Gammarus
Gammarus lacustris,Species,genus,yes,level of taxonomic resolution,Gammarus,Gammarus
Gammarus pseudolimnaeus,Species,genus,yes,level of taxonomic resolution,Gammarus,Gammarus
Gastropoda,Class,genus,no,,Gastropoda,Gastropoda
Georthocladius,Genus,genus,no,,Georthocladius,Georthocladius
Gerridae,Family,genus,no,,Gerridae,Gerridae
Gerrinae,Subfamily,genus,no,,Gerrinae,Gerrinae
Gerris,Genus,genus,no,,Gerris,Gerris
Gerris argenticollis,Species,genus,yes,level of taxonomic resolution,Gerris,Gerris
Gerris buenoi,Species,genus,yes,level of taxonomic resolution,Gerris,Gerris
Gerris insperatus,Species,genus,yes,level of taxonomic resolution,Gerris,Gerris
Glossiphonia,Genus,genus,no,,Glossiphonia,Glossiphonia
Glossiphonia complanata,Species,genus,yes,level of taxonomic resolution,Glossiphonia,Glossiphonia
Glossiphonia elegans,Species,genus,yes,level of taxonomic resolution,Glossiphonia,Glossiphonia
Glossiphoniidae,Family,genus,no,,Glossiphoniidae,Glossiphoniidae
Glossosoma,Genus,genus,no,,Glossosoma,Glossosoma
Glossosoma intermedium,Species,genus,yes,level of taxonomic resolution,Glossosoma,Glossosoma
Glossosoma lividum,Species,genus,yes,level of taxonomic resolution,Glossosoma,Glossosoma
Glossosoma nigrior,Species,genus,yes,level of taxonomic resolution,Glossosoma,Glossosoma
Glossosomatidae,Family,genus,no,,Glossosomatidae,Glossosomatidae
Glyphopsyche,Genus,genus,no,,Glyphopsyche,Glyphopsyche
Glyphopsyche irrorata,Species,genus,yes,level of taxonomic resolution,Glyphopsyche,Glyphopsyche
Glyptotendipes,Genus,genus,no,,Glyptotendipes,Glyptotendipes
Goeldichironomus,Genus,genus,no,,Goeldichironomus,Goeldichironomus
Goera,Genus,genus,no,,Goera,Goera
Goera stylata,Species,genus,yes,level of taxonomic resolution,Goera,Goera
Goeridae,Family,genus,no,,Goeridae,Goeridae
Goerinae,Subfamily,genus,no,,Goerinae,Goerinae
Gomphaeschna,Genus,genus,no,,Gomphaeschna,Gomphaeschna
Gomphaeschna furcillata,Species,genus,yes,level of taxonomic resolution,Gomphaeschna,Gomphaeschna
Gomphidae,Family,genus,no,,Gomphidae,Gomphidae
Gomphurus,Genus,genus,no,,Gomphurus,Gomphurus
Gomphurus fraternus,Species,genus,yes,level of taxonomic resolution,Gomphurus,Gomphurus
Gomphurus vastus,Species,genus,yes,level of taxonomic resolution,Gomphurus,Gomphurus
Gomphus,Genus,genus,no,,Gomphus,Gomphus
Gonielmis,Genus,genus,no,,Gonielmis,Gonielmis
Goniobasis,Genus,genus,no,,Goniobasis,Goniobasis
Gonomyia,Genus,genus,no,,Gonomyia,Gonomyia
Graphoderus,Genus,genus,no,,Graphoderus,Graphoderus
Guttipelopia,Genus,genus,no,,Guttipelopia,Guttipelopia
Gymnochthebius,Genus,genus,no,,Gymnochthebius,Gymnochthebius
Gymnochthebius nitidus,Species,genus,yes,level of taxonomic resolution,Gymnochthebius,Gymnochthebius
Gymnometriocnemus,Genus,genus,no,,Gymnometriocnemus,Gymnometriocnemus
Gyraulus,Genus,genus,no,,Gyraulus,Gyraulus
Gyraulus circumstriatus,Species,genus,yes,level of taxonomic resolution,Gyraulus,Gyraulus
Gyraulus parvus,Species,genus,yes,level of taxonomic resolution,Gyraulus,Gyraulus
Gyretes,Genus,genus,no,,Gyretes,Gyretes
Gyrinidae,Family,genus,no,,Gyrinidae,Gyrinidae
Gyrinus,Genus,genus,no,,Gyrinus,Gyrinus
