TaxaID,NonTarget,BCG_Attr,BCG_Attr2,FFG,HABIT,HABSTRUCT,HABSTRUCT_Full,LIFE_CYCLE,AirBreather,Taxon_Group,TSN,Synonyms,Kingdom,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,SuperFamily,Family,SubFamily,Tribe,GenusGroup,Genus,SubGenus,SpeciesGroup,SpeciesSubGroup,SpeciesComplex,Species,Taxon Authority,Taxon Authority Source,Tetra Tech AddIn,TolVal_NE,FFG_NE,Habit_NE,BenTaxaID
EPOICOCLADIUS,FALSE,,,"CG,PA",,,,,FALSE,Chironomidae,128682,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,ORTHOCLADIINAE,,,EPOICOCLADIUS,,,,,,"Zavrel, 1924",ITIS,,3,Collector,Sprawler,1644
ERIOPTERA,FALSE,4,4_middle,CG,"BU,SP",,,uni,FALSE,Diptera,120503,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,LIMONIIDAE,CHIONEINAE,,,ERIOPTERA,,,,,,"Meigen, 1800",ITIS,,6,Shredder,Burrower,1959
ERISTALIS,FALSE,,,CG,BU,,,,TRUE,Diptera,140904,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,BRACHYCERA,,SYRPHIDAE,ERISTALINAE,ERISTALIINI,,ERISTALIS,,,,,,"Latreille, 1804",Other,,10,Shredder,Burrower,1953
ERPETOGOMPHUS,FALSE,4,4_middle,PR,BU,,,semi,FALSE,Odonata,101725,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,ODONATA,ANISOPTERA,,GOMPHIDAE,,,,ERPETOGOMPHUS,,,,,,"Selys, 1858",ITIS,,6,Predator,Burrower,1701
ERPOBDELLA,FALSE,4,4_worse,PR,SP,,,,FALSE,Other Non-Insect,69444,,ANIMALIA,ANNELIDA,,CLITELLATA,HIRUDINEA,ARHYNCHOBDELLIDA,ERPOBDELLIFORMES,,ERPOBDELLIDAE,ERPOBDELLINAE,,,ERPOBDELLA,,,,,,"de Blainville, 1818",ITIS,,5,Predator,Clinger,1376
ERPOBDELLA FERVIDA,FALSE,4,4_worse,,,,,,FALSE,Other Non-Insect,,,ANIMALIA,ANNELIDA,,CLITELLATA,HIRUDINEA,ARHYNCHOBDELLIDA,ERPOBDELLIFORMES,,ERPOBDELLIDAE,ERPOBDELLINAE,,,ERPOBDELLA,,,,,FERVIDA,,,yes,10,Predator,Clinger,362
ERPOBDELLA MICROSTOMA,FALSE,4,4_worse,PR,SP,,,,FALSE,Other Non-Insect,,,ANIMALIA,ANNELIDA,,CLITELLATA,HIRUDINEA,ARHYNCHOBDELLIDA,ERPOBDELLIFORMES,,ERPOBDELLIDAE,ERPOBDELLINAE,,,ERPOBDELLA,,,,,MICROSTOMA,"(Moore, 1901)",Other,,10,Predator,Clinger,14445
ERPOBDELLA PUNCTATA,FALSE,4,4_worse,PR,SP,,,,FALSE,Other Non-Insect,69445,,ANIMALIA,ANNELIDA,,CLITELLATA,HIRUDINEA,ARHYNCHOBDELLIDA,ERPOBDELLIFORMES,,ERPOBDELLIDAE,ERPOBDELLINAE,,,ERPOBDELLA,,,,,PUNCTATA,"(Leidy, 1870)",ITIS,,8,Predator,Swimmer,343
ERPOBDELLIDAE,FALSE,4,4_worse,PR,SP,,,uni,FALSE,Other Non-Insect,69438,,ANIMALIA,ANNELIDA,,CLITELLATA,HIRUDINEA,ARHYNCHOBDELLIDA,ERPOBDELLIFORMES,,ERPOBDELLIDAE,,,,,,,,,,"Blanchard, 1894",ITIS,,10,Predator,Clinger,185
ERYTHEMIS,FALSE,4,4_middle,PR,"CB,SP",RM,root_mat,"multi,uni",FALSE,Odonata,101865,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,ODONATA,ANISOPTERA,,LIBELLULIDAE,,,,ERYTHEMIS,,,,,,"Hagen, 1861",ITIS,,7,Predator,Climber,1715
EUKIEFFERIELLA,FALSE,4,4_middle,CG,SP,,,multi,FALSE,Chironomidae,128689,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,ORTHOCLADIINAE,,,EUKIEFFERIELLA,,,,,,Thienemann,ITIS,,8,Collector,Sprawler,77
EUPARYPHUS,FALSE,,,CG,SP,,,uni,TRUE,Diptera,130436,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,BRACHYCERA,,STRATIOMYIDAE,STRATIOMYINAE,OXYCERINI,,EUPARYPHUS,,,,,,"Gerstaecker, 1857",ITIS,,8,Predator,Sprawler,1947
FALLCEON,FALSE,4,4_middle,"CG,SH",SW,,,multi,FALSE,Ephemeroptera,568551,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,EPHEMEROPTERA,PISCIFORMA,,BAETIDAE,,,,FALLCEON,,,,,,"Waltz and McCafferty, 1987",ITIS,,5,Collector,Sprawler,3234
FAXONIUS,FALSE,4,4_middle,"CG,SH",SP,,,,FALSE,Other Non-Insect,1133539,,ANIMALIA,ARTHROPODA,CRUSTACEA,MALACOSTRACA,EUMALACOSTRACA,DECAPODA,PLEOCYEMATA,,CAMBARIDAE,CAMBARINAE,,,FAXONIUS,,,,,,"Ortmann, 1905",Other,,8,Scraper,Sprawler,1497
FAXONIUS IMMUNIS,FALSE,4,4_middle,"CG,SH",SP,,,,FALSE,Other Non-Insect,1133707,,ANIMALIA,ARTHROPODA,CRUSTACEA,MALACOSTRACA,EUMALACOSTRACA,DECAPODA,PLEOCYEMATA,,CAMBARIDAE,CAMBARINAE,,,FAXONIUS,,,,,IMMUNIS,"(Hagen, 1870)",Other,,4,Scraper,Sprawler,1495
