TAXAID,COMMONNAME,FAMILY,newFAMILY,GENUS,BCG_ATTR,BCGATTR_ROMAN,BCG_ATTR2,BCG_ATTR2_ROMAN,BCG_NUM,NATIVE,TROPHIC,HABITAT,REPRODUCTION,TYPE,SCC,SCC_Summary,USGS_range,Thermal_indicator,CONNECTIVITY
LEPOMIS MACROCHIRUS,BLUEGILL,CENTRARCHIDAE,,LEPOMIS,4,IV,4_WORSE,IVb,4.5,NATIVE,OM,,COMPLEX NEST,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=385,warm,FALSE
LEPOMIS MEGALOTIS,LONGEAR SUNFISH,CENTRARCHIDAE,,LEPOMIS,3,III,3_WORSE,IIIb,3.5,NATIVE,IV,W,COMPLEX NEST,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=388,warm,FALSE
LEPOMIS MICROLOPHUS,REDEAR SUNFISH,CENTRARCHIDAE,,LEPOMIS,3,III,3_WORSE,IIIb,3.5,NON_NATIVE,IV,W,COMPLEX NEST,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=390,warm,FALSE
MENIDIA BERYLLINA,INLAND SILVERSIDE,ATHERINIDAE,,MENIDIA,4,IV,4_WORSE,IVb,4.5,NON_NATIVE,IV,W,BROADCASTER,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=321,warm,FALSE
MICROPTERUS SALMOIDES,LARGEMOUTH BASS,CENTRARCHIDAE,,MICROPTERUS,4,IV,4_WORSE,IVb,4.5,NATIVE,TC,W,COMPLEX NEST,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=401,warm,FALSE
MICROPTERUS PUNCTULATUS,SPOTTED BASS,CENTRARCHIDAE,,MICROPTERUS,3,III,3_WORSE,IIIb,3.5,NATIVE,TC,W,COMPLEX NEST; LITHOPHIL,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=397,warm,FALSE
MINYTREMA MELANOPS,SPOTTED SUCKER,CATOSTOMIDAE,,MINYTREMA,3,III,3_WORSE,IIIb,3.5,NATIVE,IV,B,BROADCASTER; LITHOPHIL,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=364,warm,FALSE
MORONE,BASS,MORONIDAE,,MORONE,4,IV,4_WORSE,IVb,4.5,NATIVE,OM,,,,FALSE,,,warm,FALSE
MOXOSTOMA ERYTHRURUM,GOLDEN REDHORSE,CATOSTOMIDAE,,MOXOSTOMA,4,IV,4_BETTER,IVa,4,NATIVE,IV,B;F,BROADCASTER; MIGRATORY; LITHOPHIL,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=365,warm,FALSE
NOTROPIS ATHERINOIDES,EMERALD SHINER,CYPRINIDAE,LEUCISCIDAE,NOTROPIS,4,IV,4_WORSE,IVb,4.5,NATIVE,OM,W,BROADCASTER,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=582,warm,FALSE
NOTROPIS BOOPS,BIGEYE SHINER,CYPRINIDAE,LEUCISCIDAE,NOTROPIS,3,III,3_WORSE,IIIb,3.5,NATIVE,IV,F;W,BROADCASTER; LITHOPHIL,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=587,warm,FALSE
NOTROPIS BUCHANANI,GHOST SHINER,CYPRINIDAE,LEUCISCIDAE,NOTROPIS,4,IV,4_BETTER,IVa,4,NATIVE,IV,F;W,BROADCASTER,,FALSE,,,warm,FALSE
NOTURUS NOCTURNUS,FRECKLED MADTOM,ICTALURIDAE,,NOTURUS,3,III,3_BETTER,IIIa,3,NATIVE,IV,B;F,COMPLEX NEST,,TRUE,Endangered,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=2536,warm,FALSE
PERCINA CAPRODES,LOGPERCH,PERCIDAE,,PERCINA,4,IV,4_BETTER,IVa,4,NATIVE,IV,B,BROADCASTER; LITHOPHIL,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=821,warm,FALSE
PERCINA PHOXOCEPHALA,SLENDERHEAD DARTER,PERCIDAE,,PERCINA,4,IV,4_BETTER,IVa,4,NATIVE,IV,B;F,BROADCASTER; MIGRATORY; LITHOPHIL,,FALSE,,,warm,FALSE
PERCINA SCIERA,DUSKY DARTER,PERCIDAE,,PERCINA,3,III,3_WORSE,IIIb,3.5,NATIVE,IV,B,SIMPLE NEST; LITHOPHIL,,FALSE,,,warm,FALSE
PHENACOBIUS MIRABILIS,SUCKERMOUTH MINNOW,CYPRINIDAE,LEUCISCIDAE,PHENACOBIUS,4,IV,4_BETTER,IVa,4,NATIVE,IV,B;F,BROADCASTER; MIGRATORY; LITHOPHIL,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=617,warm,FALSE
PIMEPHALES TENELLUS,SLIM MINNOW,CYPRINIDAE,LEUCISCIDAE,PIMEPHALES,3,III,3_WORSE,IIIb,3.5,NATIVE,IV,W,,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=622,warm,FALSE
PIMEPHALES VIGILAX,BULLHEAD MINNOW,CYPRINIDAE,LEUCISCIDAE,PIMEPHALES,4,IV,4_WORSE,IVb,4.5,NATIVE,IV,,COMPLEX NEST,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=623,warm,FALSE
POMOXIS,CRAPPIES,CENTRARCHIDAE,,POMOXIS,4,IV,4_WORSE,IVb,4.5,NATIVE,TC,W,,,FALSE,,,warm,FALSE
