Taxon_orig,OTU_BCG_ChiroCoarse,modified_BCG_ChiroCoarse,OTU_BCG_ChiroFine
Nectopsyche,NECTOPSYCHE,,NECTOPSYCHE
NEMATA,NEMATA,,NEMATA
Nematoda,NEMATA,yes,NEMATA
Nematomorpha,NEMATOMORPHA,,NEMATOMORPHA
Nemotelus,NEMOTELUS,,NEMOTELUS
Nemouridae,NEMOURIDAE,,NEMOURIDAE
Neoacarus,NEOACARUS,,NEOACARUS
Neobidessus,NEOBIDESSUS,,NEOBIDESSUS
Neochoroterpes,NEOCHOROTERPES,,NEOCHOROTERPES
Neoelmis,NEOELMIS,,NEOELMIS
Neoelmis caesa,NEOELMIS CAESA,,NEOELMIS CAESA
Neolimnochares,NEOLIMNOCHARES,,NEOLIMNOCHARES
Neoperla,NEOPERLA,,NEOPERLA
Neophylax,NEOPHYLAX,,NEOPHYLAX
Neoplea,NEOPLEA,,NEOPLEA
Neoplea striola,NEOPLEA,yes,NEOPLEA
Neoporus,NEOPORUS,,NEOPORUS
Neostempellina reissi,TANYTARSINI,yes,NEOSTEMPELLINA REISSI
Neotrichia,NEOTRICHIA,,NEOTRICHIA
Neumania,NEUMANIA,,NEUMANIA
Neureclipsis,NEURECLIPSIS,,NEURECLIPSIS
Neurocordulia,NEUROCORDULIA,,NEUROCORDULIA
Nigronia,NIGRONIA,,NIGRONIA
Nilotanypus,TANYPODINAE,yes,NILOTANYPUS
Nilothauma,CHIRONOMINI,yes,NILOTHAUMA
Nixe,NIXE,,NIXE
Notonecta,NOTONECTA,,NOTONECTA
Nyctiophylax,NYCTIOPHYLAX,,NYCTIOPHYLAX
