TaxaID,NonTarget,BCG_Attr_roman,BCG_Attr,BCG_Attr2,FFG,Habit,HABSTRUCT,LIFE_CYCLE,AirBreather,LargeRiver,Rank,Taxon_Group,Ins,Kingdom,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,SuperFamily,Family,SubFamily,Tribe,Genus,Species,OCC_RefNum,OCC_NotUsedForEPT,OWRB_TOLVAL,OCC_HBI_score,OWRB_FFG,OCC_FFG,OWRB_Habit,OWRB_LIFE_CYCLE
TABANIDAE,FALSE,IV_middle,4,4_middle,PR,SP,,uni,0,FALSE,Family,DIPTERA,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,BRACHYCERA,,TABANIDAE,,,,,,,6,,PR,,UNKN,UNI
TABANINAE,FALSE,,,,,,,,,FALSE,Subfamily,DIPTERA,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,BRACHYCERA,,TABANIDAE,TABANINAE,,,,,,,,,,,
TAENIONEMA,FALSE,,,,,,,,0,FALSE,Genus,PLECOPTERA,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,PLECOPTERA,EUHOLOGNATHA,,TAENIOPTERYGIDAE,BRACHYPTERYINAE,,TAENIONEMA,,,,2,,SH,,CN,UNI
TAENIOPTERYGIDAE,FALSE,III,3,,SH,SP,,uni,0,FALSE,Family,PLECOPTERA,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,PLECOPTERA,EUHOLOGNATHA,,TAENIOPTERYGIDAE,,,,,,,2,,"CG,SH",,CN,UNI
TAENIOPTERYX,FALSE,III,3,,SH,"SP,CN",,uni,0,FALSE,Genus,PLECOPTERA,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,PLECOPTERA,EUHOLOGNATHA,,TAENIOPTERYGIDAE,TAENIOPTERYGINAE,,TAENIOPTERYX,,220.5,,2,2,"CG,SH","CG,SH",CN,UNI
TANYPODINAE,FALSE,IV_middle,4,4_middle,,,,,0,FALSE,Subfamily,CHIRONOMIDAE,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,TANYPODINAE,,,,94,,6,6,CG,CG,UNKN,MULTI
TANYPUS,FALSE,IV_worse,4,4_worse,PR,SP,NF,,0,FALSE,Genus,CHIRONOMIDAE,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,TANYPODINAE,TANYPODINI,TANYPUS,,,,9.6,,"CG,PR",,UNKN,MULTI
TANYTARSINI,FALSE,IV_middle,4,4_middle,,,,,0,FALSE,Tribe,CHIRONOMIDAE,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,CHIRONOMINAE,TANYTARSINI,,,95,,6,6,CG,CG,UNKN,MULTI
TANYTARSINI GENUS A EKREM,FALSE,,,,,,,,0,FALSE,Genus,CHIRONOMIDAE,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,CHIRONOMINAE,TANYTARSINI,TANYTARSINI GENUS A EKREM,,,,,,,,,
TANYTARSUS,FALSE,IV_middle,4,4_middle,"CF,CG",CN,,uni,0,FALSE,Genus,CHIRONOMIDAE,Ins,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,CHIRONOMINAE,TANYTARSINI,TANYTARSUS,,,,6.7,,"CF,CG,SC",,UNKN,MULTI
