TaxaID,NonTarget,BCG_Attr,BCG_Attr2,FFG,HABIT,LIFE_CYCLE,AirBreather,HABSTRUCT,HABSTRUCT_Full,BioticIndex_MO,BISource_MO,FFG_MO,PrimaryFFG_MO,SecondaryFFG_MO,FFG_Source,FHG_MO,PrimaryHabit_MO,SecondaryHabit_MO,FHG_Source,Phylum,Class,Subclass,Order,Family,Subfamily,Tribe,Genus
HARNISCHIA,FALSE,4,4_middle,CG,"CB,BU",multi,FALSE,NF,pool,7.5,L,"Ga,Sc",GA,SC,MC,"Cl,Cg",CL,CG,,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,HARNISCHIA
HEBRIDAE,FALSE,4,4_middle,PR,CB,,TRUE,,,,,,,,,,,,,ARTHROPODA,INSECTA,,HEMIPTERA,HEBRIDAE,,,
HEBRUS,FALSE,4,4_middle,PR,CB,NA,TRUE,,,6.4,KS,"Pr,Pi",PR,PI,MC,Cl,CL,,,ARTHROPODA,INSECTA,,HEMIPTERA,HEBRIDAE,,,HEBRUS
HELICHUS,FALSE,4,4_middle,"SC,SH,CG",CN,semi,FALSE,,,5.4,L,"Sc,Ga",SC,SH,MC****,Cg,CG,CL,,ARTHROPODA,INSECTA,,COLEOPTERA,DRYOPIDAE,,,HELICHUS
HELICHUS BASALIS,FALSE,4,4_middle,"SC,SH,CG",CN,semi,FALSE,,,5.5,KS,"Sc,Ga",SC,SH,MC****,Cg,CG,CL,,ARTHROPODA,INSECTA,,COLEOPTERA,DRYOPIDAE,,,HELICHUS
HELICHUS FASTIGIATUS,FALSE,3,,"SC,SH,CG",CN,semi,FALSE,,,5.5,KS,"Sc,Ga",SC,SH,MC****,Cg,CG,CL,,ARTHROPODA,INSECTA,,COLEOPTERA,DRYOPIDAE,,,HELICHUS
HELICHUS LITHOPHILUS,FALSE,4,4_middle,"SC,SH,CG",CN,semi,FALSE,,,5.5,KS,"Sc,Ga",SC,SH,MC****,Cg,CG,CL,,ARTHROPODA,INSECTA,,COLEOPTERA,DRYOPIDAE,,,HELICHUS
HELICHUS STRIATUS,FALSE,4,4_middle,"SC,SH,CG",CN,semi,FALSE,,,,,,,,,,,,,ARTHROPODA,INSECTA,,COLEOPTERA,DRYOPIDAE,,,HELICHUS
HELICOPSYCHE,FALSE,4,4_middle,SC,CN,uni,FALSE,CS,coarse,0,L,Sc,SC,,MC**,Cg,CG,,,ARTHROPODA,INSECTA,,TRICHOPTERA,HELICOPSYCHIDAE,,,HELICOPSYCHE
HELICOPSYCHIDAE,FALSE,4,4_middle,SC,CN,NA,FALSE,,,,,,,,,,,,,ARTHROPODA,INSECTA,,TRICHOPTERA,HELICOPSYCHIDAE,,,
HELISOMA,FALSE,4,4_middle,SC,CB,"multi,uni",FALSE,,,6.5,L,Sc,SC,,EPA,,,,,MOLLUSCA,GASTROPODA,,BASOMMATOPHORA,PLANORBIDAE,,,HELISOMA
HELIUS,FALSE,4,4_middle,SH,BU,uni,FALSE,,,5.3,KY,Ga,GA,,MC,"Sp,Bu",SP,BU,,ARTHROPODA,INSECTA,,DIPTERA,TIPULIDAE,,,HELIUS
HELOCHARES,FALSE,4,4_middle,"PR,CG",CB,multi,TRUE,,,5,B,Pr,PR,,KY,,,,,ARTHROPODA,INSECTA,,COLEOPTERA,HYDROPHILIDAE,,,HELOCHARES
HELOCOMBUS,FALSE,,,,,uni,-1,,,,,,,,,,,,,ARTHROPODA,INSECTA,,COLEOPTERA,HYDROPHILIDAE,,,HELOCOMBUS
HELOCORDULIA,FALSE,,,PR,,,FALSE,,,,,,,,,,,,,ARTHROPODA,INSECTA,,ODONATA,CORDULIIDAE,,,HELOCORDULIA
HELOPELOPIA,FALSE,,,,,,FALSE,,,,,,,,,,,,,ARTHROPODA,INSECTA,,DIPTERA,CHIRONOMIDAE,TANYPODINAE,PENTANEURINI,HELOPELOPIA
HELOPHORUS,FALSE,4,4_worse,SH,SW,uni,FALSE,,,7.9,L,Sh,SH,,MC,Cl,CL,,,ARTHROPODA,INSECTA,,COLEOPTERA,HELOPHORIDAE,,,HELOPHORUS
HELOPICUS NALATUS,FALSE,,,PR,CN,,FALSE,,,,,,,,,,,,,ARTHROPODA,INSECTA,,PLECOPTERA,PERLODIDAE,,,HELOPICUS
HEMERODROMIA,FALSE,4,4_middle,PR,SP,"multi,uni",FALSE,,,6,H,Pr,PR,PI,MC,"Sp,Bu",SP,BU,MC,ARTHROPODA,INSECTA,,DIPTERA,EMPIDIDAE,,,HEMERODROMIA
HEPTAGENIA,FALSE,4,4_middle,SC,CN,uni,FALSE,SG,snag,2.8,L,"Sc,Ga",SC,GA,MC,Cg,CG,,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,HEPTAGENIIDAE,,,HEPTAGENIA
HEPTAGENIIDAE,FALSE,4,4_middle,SC,CN,uni,FALSE,,,4,H,"Sc,Ga",SC,GA,MC,Cg,CG,,,ARTHROPODA,INSECTA,,EPHEMEROPTERA,HEPTAGENIIDAE,,,
HESPEROCORIXA,FALSE,4,4_middle,PH,SW,uni,TRUE,,,5,B,Pi,PI,,MC,"Sw,Cl",SW,CL,,ARTHROPODA,INSECTA,,HEMIPTERA,CORIXIDAE,,,HESPEROCORIXA
HETAERINA,FALSE,4,4_middle,PR,"CB,CN",semi,FALSE,,,6.2,L,Pr,PR,,MC,Cl,CL,,,ARTHROPODA,INSECTA,,ODONATA,CALOPTERYGIDAE,,,HETAERINA
