Taxon_orig,Rationale,OTU_MetricCalc,OTU_BCG_ORWA,OTU_BCG_ORWA_worms
Caudatella ,Trailing space after genus Name,Caudatella,Caudatella,Caudatella
Caudatella cascadia,current nomenclature,Caudatella hystrix,Caudatella hystrix,Caudatella hystrix
Caudatella columbiella,"Caudatella heterocaudata californica Allen & Edmunds, 1961 is a junior synonym (Jacobus 2010). Ephemerella columbiella McDunnough, 1935 is a junior synonym.",Caudatella columbiella,Caudatella columbiella,Caudatella columbiella
Caudatella edmundsi,,Caudatella edmundsi,Caudatella edmundsi,Caudatella edmundsi
Caudatella heterocaudata,,Caudatella heterocaudata complex,Caudatella heterocaudata complex,Caudatella heterocaudata complex
Caudatella heterocaudata complex,,Caudatella heterocaudata complex,Caudatella heterocaudata complex,Caudatella heterocaudata complex
Caudatella heterocaudata group,,Caudatella heterocaudata complex,Caudatella heterocaudata complex,Caudatella heterocaudata complex
Caudatella hystrix,,Caudatella hystrix,Caudatella hystrix,Caudatella hystrix
Caudatella jacobi,,Caudatella jacobi,Caudatella jacobi,Caudatella jacobi
Caudatella orestes,jr syn of jacobi,Caudatella jacobi,Caudatella jacobi,Caudatella jacobi
Cecidomyiidae,Terrestrial,DNI,DNI,DNI
Celina,,Celina,Celina,Celina
Cenocorixa,"NonTarget - Hemiptera, water column or surface dwellers",Cenocorixa,Cenocorixa,Cenocorixa
Centrolimnesia,,Centrolimnesia,Centrolimnesia,Centrolimnesia
Centroptilum,Slashed taxon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,Anafroptilum/Procloeon
Centroptilum album,Slashed taxon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,Anafroptilum/Procloeon
Centroptilum conturbatum,Slashed taxon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,Anafroptilum/Procloeon
Centroptilum/Procloeon,Slashed taxon,Anafroptilum/Procloeon,Anafroptilum/Procloeon,Anafroptilum/Procloeon
Ceraclea,,Ceraclea,Ceraclea,Ceraclea
Ceraclea alces,,Ceraclea,Ceraclea,Ceraclea
Ceraclea annulicornis,,Ceraclea,Ceraclea,Ceraclea
Ceratopogon,Too Many unknown Genera,Ceratopogoninae,Ceratopogoninae,Ceratopogoninae
Ceratopogon borealis,Too Many unknown Genera,Ceratopogoninae,Ceratopogoninae,Ceratopogoninae
Ceratopogonidae,Too Many unknown Genera,Ceratopogonidae,Ceratopogonidae,Ceratopogonidae
Ceratopogoninae,Too Many unknown Genera,Ceratopogoninae,Ceratopogoninae,Ceratopogoninae
Ceratopogonini,no need to take to tribe,Ceratopogoninae,Ceratopogoninae,Ceratopogoninae
Ceratopsyche,,Hydropsyche,Hydropsyche,Hydropsyche
Ceratopsyche alternans/cockerelli,,Hydropsyche,Hydropsyche,Hydropsyche
Ceratopsyche amblis,,Hydropsyche,Hydropsyche,Hydropsyche
Ceratopsyche centra,,Hydropsyche,Hydropsyche,Hydropsyche
Ceratopsyche cockerelli,,Hydropsyche,Hydropsyche,Hydropsyche
Ceratopsyche oslari,,Hydropsyche,Hydropsyche,Hydropsyche
Cercobrachys,,Cercobrachys,Cercobrachys,Cercobrachys
Ceriodaphnia,excluded from BMI samples,DNI,DNI,DNI
Cernosvitoviella,,Cernosvitoviella,Oligochaeta,Enchytraeidae
Chaetocladius,,Chaetocladius,Chaetocladius,Chaetocladius
Chaetocladius ligni,,Chaetocladius,Chaetocladius,Chaetocladius
Chaetogaster,,Chaetogaster,Oligochaeta,Naidinae
Chama,Marine,DNI,DNI,DNI
Chamaedrilus,,Chamaedrilus,Oligochaeta,Enchytraeidae
Chaoboridae,,Chaoboridae,Chaoboridae,Chaoboridae
Chaoborus,,Chaoborus,Chaoborus,Chaoborus
Chauliodinae,,Chauliodinae,Chauliodinae,Chauliodinae
Cheilotrichia,,Cheilotrichia,Cheilotrichia,Cheilotrichia
Chelifer,Slashed taxon,Chelifera/Metachela,Chelifera/Metachela,Chelifera/Metachela
Chelifera,Slashed taxon,Chelifera/Metachela,Chelifera/Metachela,Chelifera/Metachela
Chelifera / Metachela,Slashed taxon,Chelifera/Metachela,Chelifera/Metachela,Chelifera/Metachela
Chelifera/Metachela,Slashed taxon,Chelifera/Metachela,Chelifera/Metachela,Chelifera/Metachela
Chelifera/Metachela Group,Slashed taxon,Chelifera/Metachela,Chelifera/Metachela,Chelifera/Metachela
Chelifera/Neoplasta,,Empididae,Empididae,Empididae
Chelomideopsis,,Chelomideopsis,Chelomideopsis,Chelomideopsis
Chernokrilus misnomus,"known only from OR, CA",Chernokrilus misnomus,Chernokrilus misnomus,Chernokrilus misnomus
Cheryl Barr Undescribed,,Bryelmis,Bryelmis,Bryelmis
Cheumatopsyche,,Cheumatopsyche,Cheumatopsyche,Cheumatopsyche
Cheumatopsyche (Cheumatopsychodes),,Cheumatopsyche,Cheumatopsyche,Cheumatopsyche
Cheumatopsyche campyla,,Cheumatopsyche,Cheumatopsyche,Cheumatopsyche
Cheumatopsyche pettiti,,Cheumatopsyche,Cheumatopsyche,Cheumatopsyche
Chimarra,,Chimarra,Chimarra,Chimarra
Chioneinae,best to leave at family,Limoniidae,Limoniidae,Limoniidae
Chironomidae,,Chironomidae,Chironomidae,Chironomidae
Chironomidae-larvae,,Chironomidae,Chironomidae,Chironomidae
Chironomidae-pupae,,Chironomidae,Chironomidae,Chironomidae
Chironominae,,Chironominae,Chironominae,Chironominae
Chironomini,,Chironomini,Chironomini,Chironomini
Chironomus,,Chironomus,Chironomus,Chironomus
Chironomus/Einfeldia,,Chironominae,Chironominae,Chironominae
Chlamys,Marine,DNI,DNI,DNI
Chloroperla,,Chloroperlidae,Chloroperlidae,Chloroperlidae
Chloroperlidae,,Chloroperlidae,Chloroperlidae,Chloroperlidae
Chloroperlinae,,Chloroperlidae,Chloroperlidae,Chloroperlidae
Choroterpes,,Choroterpes,Choroterpes,Choroterpes
Chrysomelidae,Terrestrial,DNI,DNI,DNI
Chrysops,,Tabanidae,Tabanidae,Tabanidae
Chydoridae,Cladocera excluded,DNI,DNI,DNI
Chyranda,likely multiple spp.,Chyrandra,Chyrandra,Chyrandra
Chyranda centralis,likely multiple spp.,Chyrandra,Chyrandra,Chyrandra
Chyranda Chyranda centralis,likely multiple spp.,Chyrandra,Chyrandra,Chyrandra
Chyrandra,likely multiple spp.,Chyrandra,Chyrandra,Chyrandra
Chyrandra centralis,likely multiple spp.,Chyrandra,Chyrandra,Chyrandra
Cinara,aphids,DNI,DNI,DNI
Cinygma,,Cinygma,Cinygma,Cinygma
Cinygmula,,Cinygmula,Cinygmula,Cinygmula
Cinygmula par,,Cinygmula,Cinygmula,Cinygmula
Cipangopaludina,,Cipangopaludina,Cipangopaludina,Cipangopaludina
Cipangopaludina chinensis,,Cipangopaludina,Cipangopaludina,Cipangopaludina
Claassenia,Single Species in Genus,Claassenia sabulosa,Claassenia sabulosa,Claassenia sabulosa
Claassenia sabulosa,Single Species in Genus,Claassenia sabulosa,Claassenia sabulosa,Claassenia sabulosa
Cladocera,Cladocera excluded,DNI,DNI,DNI
Cladopelma,,Cladopelma,Cladopelma,Cladopelma
Cladotanytarsus,,Cladotanytarsus,Cladotanytarsus,Cladotanytarsus
Clarkhydrus,Adults key to Stictotarsus/Boreonectes in Merritt et al. 2019. Use Fery and Ribera 2018 to separate genera.,Clarkhydrus,Clarkhydrus,Clarkhydrus
Clemnius,Keys to Hygrotus in Merritt et al. 2019; use Villastrigo et al. 2017 for placement in Clemnius. Uncommon in bioassessment samples. Lentic and lotic. Two species in the PNW.,Clemnius,Clemnius,Clemnius
Cleptelmis,only one species in Genus,Cleptelmis addenda,Cleptelmis addenda,Cleptelmis addenda
Cleptelmis addenda,only one species in Genus,Cleptelmis addenda,Cleptelmis addenda,Cleptelmis addenda
Cleptelmis ornata,only one species in Genus,Cleptelmis addenda,Cleptelmis addenda,Cleptelmis addenda
Climacia,,Climacia,Climacia,Climacia
Climacia californica,I tend to exclude these,Sisyridae,Sisyridae,Sisyridae
Clinidium,Terrestrial,DNI,DNI,DNI
Clinocera,,Clinocera/Trichoclinocera,Clinocera/Trichoclinocera,Clinocera/Trichoclinocera
Clinocera stagnalis,,Clinocera/Trichoclinocera,Clinocera/Trichoclinocera,Clinocera/Trichoclinocera
Clinocera/Trichoclinocera,"Separation of Clinocera and Trichoclinocera is problematic. The Merrritt et al. 2019 key character is whether the anal division has a median process that is distinctly forked or weakly bifid. There is much variation, even within populations on forking of",Clinocera/Trichoclinocera,Clinocera/Trichoclinocera,Clinocera/Trichoclinocera
Clinocerinae,,Clinocerinae,Clinocerinae,Clinocerinae
Clinocerinae unknown larvae A,,Clinocerinae,Clinocerinae,Clinocerinae
Clinotanypus,,Clinotanypus,Clinotanypus,Clinotanypus
Clio,Marine,DNI,DNI,DNI
Clistoronia,,Clistoronia,Clistoronia,Clistoronia
Clitellata,,Oligochaeta,Oligochaeta,Oligochaeta
Cloeodes,,Cloeodes,Cloeodes,Cloeodes
Cloeon dipterum,,Cloeon dipterum,Cloeon dipterum,Cloeon dipterum
Clostoeca,monotypic,Clostoeca disjuncta,Clostoeca disjuncta,Clostoeca disjuncta
Clostoeca disjuncta,,Clostoeca disjuncta,Clostoeca disjuncta,Clostoeca disjuncta
Cnidaria,all Cnidaria,Hydra,Hydra,Hydra
Coelotanypodini,,Coelotanypodini,Coelotanypodini,Coelotanypodini
Coelotanypus,,Coelotanypus,Coelotanypus,Coelotanypus
Coenagrion,,Coenagrionidae,Coenagrionidae,Coenagrionidae
Coenagrion/Enallagma,,Coenagrionidae,Coenagrionidae,Coenagrionidae
Coenagrionidae,,Coenagrionidae,Coenagrionidae,Coenagrionidae
Cognettia,STE of Family for Enchytraeidae,Oligochaeta,Oligochaeta,Enchytraeidae
Coleoptera,,Coleoptera,Coleoptera,Coleoptera
Collembola,Collembola excluded,DNI,DNI,DNI
Colligyrus,best to leave at SuperFamily,Truncatelloidea,Truncatelloidea,Truncatelloidea
Columbiathyas,,Columbiathyas,Columbiathyas,Columbiathyas
Colymbetes,,Colymbetinae,Dytiscidae,Dytiscidae
Colymbetes densus,,Colymbetinae,Dytiscidae,Dytiscidae
Colymbetes sculptilis,,Colymbetinae,Dytiscidae,Dytiscidae
Colymbetinae,,Colymbetinae,Dytiscidae,Dytiscidae
Compterosmittia,,Compterosmittia,Compterosmittia,Compterosmittia
Compterosmittia sp. A,best to leave at genus,Compterosmittia,Compterosmittia,Compterosmittia
Conchapelopia,These should all have been Group,Thienemannimyia Group,Thienemannimyia Group,Thienemannimyia Group
Constempellina,,Constempellina,Constempellina,Constempellina
Constempellina brevicosta,,Constempellina,Constempellina,Constempellina
Constempellina sp. C,,Constempellina,Constempellina,Constempellina
Cookacarus,,Cookacarus,Cookacarus,Cookacarus
Copelatinae,,Copelatinae,Copelatinae,Copelatinae
Copelatus,,Copelatinae,Copelatinae,Copelatinae
Copepoda,Copepoda excluded?,Copepoda,Copepoda,Copepoda
Coptotomus,,Coptotomus,Dytiscidae,Dytiscidae
Coptotomus longulus,,Coptotomus,Dytiscidae,Dytiscidae
Corbicula,,Corbicula,Corbicula,Corbicula
Corbicula fluminea,,Corbicula,Corbicula,Corbicula
Corbiculidae,,Corbicula,Corbicula,Corbicula
Corbiculoidea,,Corbiculoidea,Corbiculoidea,Corbiculoidea
Cordulegaster,,Cordulegaster,Cordulegaster,Cordulegaster
Cordulegaster dorsalis,,Cordulegaster,Cordulegaster,Cordulegaster
Cordulegastridae,Only genus in family in the west,Cordulegaster,Cordulegaster,Cordulegaster
Cordulia shurtleffii,,Cordulia shurtleffii,Cordulia shurtleffii,Cordulia shurtleffii
Corduliidae,,Corduliidae,Corduliidae,Corduliidae
Corduliidae/Libellulidae,,Anisoptera,Anisoptera,Anisoptera
Cordylophora caspia,,Cordylophora caspia,Cordylophora caspia,Cordylophora caspia
Corethrella,,Corethrella,Corethrella,Corethrella
Corisella,"NonTarget - Hemiptera, water column or surface dwellers",Corisella,Corisella,Corisella
Corisella decolor,"NonTarget - Hemiptera, water column or surface dwellers",Corisella decolor,Corisella decolor,Corisella decolor
Corixidae,"NonTarget - Hemiptera, water column or surface dwellers",Corixidae,Corixidae,Corixidae
Corophiidae,,Americorophium,Americorophium,Americorophium
Corophium,,Americorophium,Americorophium,Americorophium
Corticacarus,,Corticacarus,Corticacarus,Corticacarus
Corydalidae,,Corydalidae,Corydalidae,Corydalidae
Corydalus,,Corydalidae,Corydalidae,Corydalidae
Corydalus cornutus,,Corydalidae,Corydalidae,Corydalidae
Corynidae,Hydrozoa,Hydra,Hydra,Hydra
Corynoneura,,Corynoneura,Corynoneura,Corynoneura
Corynoneura/Thienemanniella,,Orthocladiinae,Orthocladiinae,Orthocladiinae
Cottidae,Fish,DNI,DNI,DNI
Crambidae,Lot of these are terrestrial,DNI,Lepidoptera,Lepidoptera
Crangon,marine,DNI,DNI,DNI
Crangonyctidae,,Crangonyctidae,Crangonyctidae,Crangonyctidae
Crangonyx,,Crangonyx,Crangonyx,Crangonyx
Crassiclitellata,Terrestrial,DNI,DNI,DNI
Crenitis,,Crenitis,Crenitis,Crenitis
Cricotopus,,Cricotopus,Cricotopus,Cricotopus
Cricotopus (Cricotopus),,Cricotopus,Cricotopus,Cricotopus
Cricotopus (Isocladius),FORMATTING,Cricotopus (Isocladius),Cricotopus (Isocladius),Cricotopus (Isocladius)
Cricotopus (Isocladius) Type I,FORMATTING,Cricotopus (Isocladius),Cricotopus (Isocladius),Cricotopus (Isocladius)
Cricotopus (Nostoc.) nostocicola,FORMATTING,Cricotopus (Nostococladius),Cricotopus (Nostococladius),Cricotopus (Nostococladius)
Cricotopus (Nostococladius),FORMATTING,Cricotopus (Nostococladius),Cricotopus (Nostococladius),Cricotopus (Nostococladius)
Cricotopus (Nostococladius) nostocicola,FORMATTING,Cricotopus (Nostococladius),Cricotopus (Nostococladius),Cricotopus (Nostococladius)
Cricotopus / Orthocladius,,Cricotopus/Orthocladius,Cricotopus/Orthocladius,Cricotopus/Orthocladius
Cricotopus bicinctus,FORMATTING,Cricotopus Bicinctus Group,Cricotopus Bicinctus Group,Cricotopus Bicinctus Group
Cricotopus Bicinctus Gr.,FORMATTING,Cricotopus Bicinctus Group,Cricotopus Bicinctus Group,Cricotopus Bicinctus Group
Cricotopus bicinctus group,FORMATTING,Cricotopus Bicinctus Group,Cricotopus Bicinctus Group,Cricotopus Bicinctus Group
Cricotopus bicinctus Group,FORMATTING,Cricotopus Bicinctus Group,Cricotopus Bicinctus Group,Cricotopus Bicinctus Group
Cricotopus Bicinctus Group,FORMATTING,Cricotopus Bicinctus Group,Cricotopus Bicinctus Group,Cricotopus Bicinctus Group
Cricotopus Festivellus Gr.,dubious,Cricotopus,Cricotopus,Cricotopus
Cricotopus Isocladius,FORMATTING,Cricotopus (Isocladius),Cricotopus (Isocladius),Cricotopus (Isocladius)
Cricotopus Isocladius--Type I,FORMATTING,Cricotopus (Isocladius),Cricotopus (Isocladius),Cricotopus (Isocladius)
Cricotopus nostocicola,FORMATTING,Cricotopus (Nostococladius),Cricotopus (Nostococladius),Cricotopus (Nostococladius)
Cricotopus Nostococladius,FORMATTING,Cricotopus (Nostococladius),Cricotopus (Nostococladius),Cricotopus (Nostococladius)
Cricotopus Nostococladius--Type II,FORMATTING,Cricotopus (Nostococladius),Cricotopus (Nostococladius),Cricotopus (Nostococladius)
Cricotopus Obnixus Gr.,dubious,Cricotopus,Cricotopus,Cricotopus
Cricotopus sylvestris group,,Cricotopus,Cricotopus,Cricotopus
Cricotopus Tremulus Gr.,FORMATTING,Cricotopus Tremulus Group,Cricotopus Tremulus Group,Cricotopus Tremulus Group
Cricotopus tremulus group,FORMATTING,Cricotopus Tremulus Group,Cricotopus Tremulus Group,Cricotopus Tremulus Group
Cricotopus tremulus Group,FORMATTING,Cricotopus Tremulus Group,Cricotopus Tremulus Group,Cricotopus Tremulus Group
Cricotopus Tremulus Group,FORMATTING,Cricotopus Tremulus Group,Cricotopus Tremulus Group,Cricotopus Tremulus Group
Cricotopus trifascia,FORMATTING,Cricotopus Trifascia Group,Cricotopus Trifascia Group,Cricotopus Trifascia Group
Cricotopus Trifascia Gr.,FORMATTING,Cricotopus Trifascia Group,Cricotopus Trifascia Group,Cricotopus Trifascia Group
Cricotopus trifascia group,FORMATTING,Cricotopus Trifascia Group,Cricotopus Trifascia Group,Cricotopus Trifascia Group
Cricotopus trifascia Group,FORMATTING,Cricotopus Trifascia Group,Cricotopus Trifascia Group,Cricotopus Trifascia Group
Cricotopus Trifascia Group,FORMATTING,Cricotopus Trifascia Group,Cricotopus Trifascia Group,Cricotopus Trifascia Group
Cricotopus/Orthocladius,,Cricotopus/Orthocladius,Cricotopus/Orthocladius,Cricotopus/Orthocladius
Crustacea,TOO COARSE,Crustacea,Crustacea,Crustacea
Cryptochia,,Cryptochia,Cryptochia,Cryptochia
Cryptochia califca,,Cryptochia,Cryptochia,Cryptochia
Cryptochironomus,,Cryptochironomus,Cryptochironomus,Cryptochironomus
Cryptolabis,,Cryptolabis,Cryptolabis,Cryptolabis
Cryptotendipes,,Cryptotendipes,Cryptotendipes,Cryptotendipes
Culex,,Culicidae,Culicidae,Culicidae
Culex pipiens,,Culicidae,Culicidae,Culicidae
Culicidae,,Culicidae,Culicidae,Culicidae
Culicoides,Too Many unknown Genera,Ceratopogoninae,Ceratopogoninae,Ceratopogoninae
Culiseta,,Culicidae,Culicidae,Culicidae
Culoptila,,Culoptila,Culoptila,Culoptila
Cultus,,Cultus,Cultus,Cultus
Curculionidae,Terrestrial,DNI,DNI,DNI
Cybister,,Dytiscidae,Dytiscidae,Dytiscidae
Cyclomomonia,,Cyclomomonia,Cyclomomonia,Cyclomomonia
Cyclopidae,Generally excluded in lotic benthic samples,DNI,DNI,DNI
Cyclopoida,Generally excluded in lotic benthic samples,DNI,DNI,DNI
Cyclothyas,,Cyclothyas,Cyclothyas,Cyclothyas
Cylindrotomidae,Identification to genus is usually straight forward for this small family.,Cylindrotomidae,Cylindrotomidae,Cylindrotomidae
Cylloepus,OUT of RANGE,Elmidae,DNI,DNI
Cymatia americana,"Swimmers, divers, water surface, and shore dwelling hemipterans incidentally collected in BMI biomonitoring samples. Inclusion in BMI data sets by labs and data consumers is variable.",Cymatia americana,Cymatia americana,Cymatia americana
Cymbiodyta,,Cymbiodyta,Cymbiodyta,Cymbiodyta
Cyphomella,,Cyphomella,Cyphomella,Cyphomella
Cyrnellus,,Polycentropodidae,Polycentropodidae,Polycentropodidae
Cystobranchus,STE is genus to be conservative; only one western species known so far,Cystobranchus,Cystobranchus,Cystobranchus
Cystobranchus salmositicus,STE is genus to be conservative; only one western species known so far,Cystobranchus,Cystobranchus,Cystobranchus
Dactylobaetis,jr. syn. of Camelobaetidius,Camelobaetidius,Camelobaetidius,Camelobaetidius
Dactylolabis,,Dactylolabis,Dactylolabis,Dactylolabis
Daphnia,Cladocera excluded,DNI,DNI,DNI
Daphnia pulex,Cladocera excluded,DNI,DNI,DNI
Daphniidae,Cladocera excluded,DNI,DNI,DNI
Dasyhelea,,Dasyhelea,Dasyhelea,Dasyhelea
Dasyheleinae,,Dasyhelea,Dasyhelea,Dasyhelea
Decapoda,,Decapoda,Decapoda,Decapoda
Demeijerea,,Demeijerea,Demeijerea,Demeijerea
Demicryptochironomus,,Demicryptochironomus,Demicryptochironomus,Demicryptochironomus
Dero,,Dero,Oligochaeta,Naidinae
Deronectes,Genera within Hydroporinae in flux best to leave at subfamily,Hydroporinae,Hydroporinae,Hydroporinae
Derotanypus,,Derotanypus,Derotanypus,Derotanypus
Desmona,Single species,Monophylax mono,Monophylax mono,Monophylax mono
Desmona mono,Single species,Monophylax mono,Monophylax mono,Monophylax mono
Desmopachria,,Desmopachria,Desmopachria,Desmopachria
Desmopachria convexa,Genera within Hydroporinae in flux best to leave at subfamily,Hydroporinae,Hydroporinae,Hydroporinae
Despaxia,Single species in genus in NA,Despaxia augusta,Despaxia augusta,Despaxia augusta
Despaxia augusta,Single species in genus in NA,Despaxia augusta,Despaxia augusta,Despaxia augusta
Deuteronectes,Genera within Hydroporinae in flux best to leave at subfamily,Deuteronectes,Hydroporinae,Hydroporinae
Deuterophlebia,,Deuterophlebia,Deuterophlebia,Deuterophlebia
Deuterophlebiidae,,Deuterophlebia,Deuterophlebia,Deuterophlebia
Diamesa,,Diamesa,Diamesa,Diamesa
Diamesinae,,Diamesinae,Diamesinae,Diamesinae
Diamphidaxona,,Diamphidaxona,Diamphidaxona,Diamphidaxona
Dicata,Marine,DNI,DNI,DNI
Dicosmoecinae,,Dicosmoecinae,Dicosmoecinae,Dicosmoecinae
Dicosmoecus,,Dicosmoecus,Dicosmoecus,Dicosmoecus
Dicosmoecus atripes,,Dicosmoecus atripes,Dicosmoecus atripes,Dicosmoecus atripes
Dicosmoecus gilvipes,,Dicosmoecus gilvipes,Dicosmoecus gilvipes,Dicosmoecus gilvipes
Dicosmoecus pallicornis,,Dicosmoecus pallicornis,Dicosmoecus pallicornis,Dicosmoecus pallicornis
Dicraeus,Terrestrial,DNI,DNI,DNI
Dicranomyia,,Dicranomyia,Dicranomyia,Dicranomyia
Dicranophragma,,Dicranophragma,Dicranophragma,Dicranophragma
Dicranopselaphus,,Psephenidae,Psephenidae,Psephenidae
Dicranota,,Dicranota,Dicranota,Dicranota
Dicranus,Terrestrial,DNI,DNI,DNI
Dicrotendipes,,Dicrotendipes,Dicrotendipes,Dicrotendipes
Dina,Invalid Jr. syn of Erpobdella,Erpobdella,Erpobdella,Erpobdella
Dineutus,no verified records from the PNW,Gyrinidae,Gyrinidae,Gyrinidae
Dioptopsis,european,Blephariceridae,Blephariceridae,Blephariceridae
Diphetor,Single species in genus,Diphetor hageni,Diphetor hageni,Diphetor hageni
Diphetor hageni,Single species in genus,Diphetor hageni,Diphetor hageni,Diphetor hageni
Diphetor/Fallceon,,Baetidae,Baetidae,Baetidae
Diplex,????  BAD ID?????,DNI,DNI,DNI
Diplocladius,,Diplocladius,Diplocladius,Diplocladius
Diplocladius cultriger,,Diplocladius,Diplocladius,Diplocladius
Diploperla,,Perlodidae,Perlodidae,Perlodidae
Diporeia erythrophthalma,,Diporeia erythrophthalma,Diporeia erythrophthalma,Diporeia erythrophthalma
Diptera,,Diptera,Diptera,Diptera
Diura,,Diura,Diura,Diura
Diura knowltoni,,Diura,Diura,Diura
Dixa,,Dixa,Dixa,Dixa
Dixella,,Dixella,Dixella,Dixella
Dixidae,,Dixidae,Dixidae,Dixidae
Djalmabatista,,Djalmabatista,Djalmabatista,Djalmabatista
Doddsia,,Taeniopterygidae,Taeniopterygidae,Taeniopterygidae
Doddsia occidentalis,,Taeniopterygidae,Taeniopterygidae,Taeniopterygidae
Doithrix,,Doithrix,Doithrix,Doithrix
Dolichocephala,Supposedly lotic and widspread in North America; but there are few if any records of this genus in PNW mid-order stream data sets. It is known from temporary streams in western Oregon.,Dolichocephala,Dolichocephala,Dolichocephala
