Taxon_orig,Rationale,OTU_MetricCalc,OTU_BCG_ORWA,OTU_BCG_ORWA_worms
Gyretes,There are 3 North American species found in eastern North America and the SW U.S. We currently have no verified records from the PNW. Roll up to Gyrinidae unless verified record.,Gyrinidae,Gyrinidae,Gyrinidae
Gyrinidae,,Gyrinidae,Gyrinidae,Gyrinidae
Gyrinus,,Gyrinidae,Gyrinidae,Gyrinidae
Gyrinus affinis,,Gyrinidae,Gyrinidae,Gyrinidae
Gyrinus bifarius,,Gyrinidae,Gyrinidae,Gyrinidae
Gyrinus consobrinus,,Gyrinidae,Gyrinidae,Gyrinidae
Gyrinus maculiventris,,Gyrinidae,Gyrinidae,Gyrinidae
Gyrinus picipes,,Gyrinidae,Gyrinidae,Gyrinidae
Gyrinus plicifer,,Gyrinidae,Gyrinidae,Gyrinidae
Haemonais,,Haemonais waldvogeli,Oligochaeta,Naidinae
Haemonais waldvogeli,"monotypic, change all to Haemonnais waldvogelia",Haemonais waldvogeli,Oligochaeta,Naidinae
Haemopis,,Haemopis,Haemopis,Haemopis
Haemopis grandis,,Haemopis,Haemopis,Haemopis
Halesochila taylori,,Halesochila taylori,Halesochila taylori,Halesochila taylori
Haliplidae,,Haliplidae,Haliplidae,Haliplidae
Haliplus,,Haliplus,Haliplus,Haliplus
Hansonoperla,,Perlidae,Perlidae,Perlidae
Haplolabis,"No idea what this is, bad ID, bad name?",DNI,DNI,DNI
Haploperla,,Chloroperlidae,Chloroperlidae,Chloroperlidae
Haploperla chilnualna,,Chloroperlidae,Chloroperlidae,Chloroperlidae
Haplotaxida,,Haplotaxis,Oligochaeta,Oligochaeta
Haplotaxidae,,Haplotaxis,Oligochaeta,Oligochaeta
Haplotaxis,,Haplotaxis,Oligochaeta,Oligochaeta
Harnischia,,Harnischia,Harnischia,Harnischia
Harpacticoida,Generally excluded in lotic benthic samples,DNI,DNI,DNI
Hayesomyia senata,,Thienemannimyia Group,Thienemannimyia Group,Thienemannimyia Group
Hebridae,"Swimmers, divers, water surface, and shore dwelling hemipterans incidentally collected in BMI biomonitoring samples. Inclusion in BMI data sets by labs and data consumers is variable.",Hebridae,Hebridae,Hebridae
Hebrus,"Swimmers, divers, water surface, and shore dwelling hemipterans incidentally collected in BMI biomonitoring samples. Inclusion in BMI data sets by labs and data consumers is variable.",Hebrus,Hebrus,Hebrus
Hediste,,Hediste,Hediste,Hediste
Heleniella,,Heleniella,Heleniella,Heleniella
Heleniella species A,Distinct larval form of Heleniella found in PNW streams. Description of this larval form is in prep by Fasbender et al.,Heleniella species A,Heleniella species A,Heleniella species A
Helesius,Terrestrial,DNI,DNI,DNI
Helichus,,Helichus,Helichus,Helichus
Helicopsyche,,Helicopsyche,Helicopsyche,Helicopsyche
Helicopsyche borealis,,Helicopsyche,Helicopsyche,Helicopsyche
Helicopsychidae,,Helicopsyche,Helicopsyche,Helicopsyche
Helisoma,,Helisoma,Helisoma,Helisoma
Helisoma anceps,,Helisoma,Helisoma,Helisoma
Helius,,Helius,Helius,Helius
Helobdella,,Helobdella,Helobdella,Helobdella
Helobdella elongata,best to leave at genus,Helobdella,Helobdella,Helobdella
Helobdella papillata,,Helobdella,Helobdella,Helobdella
Helobdella stagnalis,,Helobdella,Helobdella,Helobdella
Helobdella stagnalis complex,,Helobdella,Helobdella,Helobdella
Helobdella triserialis,,Helobdella,Helobdella,Helobdella
Helochares,,Helochares,Helochares,Helochares
Helochares normatus,,Helochares,Helochares,Helochares
Helocombus bifidus,"probably mis ID in PNW; not know from western North America, roll up to Hydrophilidae",Hydrophilidae,Hydrophilidae,Hydrophilidae
Helodon,Slashed taxon,Helodon/Prosimulium,Helodon/Prosimulium,Helodon/Prosimulium
Helodon onychodactylum,Slashed taxon,Helodon/Prosimulium,Helodon/Prosimulium,Helodon/Prosimulium
Helodon onychodactylum group,Slashed taxon,Helodon/Prosimulium,Helodon/Prosimulium,Helodon/Prosimulium
Helodon onychodactylus complex,Slashed taxon,Helodon/Prosimulium,Helodon/Prosimulium,Helodon/Prosimulium
Helodon/Prosimulium,Slashed taxon,Helodon/Prosimulium,Helodon/Prosimulium,Helodon/Prosimulium
Helopelopia,These should all have been Group,Thienemannimyia Group,Thienemannimyia Group,Thienemannimyia Group
Helophorus,,Helophorus,Helophorus,Helophorus
Hemerobiidae,Terrestrial,DNI,DNI,DNI
Hemerodromia,,Hemerodromia,Hemerodromia,Hemerodromia
Hemerodromiinae,,Empididae,Empididae,Empididae
Hemerodromiini,,Empididae,Empididae,Empididae
Hemiptera,"NonTarget - Hemiptera, water column or surface dwellers",Hemiptera,Hemiptera,Hemiptera
Henlea,,Henlea,Oligochaeta,Enchytraeidae
Heptagenia,,Heptageniidae,Heptageniidae,Heptageniidae
Heptagenia group,,Heptageniidae,Heptageniidae,Heptageniidae
Heptagenia/Ecdyonurus,,Heptageniidae,Heptageniidae,Heptageniidae
Heptagenia/Nixe,,Heptageniidae,Heptageniidae,Heptageniidae
Heptagenia/Nixe/Leucocruta,,Heptageniidae,Heptageniidae,Heptageniidae
Heptageniidae,,Heptageniidae,Heptageniidae,Heptageniidae
Here,Marine,DNI,DNI,DNI
Hesperoconopa,,Hesperoconopa,Hesperoconopa,Hesperoconopa
Hesperocorixa,"NonTarget - Hemiptera, water column or surface dwellers",Hesperocorixa,Hesperocorixa,Hesperocorixa
Hesperocorixa laevigata,"NonTarget - Hemiptera, water column or surface dwellers",Hesperocorixa laevigata,Hesperocorixa laevigata,Hesperocorixa laevigata
Hesperocorixa vulgaris,"NonTarget - Hemiptera, water column or surface dwellers",Hesperocorixa vulgaris,Hesperocorixa vulgaris,Hesperocorixa vulgaris
Hesperoperla,Single Species in Genus in OR/WA,Hesperoperla pacifica,Hesperoperla pacifica,Hesperoperla pacifica
Hesperoperla hoguei,,Hesperoperla hoguei,Hesperoperla hoguei,Hesperoperla hoguei
Hesperoperla pacficia,Single Species in Genus in OR/WA,Hesperoperla pacifica,Hesperoperla pacifica,Hesperoperla pacifica
Hesperoperla pacifica,Single Species in Genus in OR/WA,Hesperoperla pacifica,Hesperoperla pacifica,Hesperoperla pacifica
Hesperophylax,,Hesperophylax,Hesperophylax,Hesperophylax
Hesperperla hoguei,"Found in CA, Not known from OR/WA yet.",Hesperoperla hoguei,Hesperoperla hoguei,Hesperoperla hoguei
Hetaerina,,Hetaerina,Hetaerina,Hetaerina
Heterelmis,"This is a valid taxon, but way out of distribution dubious ID or typo?",DNI,DNI,DNI
Heterlimnius,only one species in Genus,Heterlimnius corpulentus,Heterlimnius corpulentus,Heterlimnius corpulentus
Heterlimnius corpulentus,only one species in Genus,Heterlimnius corpulentus,Heterlimnius corpulentus,Heterlimnius corpulentus
Heterlimnius divergens,bad genus sp. combo,Heterlimnius corpulentus,Heterlimnius corpulentus,Heterlimnius corpulentus
Heterlimnius koebelei,only one species in Genus,Heterlimnius corpulentus,Heterlimnius corpulentus,Heterlimnius corpulentus
Heteroceridae,"mud loving beetles, riparian at best",DNI,DNI,DNI
Heterocloeon,,Heterocloeon,Heterocloeon,Heterocloeon
Heteroplectron,single regional sp.,Heteroplectron californicum,Heteroplectron californicum,Heteroplectron californicum
Heteroplectron californicum,sinlge regional sp.,Heteroplectron californicum,Heteroplectron californicum,Heteroplectron californicum
Heteropora pacifica,"Valid taxon, but typo to Hesperoperla pacifica??",DNI,DNI,DNI
Heteroptera,"NonTarget - Hemiptera, water column or surface dwellers",Heteroptera,Heteroptera,Heteroptera
Heterosternuta,Genera within Hydroporinae in flux best to leave at subfamily,Heterosternuta,Heterosternuta,Heterosternuta
Heterotanytarsus,,Heterotanytarsus,Heterotanytarsus,Heterotanytarsus
Heterotrissocladius,,Heterotrissocladius,Heterotrissocladius,Heterotrissocladius
Heterotrissocladius marcidus,FORMATTING,Heterotrissocladius Marcidus Group,Heterotrissocladius Marcidus Group,Heterotrissocladius Marcidus Group
Heterotrissocladius Marcidus Gr.,FORMATTING,Heterotrissocladius Marcidus Group,Heterotrissocladius Marcidus Group,Heterotrissocladius Marcidus Group
