FinalID,NonTarget,Rank,FFG,FeedingGroupsCode,FeedGrpWt,HABIT,HABIT_MPCA,TolVal,TolVal2,LongLived,BCG_Attr_GP,BCG_Attr_RR,BCG_Cool_8,BCG_Cold_9,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,Family,SubFamily,Tribe,Genus,SubGenus,Species,BenTaxaID,TSN,ParTSN
Chaoboridae,FALSE,Family,PR,pr,PredE,SP,spra,,19.41181749,FALSE,4,,,,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chaoboridae,,,,,,342,125886,125808
Chaoborus,FALSE,Genus,PR,pr,PredE,SP,spra,,19.36633356,FALSE,4,,,,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chaoboridae,Chaoborinae,,Chaoborus,,,343,125904,125892
Chauliodes,FALSE,Genus,PR,pr,PredE,CN,clng,,20.11248048,FALSE,4,4,4,4,Arthropoda,,Insecta,Pterygota,Megaloptera,,Corydalidae,Chauliodinae,,Chauliodes,,,882,115024,115023
Chelifera,FALSE,Genus,CG,cg,PredE,SP,spra,,17.75452351,FALSE,,,4,4,Arthropoda,,Insecta,Pterygota,Diptera,Brachycera,Empididae,Hemerodromiinae,Hemerodromiini,Chelifera,,,284,136305,136304
Chelifera/Metachela,FALSE,Genus,,,,,,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Diptera,Brachycera,Empididae,Hemerodromiinae,Hemerodromiini,Chelifera/Metachela,,,285,,
Chernovskiia,FALSE,Genus,CG,cg,,SP,spra,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Chironominae,Chironomini,Chernovskiia,,,351,129249,129229
Cheumatopsyche,FALSE,Genus,CF,cf,,CN,clng,8.049301576,20.5911269,FALSE,4,4,4,4,Arthropoda,,Insecta,Pterygota,Trichoptera,Annulipalpia,Hydropsychidae,Hydropsychinae,,Cheumatopsyche,,,1079,115408,115398
Chimarra,FALSE,Genus,CF,cf,,CN,clng,0,20.30629218,FALSE,3,3,3,3,Arthropoda,,Insecta,Pterygota,Trichoptera,Annulipalpia,Philopotamidae,Chimarrinae,,Chimarra,,,1116,115273,115257
Chioneinae,FALSE,Subfamily,CG,cg,PredE,BU,burr,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Tipulidae,Chioneinae,,,,,,,
Chironomidae,FALSE,Family,CG,cg,,,,,20.14337829,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,,,,,,345,127917,125808
Chironominae,FALSE,Subfamily,CG,cg,,BU,burr,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Chironominae,,,,,346,129228,127917
Chironomini,FALSE,Tribe,CG,cg,,BU,burr,6,21,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Chironominae,Chironomini,Phaenopsectra/Tribelos,,,390,129229,129228
Chironomus,FALSE,Genus,CG,cg,,BU,burr,8.643067349,18.97414201,FALSE,4,5,5,5,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Chironominae,Chironomini,Chironomus,,,352,129254,129229
Chloroperlidae,FALSE,Family,PR,pr,,CN,clng,,,FALSE,3,3,3,3,Arthropoda,,Insecta,Pterygota,Plecoptera,Systellognatha,Chloroperlidae,,,,,,993,103202,102912
Chloroperlidae/Perlodidae,FALSE,Family,,,,,,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Plecoptera,Systellognatha,Chloroperlidae/Perlodidae,,,,,,1000,,
Chlorotabanus,FALSE,Genus,,,,,,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Diptera,Brachycera,Tabanidae,Tabaninae,Diachlorini,Chlorotabanus,,,310,131249,131233
Choroterpes,FALSE,Genus,CG,cg,,CN,clng,,,FALSE,3,3,,,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Furcatergalia,Leptophlebiidae,,,Choroterpes,,,725,101108,101095
Chromagrion,FALSE,Genus,PR,pr,PredE,CB,clim,,,FALSE,,,2,2,Arthropoda,,Insecta,Pterygota,Odonata,Zygoptera,Coenagrionidae,,,Chromagrion,,,968,102133,102077
Chrysomelidae,FALSE,Family,SH,sh,,CN,clng,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Coleoptera,Polyphaga,Chrysomelidae,,,,,,192,114509,114496
Chrysops,FALSE,Genus,PR,pr,PredP,SP,spra,,19.76281608,FALSE,3,3,3,3,Arthropoda,,Insecta,Pterygota,Diptera,Brachycera,Tabanidae,Chrysopsinae,Chrysopsini,Chrysops,,,313,131078,131061
Chyrandra,FALSE,Genus,,,,,,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Trichoptera,Integripalpia,Limnephilidae,Limnephilinae,Stenophylacini,Chyrandra,,,1194,568778,568769
Cinygmula,FALSE,Genus,,,,,,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Setisura,Heptageniidae,,,Cinygmula,,,789,100557,100504
Cipangopaludina,FALSE,Genus,SC,sc,,CB,clim,,,FALSE,,,,,Mollusca,,Gastropoda,Prosobranchia,Architaenioglossa,,Viviparidae,,,Cipangopaludina,,,1675,70328,70304
Claassenia,FALSE,Genus,,,,,,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Plecoptera,Systellognatha,Perlidae,Perlinae,Perlini,Claassenia,,,1004,102930,102914
