FinalID,NonTarget,Rank,FFG,FeedingGroupsCode,FeedGrpWt,HABIT,HABIT_MPCA,TolVal,TolVal2,LongLived,BCG_Attr_GP,BCG_Attr_RR,BCG_Cool_8,BCG_Cold_9,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,Family,SubFamily,Tribe,Genus,SubGenus,Species,TolVal_RBP,TolValSource,BenTaxaID,TSN,ParTSN
Ephemerella/Serratella,FALSE,Genus,,,,,,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Furcatergalia,Ephemerellidae,,,Ephemerella/Serratella,,,3,WSA,700,,
Ephemerellidae,FALSE,Family,CG,cg,,CN,clng,0.997618978,19.74782557,FALSE,3,3,3,3,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Furcatergalia,Ephemerellidae,,,,,,1,WSA,680,101232,568542
Ephemeridae,FALSE,Family,CG,cg,,BU,burr,9.393313925,21.08232023,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Furcatergalia,Ephemeridae,,,,,,5,WSA,710,101525,101508
Ephemeroptera,FALSE,Order,CG,cg,,,,4,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Ephemeroptera,,,,,,,,4,WSA,659,100502,563889
Ephoron,FALSE,Genus,CG,cg,,BU,burr,7.38028207,21.09495336,FALSE,4,4,,,Arthropoda,,Insecta,Pterygota,Ephemeroptera,Furcatergalia,Polymitarcyidae,,,Ephoron,,,2,WSA,734,101570,101569
Ephydra,FALSE,Genus,CG,cg,,BU,burr,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Diptera,Brachycera,Ephydridae,Ephydrinae,Ephydrini,Ephydra,,,,WSA,295,147486,147466
Ephydridae,FALSE,Family,CG,cg,,BU,burr,9.46130305,19.84491104,FALSE,4,5,5,5,Arthropoda,,Insecta,Pterygota,Diptera,Brachycera,Ephydridae,,,,,,6,WSA,288,146893,131750
Epiaeschna,FALSE,Genus,PR,pr,PredE,CB,clim,4,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Odonata,Anisoptera,Aeshnidae,,,Epiaeschna,,,1,USEPA 1990 Draft,906,101637,101596
Epitheca,FALSE,Genus,PR,pr,PredE,CB,clim,4.127046583,,TRUE,4,4,,,Arthropoda,,Insecta,Pterygota,Odonata,Anisoptera,Corduliidae,Corduliinae,,Epitheca,,,4,RBP2 1999 (MACS),912,102035,102026
Epoicocladius,FALSE,Genus,CG,cg,,,,9.869097035,24.34895261,FALSE,4,4,4,4,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Chironomidae,Orthocladiinae,Orthocladiini,Epoicocladius,,,0,WSA,492,128682,128457
Eriocera,FALSE,Genus,,,,,,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Tipulidae,,,Eriocera,,,2,WSA,633,120095,
Erioptera,FALSE,Genus,CG,cg,PredE,BU,burr,5.078002699,17.73942806,FALSE,,,4,4,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Tipulidae,Limoniinae,Eriopterini,Erioptera,,,6,WSA,639,120503,120397
Erioptera/Ormosia,FALSE,Genus,,,,,,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Tipulidae,Limoniinae,Eriopterini,Erioptera/Ormosia,,,,WSA,640,,
Eriopterini,FALSE,Tribe,,,,,,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Diptera,Nematocera,Tipulidae,Limoniinae,Eriopterini,,,,,WSA,637,120397,119654
Eristalis,FALSE,Genus,CG,cg,,BU,burr,10,,FALSE,5,5,,,Arthropoda,,Insecta,Pterygota,Diptera,,Syrphidae,,Eristaliini,Eristalis,,,,,1694,140904,140896
Erpetogomphus,FALSE,Genus,PR,pr,PredE,BU,burr,5,,FALSE,3,3,,,Arthropoda,,Insecta,Pterygota,Odonata,Anisoptera,Gomphidae,,,Erpetogomphus,,,4,WSA,930,101725,101664
Erpetogomphus/Gomphus,FALSE,Genus,,,,,,,,FALSE,,,,,Arthropoda,,Insecta,Pterygota,Odonata,Anisoptera,Gomphidae,,,Erpetogomphus/Gomphus,,,,WSA,931,,
