Taxon orig,OTU_BCG_NortheastLakes_v1,modified_BCG,Slash,Questionable,Notes
Caloneis bacillum var. fontinalis,Caloneis bacillum var. fontinalis,no,,,
Caloneis branderii,Caloneis branderii,no,,,
Caloneis hyalina,Caloneis hyalina,no,,,
Caloneis lancettula,Caloneis lancettula,no,,,
Caloneis lauta Carter,Caloneis lauta,yes,,,
Caloneis lauta,Caloneis lauta,no,,,
Caloneis leptosoma,Caloneis leptosoma,no,,,
Caloneis lewisii Patrick,Caloneis lewisii,yes,,,
Caloneis lewisii,Caloneis lewisii,no,,,
Caloneis lewisii var. inflata,Caloneis lewisii var. inflata,no,,,
Caloneis lewisii v. inflata,Caloneis lewisii var. inflata,yes,,,
Caloneis pulchra,Caloneis pulchra,no,,,
Caloneis schroederi,Caloneis schroederi,no,,,
Caloneis schumanniana,Caloneis schumanniana,no,,,
Caloneis schumanniana var. biconstricta,Caloneis schumanniana var. biconstricta,no,,,
Caloneis silicula,Caloneis silicula,no,,,
Caloneis sp. 1 NE Lakes,Caloneis sp. 1 NE Lakes,no,,,
Caloneis sp. 10 NE Lakes,Caloneis sp. 10 NE Lakes,no,,,
Caloneis sp. 11 NE Lakes,Caloneis sp. 11 NE Lakes,no,,,
Caloneis sp. 13 NE Lakes,Caloneis sp. 13 NE Lakes,no,,,
Caloneis sp. 14 NE Lakes,Caloneis sp. 14 NE Lakes,no,,,
Caloneis sp. 2 NE Lakes,Caloneis sp. 2 NE Lakes,no,,,
Caloneis sp. 3 NE Lakes,Caloneis sp. 3 NE Lakes,no,,,
Caloneis sp. 4 NE Lakes,Caloneis sp. 4 NE Lakes,no,,,
Caloneis sp. 5 NE Lakes,Caloneis sp. 5 NE Lakes,no,,,
Caloneis sp. 6 NE Lakes,Caloneis sp. 6 NE Lakes,no,,,
Caloneis sp. 7 NE Lakes,Caloneis sp. 7 NE Lakes,no,,,
Caloneis sp. 8 NE Lakes,Caloneis sp. 8 NE Lakes,no,,,
Caloneis sp. 9 NE Lakes,Caloneis sp. 9 NE Lakes,no,,,
Caloneis tenuis,Caloneis tenuis,no,,,
Caloneis thermalis,Caloneis thermalis,no,,,
Caloneis undulata,Caloneis undulata,no,,,
Caloneis ventricosa,Caloneis ventricosa,no,,,
Caloneis ventricosa var. minuta,Caloneis ventricosa var. minuta,no,,,
Caloneis ventricosa var. subundulata,Caloneis ventricosa var. subundulata,no,,,
Caloneis ventricosa var. truncatula,Caloneis ventricosa var. truncatula,no,,,
Campylodiscus hibernicus,Campylodiscus hibernicus,no,,,
Campylostylus normannianus,Campylostylus normannianus,no,,,
Capartogramma crucicula (Grunow ex Cleve) Ross,Capartogramma crucicula,yes,,,
Capartogramma crucicula,Capartogramma crucicula,no,,,
Cavinula,Cavinula,no,,,
Navicula cocconeiformis,Cavinula cocconeiformis,yes,,,
Cavinula cocconeiformis (Gregory ex Greville) Mann et Stickle,Cavinula cocconeiformis,yes,,,
Cavinula cocconeiformis,Cavinula cocconeiformis,no,,,
Cavinula cocconeiformis f. elliptica,Cavinula cocconeiformis f. elliptica,no,,,
Cavinula cocconeiformis Morphotype 1,Cavinula cocconeiformis Morphotype 1,no,,,
Cavinula cocconeiformis Morphotype 2,Cavinula cocconeiformis Morphotype 2,no,,,
Cavinula jaernefeltii (Hustedt) Mann et Stickle,Cavinula jaernefeltii,yes,,,
Cavinula jaernefeltii,Cavinula jaernefeltii,no,,,
Cavinula lapidosa,Cavinula lapidosa,no,,,
Navicula pseudoscutiformis,Cavinula pseudoscutiformis,yes,,,
Cavinula pseudoscutiformis (Hustedt) Mann et Stickle,Cavinula pseudoscutiformis,yes,,,
Cavinula pseudoscutiformis,Cavinula pseudoscutiformis,no,,,
Navicula scutelloides,Cavinula scutelloides,yes,,,
Cavinula scutelloides,Cavinula scutelloides,no,,,
Cavinula scutiformis,Cavinula scutiformis,no,,,
Cavinula sp. 1 NE Lakes,Cavinula sp. 1 NE Lakes,no,,,
Cavinula variostriata (Krasske) Mann,Cavinula variostriata,yes,,,
Cavinula variostriata,Cavinula variostriata,no,,,
