Taxon orig,OTU_BCG_NortheastLakes_v1,modified_BCG,Slash,Questionable,Notes
Planothidium delicatulum,Planothidium delicatulum,no,,,
Planothidium distinctum,Planothidium distinctum,no,,,
Planothidium dubium,Planothidium dubium,no,,,
Achnanthes lanceolata var. dubia,Planothidium dubium,yes,,,
Planothidium ellipticum,Planothidium ellipticum,no,,,
Planothidium engelbrechtii,Planothidium engelbrechtii,no,,,
Planothidium frequentissimum (Lange-Bertalot) Lange-Bertalot,Planothidium frequentissimum,yes,,,
Planothidium frequentissimum,Planothidium frequentissimum,no,,,
Planothidium gallicum,Planothidium gallicum,no,,,
Planothidium granum,Planothidium granum,no,,,
Planothidium hauckianum,Planothidium hauckianum,no,,,
Planothidium haynaldii,Planothidium haynaldii,no,,,
Achnanthes lanceolata var. haynaldii,Planothidium haynaldii,yes,,,
Planothidium holstii,Planothidium holstii,no,,,
"Planothidium incuriatum Wetzel, Van de Vijver et Ector in Wetzel et al",Planothidium incuriatum,yes,,,
Planothidium incuriatum,Planothidium incuriatum,no,,,
Planothidium incuriatum/rostratum,Planothidium incuriatum/P. rostratum,yes,yes,,
Planothidium joursacense (Héribaud) Lange-Bertalot,Planothidium joursacense,yes,,,
Planothidium joursacense,Planothidium joursacense,no,,,
Planothidium lanceolatoides,Planothidium lanceolatoides,no,,,
Planothidium lanceolatum (Brébisson ex Kützing) Lange-Bertalot,Planothidium lanceolatum,yes,,,
Planothidium lanceolatum,Planothidium lanceolatum,no,,,
Achnanthes lanceolata,Planothidium lanceolatum,yes,,,
Planothidium lanceolatum var. omissum,Planothidium lanceolatum var. omissum,no,,,
Achnanthes lanceolata var. omissa,Planothidium lanceolatum var. omissum,yes,,,
Planothidium minutissimum,Planothidium minutissimum,no,,,
Skabitschewskia oestrupii,Planothidium oestrupii,yes,,,
Planothidium oestrupii,Planothidium oestrupii,no,,,
Skabitschewskia peragalloi,Planothidium peragalli,yes,,,
Planothidium peragalli,Planothidium peragalli,no,,,
Planothidium robustius,Planothidium robustius,no,,,
Planothidium robustum,Planothidium robustum,no,,,
Planothidium rostratoholarcticum Lange-Bertalot & Bak,Planothidium rostratoholarcticum,yes,,,
Planothidium rostratoholarcticum,Planothidium rostratoholarcticum,no,,,
Achnanthes lanceolata var. rostrata,Planothidium rostratoholarcticum,yes,,,
Planothidium rostratoholarcticum/tuji,Planothidium rostratoholarcticum/P. tuji,yes,yes,,
Planothidium rostratum,Planothidium rostratum,no,,,
Planothidium sp. 1 NE Lakes,Planothidium sp. 1 NE Lakes,no,,,
Planothidium sp. 2 NE Lakes,Planothidium sp. 2 NE Lakes,no,,,
Planothidium sp. 2 VTEC Lakes,Planothidium sp. 2 VTEC Lakes,no,,,
Planothidium sp. 503,Planothidium sp. 503,no,,,
Platessa,Platessa,no,,,
Platessa bahlsii Potapova,Platessa bahlsii,yes,,,
Platessa bahlsii,Platessa bahlsii,no,,,
Platessa conspicua (Mayer) Lange-Bertalot,Platessa conspicua,yes,,,
Platessa conspicua,Platessa conspicua,no,,,
Platessa hustedtii,Platessa hustedtii,no,,,
Achnanthes hustedtii,Platessa hustedtii,yes,,,
Platessa lutheri,Platessa lutheri,no,,,
Achnanthes lutheri,Platessa lutheri,yes,,,
Platessa montana,Platessa montana,no,,,
Achnanthes montana,Platessa montana,yes,,,
Platessa oblongella,Platessa oblongella,no,,,
Karayevia oblongella,Platessa oblongella,yes,,,
Achnanthes oblongella,Platessa oblongella,yes,,,
Platessa saxonica,Platessa saxonica,no,,,
Achnanthes saxonica,Platessa saxonica,yes,,,
Platessa sp. 2 NE Lakes,Platessa sp. 2 NE Lakes,no,,,
Platessa sp. 3 NE Lakes,Platessa sp. 3 NE Lakes,no,,,
Platessa stewartii (Patrick) Potapova,Platessa stewartii,yes,,,
Platessa stewartii,Platessa stewartii,no,,,
Achnanthes stewartii,Platessa stewartii,yes,,,
Platessa strelnikovae,Platessa strelnikovae,no,,,
Pleurosigma salinarum,Pleurosigma salinarum,no,,,
Pleurosira laevis,Pleurosira laevis,no,,,
Prestauroneis integra,Prestauroneis integra,no,,,
Navicula integra,Prestauroneis integra,yes,,,
Prestauroneis protracta,Prestauroneis protracta,no,,,
Parlibellus protracta,Prestauroneis protracta,yes,,,
Navicula protracta,Prestauroneis protracta,yes,,,
Proschkinia bulnheimii,Proschkinia bulnheimii,no,,,
Psammothidium,Psammothidium,no,,,
Psammothidium acidoclinatum,Psammothidium acidoclinatum,no,,,
Psammothidium alpinum,Psammothidium alpinum,no,,,
Psammothidium altaicum,Psammothidium altaicum,no,,,
Achnanthes altaica,Psammothidium altaicum,yes,,,
Psammothidium bioretii (Germain) Bukhtiyarova et Round,Psammothidium bioretii,yes,,,
Psammothidium bioretii,Psammothidium bioretii,no,,,
Achnanthes bioretii,Psammothidium bioretii,yes,,,
Psammothidium chlidanos (Hohn et Hellerman) Lange-Bertalot,Psammothidium chlidanos,yes,,,
Psammothidium chlidanos,Psammothidium chlidanos,no,,,
Psammothidium curtissimum,Psammothidium curtissimum,no,,,
Achnanthes curtissima,Psammothidium curtissimum,yes,,,
Psammothidium grischunum fo. daonensis,Psammothidium daonense,yes,,,
Psammothidium daonense Lange-Bertalot emended Lange Bertalot,Psammothidium daonense,yes,,,
Psammothidium daonense,Psammothidium daonense,no,,,
Psammothidium didymum (Hustedt) Bukhtiyarova et Round,Psammothidium didymum,yes,,,
Psammothidium didymum,Psammothidium didymum,no,,,
Achnanthes didyma,Psammothidium didymum,yes,,,
Psammothidium frigidum,Psammothidium frigidum,no,,,
Psammothidium grischunum,Psammothidium grischunum,no,,,
Psammothidium harveyi,Psammothidium harveyi,no,,,
Psammothidium helveticum,Psammothidium helveticum,no,,,
Achnanthes helvetica,Psammothidium helveticum,yes,,,
Achnanthes austriaca var. helvetica,Psammothidium helveticum,yes,,,
Psammothidium kryophilum,Psammothidium kryophilum,no,,,
Psammothidium lacus-vulcani,Psammothidium lacus-vulcani,no,,,
Psammothidium lauenburgianum (Hustedt) Bukhtiyarova et Round,Psammothidium lauenburgianum,yes,,,
Psammothidium lauenburgianum,Psammothidium lauenburgianum,no,,,
Psammothidium levanderi (Hustedt) Czarnecki,Psammothidium levanderi,yes,,,
Psammothidium levanderi,Psammothidium levanderi,no,,,
Achnanthes levanderi var. helvetica,Psammothidium levanderi,yes,,,
Achnanthes levanderi,Psammothidium levanderi,yes,,,
Psammothidium marginulatum,Psammothidium marginulatum,no,,,
Achnanthes marginulata,Psammothidium marginulatum,yes,,,
Psammothidium microscopicum,Psammothidium microscopicum,no,,,
Psammothidium pseudoswazi,Psammothidium pseudoswazi,no,,,
Psammothidium rossii (Hustedt) Bukhtiyarova et Round,Psammothidium rossii,yes,,,
Psammothidium rossii,Psammothidium rossii,no,,,
Psammothidium sacculum,Psammothidium sacculum,no,,,
Psammothidium scoticum,Psammothidium scoticum,no,,,
Psammothidium sp. 2 NE Lakes,Psammothidium sp. 2 NE Lakes,no,,,
Psammothidium subatomoides (Hustedt) Bukhtiyarova et Round,Psammothidium subatomoides,yes,,,
Psammothidium subatomoides,Psammothidium subatomoides,no,,,
Navicula subatomoides,Psammothidium subatomoides,yes,,,
Achnanthes detha,Psammothidium subatomoides,yes,,,
Psammothidium subsalsum,Psammothidium subsalsum,no,,,
Psammothidium ventralis,Psammothidium ventrale,yes,,,
Psammothidium ventrale,Psammothidium ventrale,no,,,
Navicula ventralis,Psammothidium ventrale,yes,,,
Achnanthes ventralis,Psammothidium ventrale,yes,,,
Pseudofallacia occulta,Pseudofallacia occulta,no,,,
Pseudofallacia tenera,Pseudofallacia tenera,no,,,
Fallacia tenera,Pseudofallacia tenera,yes,,,
Pseudoplanothidium hauckianum,Pseudoplanothidium hauckianum,no,,,
Achnanthes hauckiana,Pseudoplanothidium hauckianum,yes,,,
Pseudostaurosira sp. 1 ?,Pseudostaurosira,yes,,,
Pseudostaurosira sp. 1,Pseudostaurosira,yes,,,
Pseudostaurosira sp.,Pseudostaurosira,yes,,,
Pseudostaurosira,Pseudostaurosira,no,,,
Pseudostaurosira americana Morales,Pseudostaurosira americana,yes,,,
Pseudostaurosira americana,Pseudostaurosira americana,no,,,
Pseudostaurosira brevistriata (Grunow) Williams et Round,Pseudostaurosira brevistriata,yes,,,
Pseudostaurosira brevistriata,Pseudostaurosira brevistriata,no,,,
Fragilaria brevistriata (girdle view),Pseudostaurosira brevistriata,yes,,,
Fragilaria brevistriata,Pseudostaurosira brevistriata,yes,,,
Pseudostaurosira brevistriata var. capitata,Pseudostaurosira brevistriata var. capitata,no,,,
Fragilaria brevistriata var. capitata,Pseudostaurosira brevistriata var. capitata,yes,,,
Pseudostaurosira brevistriata var. inflata,Pseudostaurosira brevistriata var. inflata,no,,,
Pseudostaurosira brevistriata/Pseudostaurosira sp. 1 NE Lakes,Pseudostaurosira brevistriata/P. sp. 1 NE Lakes,yes,yes,,
Pseudostaurosira brevistriata/P. sp. 1 NE Lakes,Pseudostaurosira brevistriata/P. sp. 1 NE Lakes,no,yes,,
Staurosira elliptica,Pseudostaurosira elliptica,yes,,,
Pseudostaurosira elliptica,Pseudostaurosira elliptica,no,,,
Fragilaria elliptica,Pseudostaurosira elliptica,yes,,,
Pseudostaurosira microstriata (Marciniak) Flower,Pseudostaurosira microstriata,yes,,,
Pseudostaurosira microstriata,Pseudostaurosira microstriata,no,,,
Fragilaria microstriata,Pseudostaurosira microstriata,yes,,,
Pseudostaurosira neoelliptica,Pseudostaurosira neoelliptica,no,,,
Synedra parasitica,Pseudostaurosira parasitica,yes,,,
Pseudostaurosira parasitica (Smith) Morales,Pseudostaurosira parasitica,yes,,,
Pseudostaurosira parasitica,Pseudostaurosira parasitica,no,,,
Fragilaria parasitica,Pseudostaurosira parasitica,yes,,,
Pseudostaurosira parasitica var. subconstricta (Grunow) Morales,Pseudostaurosira parasitica var. subconstricta,yes,,,
Pseudostaurosira parasitica var. subconstricta,Pseudostaurosira parasitica var. subconstricta,no,,,
Pseudostaurosira polonica,Pseudostaurosira polonica,no,,,
Pseudostaurosira pseudoconstruens,Pseudostaurosira pseudoconstruens,no,,,
Pseudostaurosira robusta (Fusey) Williams et Round,Pseudostaurosira robusta,yes,,,
Pseudostaurosira robusta,Pseudostaurosira robusta,no,,,
Pseudostaurosira sp. 1 NE Lakes,Pseudostaurosira sp. 1 NE Lakes,no,,,
Pseudostaurosira sp. 1 NLS DME,Pseudostaurosira sp. 1 NLS DME,no,,,
Pseudostaurosira sp. 2 NAWQA EAM,Pseudostaurosira sp. 2 NAWQA EAM,no,,,
Pseudostaurosira sp. 2 NE Lakes,Pseudostaurosira sp. 2 NE Lakes,no,,,
Pseudostaurosira sp. 2 VTEC Lakes,Pseudostaurosira sp. 2 VTEC Lakes,no,,,
Pseudostaurosira sp. 3 NE Lakes,Pseudostaurosira sp. 3 NE Lakes,no,,,
Pseudostaurosira sp. 3 VTEC Lakes,Pseudostaurosira sp. 3 VTEC Lakes,no,,,
Pseudostaurosira sp. 4 VTEC Lakes,Pseudostaurosira sp. 4 VTEC Lakes,no,,,
Pseudostaurosira subsalina,Pseudostaurosira subsalina,no,,,
Pseudostaurosira trainorii,Pseudostaurosira trainorii,no,,,
Pseudostaurosira zeilleri,Pseudostaurosira zeilleri,no,,,
Pseudostaurosiropsis sp. 1 ?,Pseudostaurosiropsis,yes,,,
Pseudostaurosiropsis,Pseudostaurosiropsis,no,,,
Pseudostaurosiropsis connecticutensis,Pseudostaurosiropsis connecticutensis,no,,,
Pseudostaurosiropsis geocollegarum,Pseudostaurosiropsis geocollegarum,no,,,
Pseudostaurosiropsis sp. 1 NAWQA HAGAN,Pseudostaurosiropsis sp. 1 NAWQA HAGAN,no,,,
Pseudostaurosiropsis sp. 1 NLS EAM,Pseudostaurosiropsis sp. 1 NLS EAM,no,,,
Punctastriata lancettula,Punctastriata lancettula,no,,,
Fragilaria pinnata var. lancettula fo. subcapitata,Punctastriata lancettula,yes,,,
Fragilaria pinnata var. lancettula,Punctastriata lancettula,yes,,,
Punctastriata mimetica,Punctastriata mimetica,no,,,
Reimeria,Reimeria,no,,,
Reimeria sinuata (Gregory) Kociolek et Stoermer,Reimeria sinuata,yes,,,
Reimeria sinuata,Reimeria sinuata,no,,,
"Reimeria uniseriata Sala, Guerrero et Ferrario",Reimeria uniseriata,yes,,,
Reimeria uniseriata,Reimeria uniseriata,no,,,
Rexlowea navicularis Kociolek and Thomas,Rexlowea navicularis,yes,,,
Rexlowea navicularis,Rexlowea navicularis,no,,,
Rhaphoneis,Rhaphoneis,no,,,
Rhizosolenia spp.,Rhizosolenia,yes,,,
Rhizosolenia sp. 1 ?,Rhizosolenia,yes,,,
Rhizosolenia,Rhizosolenia,no,,,
Urosolenia longiseta,Rhizosolenia longiseta,yes,,,
Rhizosolenia longiseta,Rhizosolenia longiseta,no,,,
Rhoicosphenia,Rhoicosphenia,no,,,
Rhoicosphenia curvata,Rhoicosphenia abbreviata,yes,,,
Rhoicosphenia abbreviata (Agardh) Lange-Bertalot,Rhoicosphenia abbreviata,yes,,,
Rhoicosphenia abbreviata,Rhoicosphenia abbreviata,no,,,
Gomphonema abbreviatum,Rhoicosphenia abbreviata,yes,,,
Rhopalodia brebissonii,Rhopalodia brebissonii,no,,,
Rhopalodia gibba,Rhopalodia gibba,no,,,
Rhopalodia gibberula,Rhopalodia gibberula,no,,,
Rhopalodia musculus,Rhopalodia musculus,no,,,
Rhopalodia parallela,Rhopalodia parallela,no,,,
Rossithidium,Rossithidium,no,,,
Achnanthes linearis,Rossithidium,yes,,,
Rossithidium anastasiae (Kaczmarska) Potapova,Rossithidium anastasiae,yes,,,
Rossithidium anastasiae,Rossithidium anastasiae,no,,,
Rossithidium linearis,Rossithidium linearis,no,,,
Rossithidium nodosum (A. Cleve) Aboal,Rossithidium nodosum,yes,,,
Rossithidium nodosum,Rossithidium nodosum,no,,,
Achnanthes nodosa,Rossithidium nodosum,yes,,,
Rossithidium petersennii,Rossithidium petersennii,no,,,
Rossithidium pusillum (Grunow) Round et Bukhtiyarova,Rossithidium pusillum,yes,,,
Rossithidium pusillum,Rossithidium pusillum,no,,,
Achnanthes pusilla,Rossithidium pusillum,yes,,,
Sellaphora sp. 7,Sellaphora,yes,,,
Sellaphora sp. 6,Sellaphora,yes,,,
Sellaphora sp. 4 ?,Sellaphora,yes,,,
Sellaphora sp. 3 ?,Sellaphora,yes,,,
Sellaphora sp. 2 ?,Sellaphora,yes,,,
Sellaphora sp. 1?,Sellaphora,yes,,,
Sellaphora sp. 1 ?,Sellaphora,yes,,,
Sellaphora sp 5?,Sellaphora,yes,,,
Sellaphora,Sellaphora,no,,,
Sellaphora absoluta,Sellaphora absoluta,no,,,
Navicula absoluta,Sellaphora absoluta,yes,,,
Sellaphora alastos,Sellaphora alastos,no,,,
Sellaphora americana,Sellaphora americana,no,,,
Navicula americana,Sellaphora americana,yes,,,
Sellaphora arvensis,Sellaphora arvensis,no,,,
Navicula arvensis,Sellaphora arvensis,yes,,,
Sellaphora atomoides (Grunow) Wetzel et Van de Vijver,Sellaphora atomoides,yes,,,
Sellaphora atomoides,Sellaphora atomoides,no,,,
Eolimna minima,Sellaphora atomoides,yes,,,
Sellaphora auldreekie Mann & McDonald,Sellaphora auldreekie,yes,,,
Sellaphora auldreekie,Sellaphora auldreekie,no,,,
Sellaphora bacilloides,Sellaphora bacilloides,no,,,
Sellaphora bacillum,Sellaphora bacillum,no,,,
Sellaphora blackfordensis,Sellaphora blackfordensis,no,,,
Sellaphora capitata Mann & McDonald,Sellaphora capitata,yes,,,
Sellaphora capitata,Sellaphora capitata,no,,,
Navicula pupula var. capitata,Sellaphora capitata,yes,,,
Sellaphora crassulexigua (Reichardt) C.E. Wetzel & Ector,Sellaphora crassulexigua,yes,,,
Sellaphora crassulexigua,Sellaphora crassulexigua,no,,,
Sellophora davoutiana,Sellaphora davoutiana,yes,,,
Sellaphora davoutiana Heudre et al.,Sellaphora davoutiana,yes,,,
Sellaphora davoutiana,Sellaphora davoutiana,no,,,
Sellaphora difficillima,Sellaphora difficillima,no,,,
Navicula difficillima Hustedt,Sellaphora difficillima,yes,,,
Navicula difficillima,Sellaphora difficillima,yes,,,
Sellaphora disjuncta (Hustedt) Mann,Sellaphora disjuncta,yes,,,
Sellaphora disjuncta,Sellaphora disjuncta,no,,,
Navicula disjuncta,Sellaphora disjuncta,yes,,,
Sellaphora elorantana (Lange-Bertalot) Wetzel,Sellaphora elorantana,yes,,,
Sellaphora elorantana,Sellaphora elorantana,no,,,
Sellaphora hohnii,Sellaphora hohnii,no,,,
Sellaphora hustedtii,Sellaphora hustedtii,no,,,
Sellaphora laevissima (Kützing) Mann,Sellaphora laevissima,yes,,,
Sellaphora laevissima,Sellaphora laevissima,no,,,
Navicula laevissima,Sellaphora laevissima,yes,,,
Sellaphora laevissima very coarse,Sellaphora laevissima very coarse,no,,,
"Sellaphora laevissima Î¦ ""very coarse""",Sellaphora laevissima very coarse,yes,,,
"Sellaphora laevissima \very coarse\""",Sellaphora laevissima very coarse,yes,,,
"Sellaphora laevissima ""very coarse""",Sellaphora laevissima very coarse,yes,,,
Sellaphora laticeps,Sellaphora laticeps,no,,,
Sellaphora medioconvexa,Sellaphora medioconvexa,no,,,
Sellaphora mutata,Sellaphora mutata,no,,,
Sellaphora nigri (De Notaris) Wetzel et Ector,Sellaphora nigri,yes,,,
Sellaphora nigri,Sellaphora nigri,no,,,
Sellaphora obdurata,Sellaphora obdurata,no,,,
Sellaphora parapupula,Sellaphora parapupula,no,,,
Sellaphora pseudopupula,Sellaphora pseudopupula,no,,,
Sellaphora pseudoventralis (Hustedt) Chudaev & Gololobova,Sellaphora pseudoventralis,yes,,,
Sellaphora pseudoventralis,Sellaphora pseudoventralis,no,,,
Navicula pseudoventralis,Sellaphora pseudoventralis,yes,,,
Sellaphora pupula (Kützing) Meresckowsky,Sellaphora pupula,yes,,,
Sellaphora pupula,Sellaphora pupula,no,,,
Navicula pupula,Sellaphora pupula,yes,,,
Navicula cf. pupula,Sellaphora pupula,yes,,,
Sellaphora pupula var. mutata,Sellaphora pupula var. mutata,no,,,
Navicula pupula var. mutata,Sellaphora pupula var. mutata,yes,,,
Sellaphora pupula var. rectangularis,Sellaphora pupula var. rectangularis,no,,,
Sellaphora raederae,Sellaphora raederae,no,,,
Sellaphora rectangularis,Sellaphora rectangularis,no,,,
Navicula pupula var. rectangularis,Sellaphora rectangularis,yes,,,
Sellaphora rotunda,Sellaphora rotunda,no,,,
Navicula rotunda,Sellaphora rotunda,yes,,,
Sellaphora rugula,Sellaphora rugula,no,,,
Sellaphora saugerresii (Desmazieres) Wetzel et Mann,Sellaphora saugerresii,yes,,,
Sellaphora saugerresii,Sellaphora saugerresii,no,,,
Sellaphora schadei,Sellaphora schadei,no,,,
Navicula schadei,Sellaphora schadei,yes,,,
Navicula seminuloides,Sellaphora seminuloides,yes,,,
Sellaphora seminulum,Sellaphora seminulum,no,,,
Navicula seminulum,Sellaphora seminulum,yes,,,
Sellaphora sp. 1 NE Lakes,Sellaphora sp. 1 NE Lakes,no,,,
Sellaphora sp. 1 VTEC Lakes,Sellaphora sp. 1 VTEC Lakes,no,,,
Sellaphora sp. 10 NE Lakes,Sellaphora sp. 10 NE Lakes,no,,,
Sellaphora sp. 11 NE Lakes,Sellaphora sp. 11 NE Lakes,no,,,
Sellaphora sp. 12 NE Lakes,Sellaphora sp. 12 NE Lakes,no,,,
Sellaphora sp. 13 NE Lakes,Sellaphora sp. 13 NE Lakes,no,,,
Sellaphora sp. 14 NE Lakes,Sellaphora sp. 14 NE Lakes,no,,,
Sellaphora sp. 15 NE Lakes,Sellaphora sp. 15 NE Lakes,no,,,
Sellaphora sp. 16 NE Lakes,Sellaphora sp. 16 NE Lakes,no,,,
Sellaphora sp. 17 NE Lakes,Sellaphora sp. 17 NE Lakes,no,,,
Sellaphora sp. 18 NE Lakes,Sellaphora sp. 18 NE Lakes,no,,,
Sellaphora sp. 19 NE Lakes,Sellaphora sp. 19 NE Lakes,no,,,
Sellaphora sp. 2 NE Lakes,Sellaphora sp. 2 NE Lakes,no,,,
Sellaphora sp. 20 NE Lakes,Sellaphora sp. 20 NE Lakes,no,,,
Sellaphora sp. 21 NE Lakes,Sellaphora sp. 21 NE Lakes,no,,,
Sellaphora sp. 23 NE Lakes,Sellaphora sp. 23 NE Lakes,no,,,
Sellaphora sp. 25 NE Lakes,Sellaphora sp. 25 NE Lakes,no,,,
Sellaphora sp. 26 NE Lakes,Sellaphora sp. 26 NE Lakes,no,,,
Sellaphora sp. 27 NE Lakes,Sellaphora sp. 27 NE Lakes,no,,,
Sellaphora sp. 28 NE Lakes,Sellaphora sp. 28 NE Lakes,no,,,
Sellaphora sp. 29 NE Lakes,Sellaphora sp. 29 NE Lakes,no,,,
Sellaphora sp. 3 NE Lakes,Sellaphora sp. 3 NE Lakes,no,,,
Sellaphora sp. 3 VTEC Lakes,Sellaphora sp. 3 VTEC Lakes,no,,,
Sellaphora sp. 30 NE Lakes,Sellaphora sp. 30 NE Lakes,no,,,
Sellaphora sp. 31 NE Lakes,Sellaphora sp. 31 NE Lakes,no,,,
Sellaphora sp. 32 NE Lakes,Sellaphora sp. 32 NE Lakes,no,,,
Sellaphora sp. 33 NE Lakes,Sellaphora sp. 33 NE Lakes,no,,,
Sellaphora sp. 34 NE Lakes,Sellaphora sp. 34 NE Lakes,no,,,
Sellaphora sp. 37 NE Lakes,Sellaphora sp. 37 NE Lakes,no,,,
Sellaphora sp. 38 NE Lakes,Sellaphora sp. 38 NE Lakes,no,,,
Sellaphora sp. 39 NE Lakes,Sellaphora sp. 39 NE Lakes,no,,,
Sellaphora sp. 4 NE Lakes,Sellaphora sp. 4 NE Lakes,no,,,
Sellaphora sp. 4 VTEC Lakes,Sellaphora sp. 4 VTEC Lakes,no,,,
Sellaphora sp. 40 NE Lakes,Sellaphora sp. 40 NE Lakes,no,,,
Sellaphora sp. 41 NE Lakes,Sellaphora sp. 41 NE Lakes,no,,,
Sellaphora sp. 5 NE Lakes,Sellaphora sp. 5 NE Lakes,no,,,
Sellaphora sp. 5 VTEC Lakes,Sellaphora sp. 5 VTEC Lakes,no,,,
Sellaphora sp. 504 NE Lakes,Sellaphora sp. 504 NE Lakes,no,,,
Sellaphora sp. 505 NE Lakes,Sellaphora sp. 505 NE Lakes,no,,,
Sellaphora sp. 507 NE Lakes,Sellaphora sp. 507 NE Lakes,no,,,
Sellaphora sp. 508 NE Lakes,Sellaphora sp. 508 NE Lakes,no,,,
Sellaphora sp. 6 NE Lakes,Sellaphora sp. 6 NE Lakes,no,,,
Sellaphora sp. 6 VTEC Lakes,Sellaphora sp. 6 VTEC Lakes,no,,,
Sellaphora sp. 7 NE Lakes,Sellaphora sp. 7 NE Lakes,no,,,
Sellaphora sp. 7 VTEC Lakes,Sellaphora sp. 7 VTEC Lakes,no,,,
Sellaphora sp. 8 NE Lakes,Sellaphora sp. 8 NE Lakes,no,,,
Sellaphora sp. 8 VTEC Lakes,Sellaphora sp. 8 VTEC Lakes,no,,,
Sellaphora sp. 9 NE Lakes,Sellaphora sp. 9 NE Lakes,no,,,
Sellaphora sp. 9 VTEC Lakes,Sellaphora sp. 9 VTEC Lakes,no,,,
Sellaphora sp.19 SESQA,Sellaphora sp.19 SESQA,no,,,
Sellaphora stauroneioides,Sellaphora stauroneioides,no,,,
Sellaphora stroemii,Sellaphora stroemii,no,,,
Navicula submuralis,Sellaphora submuralis,yes,,,
Sellaphora subrotundata,Sellaphora subrotundata,no,,,
Navicula subrotundata fo. lanceolata,Sellaphora subrotundata,yes,,,
Navicula subrotundata,Sellaphora subrotundata,yes,,,
Sellaphora tridentula,Sellaphora tridentula,no,,,
Navicula tridentula,Sellaphora tridentula,yes,,,
Sellaphora utermoehlii,Sellaphora utermoehlii,no,,,
Navicula utermoehlii,Sellaphora utermoehlii,yes,,,
Sellaphora verecundiae,Sellaphora verecundiae,no,,,
Sellaphora vitabunda,Sellaphora vitabunda,no,,,
Navicula vitabunda,Sellaphora vitabunda,yes,,,
Sellaphora wallacei (Reimer) Potapova et Ponader,Sellaphora wallacei,yes,,,
Sellaphora wallacei,Sellaphora wallacei,no,,,
Navicula wallacei,Sellaphora wallacei,yes,,,
Sellaphors alastos,Sellaphors alastos,no,,,
Semiorbis rotundus,Semiorbis hemicyclus,yes,,,
Semiorbis hemicyclus,Semiorbis hemicyclus,no,,,
Eunotia hemicyclus,Semiorbis hemicyclus,yes,,,
Simonsenia delognei,Simonsenia delognei,no,,,
Achnanthes oestrupii var. lanceolata,Skabitschewskia oestrupii,yes,,,
Skabitschewskia peragalloi (Brun & Héribaud) Kuliskovskiy & Lange-Bertalot,Skabitschewskia peragalloi,yes,,,
Achnanthes peragalli,Skabitschewskia peragalloi,yes,,,
Skeletonema,Skeletonema,no,,,
Skeletonema potamos,Skeletonema potamos,no,,,
Stauroforma sp. 1,Stauroforma,yes,,,
Stauroforma sp.,Stauroforma,yes,,,
Stauroforma,Stauroforma,no,,,
"Stauroforma exiguiformis (Lange-Bertalot) Flower, Jones et Round",Stauroforma exiguiformis,yes,,,
Stauroforma exiguiformis,Stauroforma exiguiformis,no,,,
Fragilaria virescens var. exigua,Stauroforma exiguiformis,yes,,,
Stauroforma inermis,Stauroforma inermis,no,,,
Stauroneis spp.,Stauroneis,yes,,,
Stauroneis sp. 3?,Stauroneis,yes,,,
Stauroneis sp. 2?,Stauroneis,yes,,,
Stauroneis sp. 2 ?,Stauroneis,yes,,,
Stauroneis sp. 1?,Stauroneis,yes,,,
Stauroneis sp. 1 ?,Stauroneis,yes,,,
Stauroneis sp.,Stauroneis,yes,,,
Stauroneis,Stauroneis,no,,,
Stauroneis acuta,Stauroneis acuta,no,,,
Stauroneis agrestis,Stauroneis agrestis,no,,,
Stauroneis nobilis fo. alabamae,Stauroneis alabamae,yes,,,
Stauroneis alabamae,Stauroneis alabamae,no,,,
Stauroneis amphicephala,Stauroneis amphicephala,no,,,
Stauroneis amphioxys,Stauroneis amphioxys,no,,,
Stauroneis anceps,Stauroneis anceps,no,,,
Stauroneis anceps var. 1 PIRLA,Stauroneis anceps var. 1 PIRLA,no,,yes,What is var. 1 PIRLA?
Stauroneis anceps var. 2 PIRLA,Stauroneis anceps var. 2 PIRLA,no,,yes,What is var. 2 PIRLA?
Stauroneis anceps var. 3 PIRLA,Stauroneis anceps var. 3 PIRLA,no,,,
Stauroneis anceps var. linearis,Stauroneis anceps var. linearis,no,,,
Stauroneis anceps fo. linearis,Stauroneis anceps var. linearis,yes,,,
Stauroneis angustilancea,Stauroneis angustilancea,no,,,
Stauroneis nobilis var. baconiana,Stauroneis baconiana,yes,,,
Stauroneis baconiana Stodder,Stauroneis baconiana,yes,,,
Stauroneis baconiana,Stauroneis baconiana,no,,,
Stauroneis bryocola,Stauroneis bryocola,no,,,
Stauroneis conspicua,Stauroneis conspicua,no,,,
Stauroneis dilatata,Stauroneis dilatata,no,,,
Stauroneis elegantula,Stauroneis elegantula,no,,,
Stauroneis fluminea,Stauroneis fluminea,no,,,
Stauroneis fluminopsis,Stauroneis fluminopsis,no,,,
Stauroneis gracilior,Stauroneis gracilior,no,,,
Stauroneis gracilis Ehrenberg,Stauroneis gracilis,yes,,,
Stauroneis gracilis,Stauroneis gracilis,no,,,
"Stauroneis anceps fo. gracilis PLUS vars. 1, 2, and 3",Stauroneis gracilis,yes,,,
Stauroneis anceps fo. gracilis,Stauroneis gracilis,yes,,,
Stauroneis heinii,Stauroneis heinii,no,,,
Stauroneis kootenai Bahls,Stauroneis kootenai,yes,,,
Stauroneis kootenai,Stauroneis kootenai,no,,,
Stauroneis kriegeri Patrick,Stauroneis kriegeri,yes,,,
Stauroneis kriegeri,Stauroneis kriegeri,no,,,
