Taxon_orig,OTU_BCG_v1,Modified_BCG_v1,Rationale_modifyBCG,OTU_FinerRezWorms,Taxon_group
Ephemerella tibialis,Ephemerella tibialis,no,,Ephemerella tibialis,Ephemeroptera
Ephemerellidae,Ephemerellidae,no,,Ephemerellidae,Ephemeroptera
Ephemeridae,Ephemeridae,no,,Ephemeridae,Ephemeroptera
Ephemeroptera,Ephemeroptera,no,,Ephemeroptera,Ephemeroptera
Ephoron,Ephoron,no,,Ephoron,Ephemeroptera
Ephoron album,Ephoron,yes,backed off to genus,Ephoron,Ephemeroptera
Ephoron sp.,Ephoron,yes,sp.,Ephoron,Ephemeroptera
Ephydridae,Ephydridae,no,,Ephydridae,Diptera
Erioptera,Erioptera,no,,Erioptera,Diptera
Erioptera sp.,Erioptera,yes,sp.,Erioptera,Diptera
Erpobdella,Erpobdella,no,,Erpobdella,Leeches
Erpobdellidae,Erpobdella,yes,backed off to family,Erpobdella,Leeches
Estelloxus,Acari,yes,mites collapsed to Acari,Lebertia,Acari
Estelloxus sp.,Acari,yes,mites collapsed to Acari,Lebertia,Acari
Eubrianax edwardsi,Eubrianax edwardsii,yes,spelling,Eubrianax edwardsii,Coleoptera
Eubrianax edwardsii,Eubrianax edwardsii,no,,Eubrianax edwardsii,Coleoptera
Eucapnopsis brevicauda,Capniidae,yes,nomenclature,Capniidae,Plecoptera
Eucorethra,Eucorethra underwoodi,yes,monotypic,Eucorethra underwoodi,Diptera
Eucorethra underwoodi,Eucorethra underwoodi,no,,Eucorethra underwoodi,Diptera
Eukiefferiella,Eukiefferiella,no,,Eukiefferiella,Chironomidae
Eukiefferiella Brehmi Gr.,Eukiefferiella Brehmi Group,yes,FORMATTING,Eukiefferiella Brehmi Group,Chironomidae
Eukiefferiella brehmi group,Eukiefferiella Brehmi Group,yes,CAPs,Eukiefferiella Brehmi Group,Chironomidae
Eukiefferiella Brevicalcar Gr.,Eukiefferiella Brevicalcar Group,yes,FORMATTING,Eukiefferiella Brevicalcar Group,Chironomidae
Eukiefferiella brevicalcar group,Eukiefferiella Brevicalcar Group,yes,CAPs,Eukiefferiella Brevicalcar Group,Chironomidae
