"","Taxon","NonTarget","Habit","Hemoglobin","Air","TolVal2","TolVal","FSBI_2012","BSTI_WA.optima","BCG_attr","FFG","Life_Cycle","Habitat","Noteworthy","LONGLIVED","Thermal_indicator","ThermalPref_ALL","ThermTol_Less30","MTTI_WA.optima","MWMT_WAopt","MWMT_PCT90","Therm_TopIndicator","ThermVar","TSN","Kingdom","Phylum","SubPhylum","Class","SubClass","Order","SubOrder","SuperFamily","Family","SubFamily","Tribe","GenusGroup","Genus","SubGenus","SpeciesGroup","SpeciesSubGroup","SpeciesComplex","Species","Taxon_Group"
"67","Arrenuridae",FALSE,"UN","","",11,5,NA,NA,"","PR","","",NA,FALSE,"","","",NA,NA,NA,"","",82862,"Animalia","Arthropoda","Chelicerata","Arachnida","Acari","Trombidiformes","Prostigmata","","Arrenuridae","","","","","","","","","","Other Non-Insect"
"68","Arrenurus",FALSE,"UN","","",11,NA,NA,66.9,"","PR","","",NA,FALSE,"cowa","Cool-Warm","",18.5,18.36406556,24.34217685,"","",82864,"Animalia","Arthropoda","Chelicerata","Arachnida","Acari","Trombidiformes","Prostigmata","","Arrenuridae","","","","Arrenurus","","","","","","Other Non-Insect"
"69","Asellidae",FALSE,"UN","","F",11,8,NA,NA,"","","","",NA,FALSE,"","","",NA,NA,NA,"","",92657,"Animalia","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Isopoda","Asellota","","Asellidae","","","","","","","","","","Other Non-Insect"
"70","Asellus",FALSE,"UN","","",NA,NA,NA,NA,"","","","",NA,FALSE,"","","",NA,NA,NA,"","",92658,"Animalia","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Isopoda","Asellota","","Asellidae","","","","Asellus","","","","","","Other Non-Insect"
"71","Asioplax",FALSE,"UN","F","F",11,NA,NA,NA,"","","","",NA,FALSE,"","","Less30",NA,NA,NA,"","",609510,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Furcatergalia","","Leptohyphidae","","","","Asioplax","","","","","","Ephemeroptera"
"72","Assia",FALSE,"NEEDS_REVIEW","","",NA,NA,NA,25.4,"","","","",NA,FALSE,"","","",17.9,NA,NA,"","",NA,"Animalia","Nemertea","","Chromadorea","Chromadoria","Plectida","Plectina","Leptolaimoidea","Aphanolaimidae","Anochinae","","","","","","","","","Other Non-Insect"
"73","Astacidae",FALSE,"UN","F","T",11,8,NA,19.5,"","","","",NA,FALSE,"","","",20.2,NA,NA,"","",97324,"Animalia","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Decapoda","Pleocyemata","","Astacidae","","","","","","","","","","Other Non-Insect"
"74","Asynarchus",FALSE,"SP","","F",11,NA,NA,NA,NA,"UNKN","UNKN","UNKN",NA,FALSE,"","","",NA,NA,NA,"","",116221,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Trichoptera","Integripalpia","Limnephiloidea","Limnephilidae","Limnephilinae","Limnephilini","","Asynarchus","","","","","","Trichoptera"
"75","Atherix",FALSE,"SP","","F",5,2,5,6,"3","PR","uni","RHEO",NA,FALSE,"warm","Warm","",22.6,21.9818226,25.4,"","",130929,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Brachycera","","Athericidae","","","","Atherix","","","","","","Diptera"
"76","Athienemanniidae",FALSE,"UN","","",NA,NA,NA,NA,"","PR","","",NA,FALSE,"cold","Cold","",15.8,15.60700622,18.253,"","",83514,"Animalia","Arthropoda","Chelicerata","Arachnida","Acari","Trombidiformes","Prostigmata","","Athienemanniidae","","","","","","","","","","Other Non-Insect"
