FishTaxaID,FinalID,SciID,Kingdom,Phylum,Class,Order,Family,Genus,Species,EnterDate,Comments,TSN,ParTSN,CNCode,BCG_Attr_NLF,BCG_Attr_Driftless,BCG_Attr,data_MN,BCG_Attr_MN_01,BCG_Attr_MN_02,BCG_Attr_MN_03,BCG_Attr_MN_04,BCG_Attr_MN_05,BCG_Attr_MN_06,BCG_Attr_MN_07,BCG_Attr_MN_10,BCG_Attr_MN_11,BCG_Attr_MN2_01,BCG_Attr_MN2_02,BCG_Attr_MN2_03,BCG_Attr_MN2_04,BCG_Attr_MN2_05,BCG_Attr_MN2_06,BCG_Attr_MN2_07,BCG_Attr_MN2_10,BCG_Attr_MN2_11
144,Gen: Catostomus,Catostomus ,Animalia,Chordata,Osteichthyes,Cypriniformes,Catostomidae,Catostomus,,##########,,,,OTS,,,,FALSE,,,,,,,,,,,,,,,,,,
145,Gen: common sunfishes,Lepomis ,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Lepomis,,##########,,,,SUN,,,,FALSE,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
146,Gen: Etheostoma,Etheostoma ,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Etheostoma,,##########,,,,DAE,,,,FALSE,,,,,,,,,,,,,,,,,,
147,Gen: Notropis,Notropis ,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,,##########,,,,SHI,,,,FALSE,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
148,Gen: Percina,Percina ,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Percina,,##########,,,,DAP,,,,FALSE,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
149,Gen: Chrosomus,Chrosomus,Animalia,,,,,Chrosomus,,##########,,,,PHX,,,,FALSE,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
150,Gen: redhorses,Moxostoma ,Animalia,Chordata,Osteichthyes,Cypriniformes,Catostomidae,Moxostoma,,##########,,,,RHS,x,3,3,FALSE,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
151,Gen: sculpins,Cottus ,Animalia,Chordata,Osteichthyes,Perciformes,Cottidae,Cottus,,##########,,,,SCU,,,,FALSE,,,,,,,,,,,,,,,,,,
152,Gen: stonerollers,Campostoma ,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Campostoma,,##########,,,,STR,,,,FALSE,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
153,gilt darter,Percina evides,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Percina,evides,##########,,,,GLD,,1,1,FALSE,x,x,1,1,1,1,x,x,x,1,x,x,1,1,1,x,x,x
154,goldeye,Hiodon alosoides,Animalia,,,,,Hiodon,alosoides,##########,,,,GOE,,,,FALSE,3,3,3,3,3,x,x,3,x,3,3,x,3,3,x,x,x,x
155,grass carp,Ctenopharyngodon idella,Animalia,,,,,Ctenopharyngodon,idella,##########,,,,GAP,,,,FALSE,,,,,,,,,,,,,,,,,,
156,gravel chub,Erimystax x-punctatus,Animalia,,,,,Erimystax,x-punctatus,##########,,,,GRC,2,,2,FALSE,x,x,2,x,x,x,x,2,x,2,2,x,x,x,x,x,x,x
157,greater redhorse,Moxostoma valenciennesi,Animalia,Chordata,Osteichthyes,Cypriniformes,Catostomidae,Moxostoma,valenciennesi,##########,,,,GRR,,1,1,FALSE,1,1,1,1,1,x,x,1,x,1,1,x,1,1,x,x,4,4
158,highfin carpsucker,Carpiodes velifer,Animalia,,,,,Carpiodes,velifer,##########,,,,HFS,,2,2,FALSE,3,3,3,x,x,x,x,3,x,3,3,x,x,x,x,x,x,x
159,hornyhead chub,Nocomis biguttatus,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Nocomis,biguttatus,##########,,,,HHC,3,3,3,FALSE,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4
160,hybrid minnow,Cyprinidae hybrid,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,hybrid,,##########,,,,MXM,x,,x,FALSE,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
161,hybrid Chrosomus,Chrosomus hybrid,Animalia,,,,,Chrosomus,hybrid,##########,,,,HPX,,,,FALSE,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
162,hybrid sunfish,Lepomis hybrid,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Lepomis,hybrid,##########,,,,HSF,5,,5,FALSE,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5
163,Iowa darter,Etheostoma exile,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Etheostoma,exile,##########,,,,IOD,3,2,3,FALSE,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4
164,lake chub,Couesius plumbeus,Animalia,,,,,Couesius,plumbeus,##########,,,,LKC,,1,1,FALSE,x,x,x,x,2,2,2,x,x,x,x,x,x,2,2,2,3,3
165,lake herring,Coregonus artedi,Animalia,,,,,Coregonus,artedi,##########,,,,TLC,,,,FALSE,,,,,,,,,,,,,,,,,,
166,lake sturgeon,Acipenser fulvescens,Animalia,,,,,Acipenser,fulvescens,##########,,,,LKS,,1,1,FALSE,1,1,1,1,1,x,x,1,x,1,1,x,1,1,x,x,x,x
167,lamprey ammocoete,Petromyzontidae larvae,Animalia,Chordata,Osteichthyes,Petromyzontiformes,Petromyzontidae,larvae,,##########,,,,AMM,3,2,3,FALSE,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
168,largescale stoneroller,Campostoma oligolepis,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Campostoma,oligolepis,##########,,,,LSR,3,,3,FALSE,4,4,4,4,4,x,x,4,x,4,4,x,4,4,x,x,5,5
169,least darter,Etheostoma microperca,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Etheostoma,microperca,##########,,,,LED,,1,1,FALSE,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,x,x
170,longnose sucker,Catostomus catostomus,Animalia,Chordata,Osteichthyes,Cypriniformes,Catostomidae,Catostomus,catostomus,##########,,,,LNS,,2,2,FALSE,x,x,x,2,2,2,x,x,x,x,x,x,2,2,2,x,2,2
171,mimic shiner,Notropis volucellus,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,volucellus,##########,,,,MMS,3,3,3,FALSE,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4
172,Mississippi silvery minnow,Hybognathus nuchalis,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Hybognathus,nuchalis,##########,,,,SLM,,,,FALSE,,,,,,,,,,,,,,,,,,
173,mooneye,Hiodon tergisus,Animalia,,,,,Hiodon,tergisus,##########,,,,MOE,x,3,3,FALSE,3,3,3,3,3,x,x,3,x,3,3,x,3,3,x,x,x,x
174,mud darter,Etheostoma asprigene,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Etheostoma,asprigene,##########,,,,MDD,2,,2,FALSE,x,x,2,x,x,x,2,2,2,2,2,2,x,x,x,2,4,4
175,muskellunge,Esox masquinongy,Animalia,Chordata,Osteichthyes,Salmoniformes,Esocidae,Esox,masquinongy,##########,,,,MUE,,2,2,FALSE,2,2,2,2,x,x,x,x,x,2,x,x,2,x,x,x,5,5
176,ninespine stickleback,Pungitius pungitius,Animalia,,,,,Pungitius,pungitius,##########,,,,NST,,,,FALSE,,,,,,,,,,,,,,,,,,
177,northern brook lamprey,Ichthyomyzon fossor,Animalia,,,,,Ichthyomyzon,fossor,##########,,,,NBL,,2,2,FALSE,x,x,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
178,northern redbelly dace,Phoxinus eos,Animalia,,,,,Phoxinus,eos,##########,,,,NRD,,3,3,FALSE,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
179,orangespotted sunfish,Lepomis humilis,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Lepomis,humilis,##########,,,,OSS,4,4,4,FALSE,5,5,5,5,5,5,5,5,5,5a,5a,5a,5a,5a,5a,5a,5a,5a
180,Ozark minnow,Notropis nubilus,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,nubilus,##########,,,,OZM,2,,2,FALSE,x,x,x,x,x,x,2,2,2,x,2,2,x,x,x,2,4,4
181,pink salmon,Oncorhynchus gorbuscha,Animalia,Chordata,Osteichthyes,Salmoniformes,Salmonidae,Oncorhynchus,gorbuscha,##########,,,,PKS,,,,FALSE,,,,,,,,,,,,,,,,,6,6
182,plains topminnow,Fundulus sciadicus,Animalia,Chordata,Osteichthyes,Atheriniformes,Fundulidae,Fundulus,sciadicus,##########,,,,PTM,,,,FALSE,x,2,x,x,x,x,2,2,2,x,2,2,x,x,x,2,x,x
183,pugnose minnow,Opsopoeodus emiliae,Animalia,,,,,Opsopoeodus,emiliae,##########,,,,PGM,,2,2,FALSE,x,x,2,x,x,x,2,2,2,2,2,2,x,x,x,2,x,x
184,pugnose shiner,Notropis anogenus,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,anogenus,##########,,,,PGS,,1,1,FALSE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
185,quillback,Carpiodes cyprinus,Animalia,,,,,Carpiodes,cyprinus,##########,,,,QBS,4,4,4,FALSE,4,4,4,4,4,x,x,4,x,4,4,x,4,4,x,x,x,x
186,rainbow darter,Etheostoma caeruleum,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Etheostoma,caeruleum,##########,,,,RBD,3,2,3,FALSE,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4
187,rainbow smelt,Osmerus mordax,Animalia,,,,,Osmerus,mordax,##########,,,,RBS,,,,FALSE,,,,,,,,,,,,,,,,,,
188,red shiner,Cyprinella lutrensis,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Cyprinella,lutrensis,##########,,,,RDS,,,,FALSE,x,4,x,x,x,x,4,4,4,x,5,5,x,x,x,5,5,5
189,redfin shiner,Lythrurus umbratilis,Animalia,,,,,Lythrurus,umbratilis,##########,,,,RES,,,,FALSE,x,x,2,x,x,x,2,2,2,2,2,2,x,x,x,2,x,x
190,redside dace,Clinostomus elongatus,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Clinostomus,elongatus,##########,,,,RSD,2,,2,FALSE,x,x,x,x,x,x,x,2,2,x,2,2,x,x,x,x,3,3
191,river carpsucker,Carpiodes carpio,Animalia,,,,,Carpiodes,carpio,##########,,,,RCS,,4,4,FALSE,4,4,4,x,x,x,x,4,x,4,4,x,x,x,x,x,x,x
192,river darter,Percina shumardi,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Percina,shumardi,##########,,,,RVD,,3,3,FALSE,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
193,river redhorse,Moxostoma carinatum,Animalia,Chordata,Osteichthyes,Cypriniformes,Catostomidae,Moxostoma,carinatum,##########,,,,RRH,,2,2,FALSE,1,1,1,1,x,x,x,1,x,1,1,x,1,x,x,x,x,x
194,river shiner,Notropis blennius,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,blennius,##########,,,,RVS,x,4,4,FALSE,4,4,4,4,4,x,4,4,x,4,4,x,4,4,x,4,4,4
195,ruffe,Gymnocephalus cernuus,Animalia,,,,,Gymnocephalus,cernuus,##########,,,,RIR,,6,6,FALSE,x,x,x,6,6,6,6,x,x,6a,6a,6a,6a,6a,6a,6a,6a,6a
196,sand shiner,Notropis stramineus,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,stramineus,##########,,,,SDS,x,4,4,FALSE,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5a,5a
197,sauger,Sander canadensis,Animalia,,,,,Sander,canadensis,##########,,,,SAR,4,4,4,FALSE,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
198,sea lamprey,Petromyzon marinus,Animalia,,,,,Petromyzon,marinus,##########,,,,SEL,,6,6,FALSE,,,,,,,,,,,,,,,,,6a,6a
199,shoal chub,Macrhybopsis hyostoma,Animalia,,,,,Macrhybopsis,hyostoma,##########,,,,SHC,,,,FALSE,2,2,2,x,x,x,x,2,x,2,2,x,x,x,x,x,x,x
200,shortnose gar,Lepisosteus platostomus,Animalia,Chordata,Osteichthyes,Lepisosteiformes,Lepisosteidae,Lepisosteus,platostomus,##########,,,,SNG,,4,4,FALSE,4,4,4,x,x,x,x,4,x,4,4,x,x,x,x,x,x,x
201,shovelnose sturgeon,Scaphirhynchus platorynchus,Animalia,,,,,Scaphirhynchus,platorynchus,##########,,,,SLS,,3,3,FALSE,1,1,1,x,x,x,x,1,x,1,1,x,x,x,x,x,x,x
202,silver chub,Macrhybopsis storeriana,Animalia,,,,,Macrhybopsis,storeriana,##########,,,,SLC,,,,FALSE,3,3,3,x,x,x,x,3,x,3,3,x,x,x,x,x,x,x
203,silver lamprey,Ichthyomyzon unicuspis,Animalia,,,,,Ichthyomyzon,unicuspis,##########,,,,SIL,3,3,3,FALSE,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3
204,silver redhorse,Moxostoma anisurum,Animalia,Chordata,Osteichthyes,Cypriniformes,Catostomidae,Moxostoma,anisurum,##########,,,,SLR,3,3,3,FALSE,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4
205,slenderhead darter,Percina phoxocephala,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Percina,phoxocephala,##########,,,,SHD,2,3,2,FALSE,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,x,x
206,smallmouth buffalo,Ictiobus bubalus,Animalia,,,,,Ictiobus,bubalus,##########,,,,SAB,,4,4,FALSE,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
207,southern brook lamprey,Ichthyomyzon gagei,Animalia,,,,,Ichthyomyzon,gagei,##########,,,,SBL,,2,2,FALSE,x,x,2,x,2,2,2,2,2,2,2,2,x,2,2,2,x,x
208,southern redbelly dace,Phoxinus erythrogaster,Animalia,,,,,Phoxinus,erythrogaster,##########,,,,SRD,3,,3,FALSE,x,4,4,x,x,x,4,4,4,4,4,4,x,x,x,4,4,4
209,splake,Salvelinus hybrid,Animalia,Chordata,Osteichthyes,Salmoniformes,Salmonidae,Salvelinus,hybrid,##########,,,,SPL,,,,FALSE,,,,,,,,,,,,,,,,,,
210,spotted sucker,Minytrema melanops,Animalia,,,,,Minytrema,melanops,##########,,,,SPS,,,,FALSE,2,2,2,x,x,x,x,x,x,2,x,x,x,x,x,x,x,x
211,SubFam: salmonids,Salmoninae ,Animalia,,,,,Salmoninae,,##########,,,,SAT,,,,FALSE,,,,,,,,,,,,,,,,,,
212,suckermouth minnow,Phenacobius mirabilis,Animalia,,,,,Phenacobius,mirabilis,##########,,,,SKM,3,,3,FALSE,x,x,4,x,x,x,4,4,4,4,4,4,x,x,x,4,4,4
213,threespine stickleback,Gasterosteus aculeatus,Animalia,,,,,Gasterosteus,aculeatus,##########,,,,TST,,6,6,FALSE,x,x,x,6,6,6,6,x,x,6a,6a,6a,6a,6a,6a,6a,x,x
214,tiger musky,Esox hybrid,Animalia,Chordata,Osteichthyes,Salmoniformes,Esocidae,Esox,hybrid,##########,,,,TME,,,,FALSE,,,,,,,,,,,,,,,,,,
215,tiger trout,Salmonidae hybrid,Animalia,Chordata,Osteichthyes,Salmoniformes,Salmonidae,hybrid,,##########,,,,TIT,,,,FALSE,,,,,,,,,,,,,,,,,,
216,Topeka shiner,Notropis topeka,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,topeka,##########,,,,TKS,,,,FALSE,x,1,x,x,x,x,1,1,1,x,1,1,x,x,x,1,x,x
217,trout-perch,Percopsis omiscomaycus,Animalia,,,,,Percopsis,omiscomaycus,##########,,,,TRP,,3,3,FALSE,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4
218,walleye,Sander vitreus,Animalia,,,,,Sander,vitreus,##########,,,,WAE,4,4,4,FALSE,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5
219,weed shiner,Notropis texanus,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,texanus,##########,,,,WDS,,2,2,FALSE,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
220,western sand darter,Ammocrypta clara,Animalia,,,,,Ammocrypta,clara,##########,,,,WSD,,3,3,FALSE,2,2,2,x,x,x,x,x,x,2,x,x,x,x,x,x,x,x
221,white bass,Morone chrysops,Animalia,Chordata,Osteichthyes,Perciformes,Moronidae,Morone,chrysops,##########,,,,WHB,4,4,4,FALSE,4,4,4,4,4,x,x,4,x,4,4,x,4,4,x,x,x,x
