TaxaID,CommonName,NONTARGET,Order,Family,BCG_ATTR,Reproduction,Trophic,Type
Notemigonus crysoleucas,Golden shiner,FALSE,Cypriniformes,Cyprinidae,6t,,OM,
Notropis,Unknown notropis,FALSE,Cypriniformes,Cyprinidae,,,,
Notropis atherinoides,Emerald shiner,FALSE,Cypriniformes,Cyprinidae,4,,OM,
Notropis bairdi,Red river shiner,FALSE,Cypriniformes,Cyprinidae,4,,IV,
Notropis blenniuis,River shiner,FALSE,Cypriniformes,Cyprinidae,4,,IV,
Notropis buchanani,Ghost shiner,FALSE,Cypriniformes,Cyprinidae,4,,IV,
Notropis dorsalis,Bigmouth shiner,FALSE,Cypriniformes,Cyprinidae,4,,OM,
Notropis girardi,Arkansas river shiner,FALSE,Cypriniformes,Cyprinidae,,Broadcaster,IV,
Notropis jemezanus,Rio grande shiner,FALSE,Cypriniformes,Cyprinidae,1,Broadcaster,IV,
Notropis orca,Phantom shiner,FALSE,Cypriniformes,Cyprinidae,1,,,
Notropis potteri,Chub shiner,FALSE,Cypriniformes,Cyprinidae,3,,IV,
Notropis sabinae,Sabine shiner,FALSE,Cypriniformes,Cyprinidae,4,Broadcaster,IV,
Notropis shumardi,Silverband shiner,FALSE,Cypriniformes,Cyprinidae,4,,IV,
Notropis simus pecosensis,Pecos bluntnose shiner,FALSE,Cypriniformes,Cyprinidae,,Broadcaster,IV,
Notropis simus simus,Rio grande bluntnose shiner,FALSE,Cypriniformes,Cyprinidae,1,Broadcaster,,
Notropis stramineus,Sand shiner,FALSE,Cypriniformes,Cyprinidae,4,Broadcaster,OM,
Notropis texanus,Weed shiner,FALSE,Cypriniformes,Cyprinidae,4,,HB,
Notropis volucellus,Mimic shiner,FALSE,Cypriniformes,Cyprinidae,2,,OM,
Noturus flavus,Stonecat,FALSE,Siluriformes,Ictaluridae,4,,,
Noturus gyrinus,Tadpole madtom,FALSE,Siluriformes,Ictaluridae,2,,IV,
Noturus nocturnus,Freckled madtom,FALSE,Siluriformes,Ictaluridae,2,,IV,
Oncorhynchus clarki ssp.,Snake river cutthroat trout,FALSE,Salmoniformes,Salmonidae,6s,,IV,
Oncorhynchus clarki virginalis,Rio grande cutthroat trout,FALSE,Salmoniformes,Salmonidae,1,,IV,
Oncorhynchus clarki x mykiss,Cutbow,FALSE,Salmoniformes,Salmonidae,6s,,IV,
Oncorhynchus gilae,Gila trout,FALSE,Salmoniformes,Salmonidae,,,IV,
Oncorhynchus kisutch,Coho salmon,FALSE,Salmoniformes,Salmonidae,,,IV,
Oncorhynchus mykiss,Rainbow trout,FALSE,Salmoniformes,Salmonidae,6s,,IV,
Oncorhynchus nerka,Kokanee salmon,FALSE,Salmoniformes,Salmonidae,,,PL,
Oncorhynchus tshawytscha,Chinook salmon,FALSE,Salmoniformes,Salmonidae,,,IV,
Opsopoeodus emiliae,Pugnose minnow,FALSE,Cypriniformes,Cyprinidae,4,,OM,
Oreochromus aureus,Blue tilapia,FALSE,Perciformes,Cichlidae,6t,,OM,
Perca flavescens,Yellow perch,FALSE,Perciformes,Percidae,6,,IV,
Perciformes,Unknown temperate bass,FALSE,Perciformes,,,,,
Percina caprodes,Logperch,FALSE,Perciformes,Percidae,3,,IV,
Percina macrolepida,Bigscale logperch,FALSE,Perciformes,Percidae,6s,,IV,
Percina phoxocephala,Slenderhead darter,FALSE,Perciformes,Percidae,3,,IV,
Percina sciera,Dusky darter,FALSE,Perciformes,Percidae,3,,IV,
Percopsis transmontana,Sand roller,FALSE,Percopsiformes,Percopsidae,,,IV,
Phenacobius mirabilis,Suckermouth minnow,FALSE,Cypriniformes,Cyprinidae,,,IV,
Phoxinus erythrogaster,Southern redbelly dace,FALSE,Cypriniformes,Cyprinidae,,,HB,
Pimephales notatus,Bluntnose minnow,FALSE,Cypriniformes,Cyprinidae,5,,OM,
Pimephales promelas,Fathead minnow,FALSE,Cypriniformes,Cyprinidae,5,,OM,
Pimephales tenellus,Slim minnow,FALSE,Cypriniformes,Cyprinidae,3,,IV,
Pimephales vigilax,Bullhead minnow,FALSE,Cypriniformes,Cyprinidae,6,,IV,
Plagopterus argentissimus,Woundfin,FALSE,Cypriniformes,Cyprinidae,1,,OM,
Platygobio gracilis,Flathead chub,FALSE,Cypriniformes,Cyprinidae,4,,IV,
Poecilia latipinna,Sailfin molly,FALSE,Cyprinodontiformes,Poeciliidae,6t,,HB,
Pomoxis,Crappie,FALSE,Perciformes,Centrarchidae,6,,,
Pomoxis annularis,White crappie,FALSE,Perciformes,Centrarchidae,6t,,PI,
Pomoxis nigromaculatus,Black crappie,FALSE,Perciformes,Centrarchidae,6t,,IV,
Prosopium williamsoni,Mountain whitefish,FALSE,Salmoniformes,Salmonidae,,,IV,
Ptychocheilus grandis,Sacramento pikeminnow,FALSE,Cypriniformes,Cyprinidae,4,,,LLNLB
Ptychocheilus lucius,Colorado pikeminnow,FALSE,Cypriniformes,Cyprinidae,,,PI,
Ptychocheilus oregonensis,Northern pikeminnow,FALSE,Cypriniformes,Cyprinidae,4,,,LLNLB
Pylodictis olivaris,Flathead catfish,FALSE,Siluriformes,Ictaluridae,6,,PI,
Rhinichthys cataractae,Longnose dace,FALSE,Cypriniformes,Cyprinidae,3,,IV,
Rhinichthys cobitis,Loach minnow,FALSE,Cypriniformes,Cyprinidae,,,IV,
Rhinichthys osculus,Speckled dace,FALSE,Cypriniformes,Cyprinidae,,,IV,
Richardsonius balteatus,Redside shiner,FALSE,Cypriniformes,Cyprinidae,6,,,
Salmo trutta,Brown trout,FALSE,Salmoniformes,Salmonidae,6s,,IV,
Salvelinus fontinalis,Brook trout,FALSE,Salmoniformes,Salmonidae,,,IV,
Salvelinus namaycush,Lake trout,FALSE,Salmoniformes,Salmonidae,,,PI,
Sander canadensis,Sauger,FALSE,Perciformes,Percidae,3,,,
Sander vitreum,Walleye,FALSE,Perciformes,Percidae,,,,
Scaphirhynchus platorynchus,Shovelnose sturgeon,FALSE,Acipenseriformes,Acipenseridae,2,,,LLNLB
Scartomyzon congestum,Gray redhorse,FALSE,Cypriniformes,Catostomidae,6,,IV,
Semotilus atromaculatus,Creek chub,FALSE,Cypriniformes,Cyprinidae,,,IV,
Stizostedion vitreum,Walleye,FALSE,Perciformes,Percidae,6,,PI,
Strongylura marina,Atlantic needlefish,FALSE,Beloniformes,Belonidae,,,,
Tinca tinca,Tench,FALSE,Cypriniformes,Cyprinidae,6,,,
Xyrauchen texanus,Razorback sucker,FALSE,Cypriniformes,Catostomidae,,,OM,
