Taxon_Group,Taxon_orig,Taxon_v2,OTU_MTTI_jan23,Changed,Rationale,NonTarget,OTU_BCG_MariNW,TSN,Kingdom,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,SuperFamily,Family,SubFamily,Tribe,GenusGroup,Genus,SubGenus,SpeciesGroup,SpeciesSubGroup,SpeciesComplex,Species
Oligochaeta,Kincaidiana hexatheca,Kincaidiana,Lumbriculidae,yes,,FALSE,Oligochaeta,68470,Animalia,Annelida,,Clitellata,Oligochaeta,Lumbriculida,,,Lumbriculidae,,,,Kincaidiana,,,,,
Oligochaeta,Rhynchelmis,Rhynchelmis,Lumbriculidae,no,,FALSE,Oligochaeta,68463,Animalia,Annelida,,Clitellata,Oligochaeta,Lumbriculida,,,Lumbriculidae,,,,Rhynchelmis,,,,,
Oligochaeta,Stylodrilus,Stylodrilus,Lumbriculidae,no,,FALSE,Oligochaeta,68450,Animalia,Annelida,,Clitellata,Oligochaeta,Lumbriculida,,,Lumbriculidae,,,,Stylodrilus,,,,,
Oligochaeta,Stylodrilus heringianus,Stylodrilus,Lumbriculidae,yes,,FALSE,Oligochaeta,68450,Animalia,Annelida,,Clitellata,Oligochaeta,Lumbriculida,,,Lumbriculidae,,,,Stylodrilus,,,,,
Oligochaeta,Lumbriculidae,Lumbriculidae,Lumbriculidae,no,,FALSE,Oligochaeta,68440,Animalia,Annelida,,Clitellata,Oligochaeta,Lumbriculida,,,Lumbriculidae,,,,,,,,,
Oligochaeta,Lumbriculus,Lumbriculidae,Lumbriculidae,yes,,FALSE,Oligochaeta,68440,Animalia,Annelida,,Clitellata,Oligochaeta,Lumbriculida,,,Lumbriculidae,,,,,,,,,
Terrestrial,Eiseniella tetraedra,Eiseniella tetraedra,DNI,no,Mostly Terrestrial,TRUE,Eiseniella tetraedra,976647,Animalia,Annelida,,Clitellata,Oligochaeta,Opisthopora,Lumbricina,,Lumbricidae,,,,Eiseniella,,,,,tetraedra
Terrestrial,Lumbricidae,Lumbricidae,DNI,no,Mostly Terrestrial,TRUE,Lumbricidae,69165,Animalia,Annelida,,Clitellata,Oligochaeta,Opisthopora,Lumbricina,,Lumbricidae,,,,,,,,,
Terrestrial,Lumbricina,Lumbricidae,DNI,yes,Mostly Terrestrial,TRUE,Lumbricidae,69165,Animalia,Annelida,,Clitellata,Oligochaeta,Opisthopora,Lumbricina,,Lumbricidae,,,,,,,,,
Terrestrial,Lumbriculida,Lumbricidae,DNI,ADDED 20221222,Mostly Terrestrial,TRUE,Lumbricidae,69165,Animalia,Annelida,,Clitellata,Oligochaeta,Opisthopora,Lumbricina,,Lumbricidae,,,,,,,,,
