TaxaID,RANK,NONTARGET,BCG_ATTR,FFG,FFGSource_BCG,Habit,HabitSource_BCG,TolVal,TolValSource_BCG,PHYLUM,SUBPHYLUM,CLASS,SUBCLASS,ORDER,SUPERFAMILY,FAMILY,SUBFAMILY,TRIBE,GENUS,AUTHOR,TSN,PARTSN,BENTAXAID,TOLVAL_NM,TOLVALSOURCE_NM,TOLVAL_ED,TOLVALSOURCE_ED,TOLVALWI,TOLVALKANOD,TOLVALKAAP,TOLVALKAHM,TOLVALKAPOC,TOLVALKASA,TOLVALKASSS,TOLVALKASOURCE,TOLVALIDSS,TOLVALIDSSSOURCE,FFG_NM,FFGSOURCE_NM,FFG_ED,FFGSECONDARY,FFGTERTIARY,FFGSOURCE_ED,HABIT_NM,HABITSECONDARY,HABITTERTIARY,HABITSOURCE,HABITATPRIMARY,HABITATSECONDARY,HABITATTERTIARY,HABITATSOURCE,LIFECYCLE_NM,LIFECYCLESOURCE,LIFECYCLE1,LIFECYCLE1SOURCE,LIFECYCLE2,LIFECYCLE2SOURCE,TEMPTOLERANCE,TEMPTOLERANCESOURCE,COMMENTS_NM,JACOBI_ID,NM_TAXON_ID
Pisidium pauperculum,Species,FALSE,,,,,,,,Mollusca,,Bivalvia,,Veneroida,Corbiculoidea,Pisidiidae,,,Pisidium,,,81400,1892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not in ITIS db,,999972
Pisidium sanguinichristi,Species,FALSE,,,,,,,,Mollusca,,Bivalvia,,Veneroida,Corbiculoidea,Pisidiidae,,,Pisidium,"Taylor, 1987",568099,81400,1893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Comments,,999973
Pisidium singleyi,Species,FALSE,,,,,,,,Mollusca,,Bivalvia,,Veneroida,Corbiculoidea,Pisidiidae,,,Pisidium,,,81400,1894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Comments,,999974
Pisidium variabile,Species,FALSE,,,,,,,,Mollusca,,Bivalvia,,Veneroida,Corbiculoidea,Pisidiidae,,,Pisidium,"Prime, 1852",81418,81400,1895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Comments,,22012
Pisidium ventricosum,Species,FALSE,,,,,,,,Mollusca,,Bivalvia,,Veneroida,Corbiculoidea,Pisidiidae,,,Pisidium,"Prime, 1851",81419,81400,1896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Comments,,999975
Popenaias,Genus,FALSE,,,,,,,,Mollusca,,Bivalvia,,Unionoida,,Unionidae,,,Popenaias,"Frierson, 1927",80269,79913,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Comments,,999423
Popenaias popeii,Species,FALSE,,,,,,,,Mollusca,,Bivalvia,,Unionoida,,Unionidae,,,Popenaias,"(Lea, 1857)",80271,80269,1910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Comments,,999352
Pyganodon,Genus,FALSE,,,,,,,,Mollusca,,Bivalvia,,Unionoida,,Unionidae,,,Pyganodon,"Crosse and P. Fischer, 1894",567112,79913,1911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Comments,,999424
Pyganodon grandis,Species,FALSE,,,,,,,,Mollusca,,Bivalvia,,Unionoida,,Unionidae,,,Pyganodon,"(Say, 1829)",568179,567112,1912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Comments,,27751
Sphaerium,Genus,FALSE,,CF;CG,03_WSA,BU,03_WSA,6,EPA 841-B-99-002,Mollusca,,Bivalvia,Heterodonta,Veneroida,Corbiculoidea,Pisidiidae,,,Sphaerium,"Scopoli, 1777",81391,81388,1897,6,EPA 841-B-99-002,6,EPA 841-B-99-002,,,,,,,,,,,,,,FC,,EPA 841-B-99-002,,,,,,,,,,,,,,,,,No Comments,,25737
