Taxon_Orig,Taxon_Group,NonTarget,source,Comment,FishTaxaID,OTU_BCG,OTU_IBI,SciID,Common,Kingdom,Phylum,Class,Order,Family,Genus,Species
Ameiurus natalis ,,,"MN, case",,,Ameiurus natalis,Ameiurus natalis,Ameiurus natalis,yellow bullhead,Animalia,Chordata,Osteichthyes,Siluriformes,Ictaluridae,Ameiurus,natalis
Perca flavescens  ,,,"MN, case",add space to end of Taxon_Orig_Sci so not a duplicate,,Perca flavescens,Perca flavescens,Perca flavescens,yellow perch,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Perca,flavescens
Rhinichthys atratulus,,,AWQMS_Fish_Data_Export,,,Rhinichthys atratulus,Rhinichthys atratulus,Rhinichthys atratulus,eastern blacknose dace,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Rhinichthys,atratulus
Ichthyomyzon,,,AWQMS_Fish_Data_Export,,,Ichthyomyzon,Ichthyomyzon,Petromyzontidae,Gen: lamprey,Animalia,Chordata,Osteichthyes,Petromyzontiformes,Petromyzontidae,,
Ameiurus ,1,,"MN data, Sci",,,Ameiurus,Ameiurus,Ameiurus,Gen: bullheads,Animalia,Chordata,Osteichthyes,Siluriformes,Ictaluridae,Ameiurus,
Campostoma ,1,,"MN data, Sci",,,Campostoma,Campostoma,Campostoma,Gen: stonerollers,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Campostoma,
Carpiodes ,1,,"MN data, Sci",,,Carpiodes,Carpiodes,Carpiodes,Gen: carpsuckers,Animalia,,,,,Carpiodes,
Catostomus ,1,,"MN data, Sci",,,Catostomus,Catostomus,Catostomus,Gen: Catostomus ,Animalia,Chordata,Osteichthyes,Cypriniformes,Catostomidae,Catostomus,
Coregonus clupeaformis,1,,"MN data, Sci",,,Coregonus clupeaformis,Coregonus clupeaformis,Coregonus clupeaformis,lake whitefish,Animalia,,,,,Coregonus,clupeaformis
Cottus ,1,,"MN data, Sci",,,Cottus,Cottus,Cottus,Gen: sculpins,Animalia,Chordata,Osteichthyes,Perciformes,Cottidae,Cottus,
Cyprinidae ,1,,"MN data, Sci",,,Cyprinidae,Cyprinidae,Cyprinidae,Fam: minnows ,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,,
Etheostoma ,1,,"MN data, Sci",,,Etheostoma,Etheostoma,Etheostoma,Gen: Etheostoma ,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Etheostoma,
Ictiobus ,1,,"MN data, Sci",,,Ictiobus,Ictiobus,Ictiobus,Gen: buffalos ,Animalia,,,,,Ictiobus,
Lepomis ,1,,"MN data, Sci",,,Lepomis,Lepomis,Lepomis,Gen: common sunfishes ,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Lepomis,
Moxostoma ,1,,"MN data, Sci",,,Moxostoma,Moxostoma,Moxostoma,Gen: redhorses ,Animalia,Chordata,Osteichthyes,Cypriniformes,Catostomidae,Moxostoma,
Notropis ,1,,"MN data, Sci",,,Notropis,Notropis,Notropis,Gen: Notropis ,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,
Percina ,1,,"MN data, Sci",,,Percina,Percina,Percina,Gen: Percina ,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Percina,
Pomoxis,1,,"MN data, Sci",,,Pomoxis,Pomoxis,Pomoxis,Gen: Pomoxis,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Pomoxis,
Rhinichthys obtusus  ,1,,"MN data, Sci",add space to end of Taxon_Orig_Sci so not a duplicate,,Rhinichthys obtusus,Rhinichthys obtusus,Rhinichthys obtusus,Blacknose Dace,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Rhinichthys,obtusus
Ictiobinae,1,,"MN data, Sci",,,Ictiobinae,Ictiobinae,Ictiobinae,SubFam: buffalo/carpsuckers,Animalia,,,,,,
Rhinichthys obtusus (dup),,,"MN data, Sci",,,Rhinichthys obtusus,Rhinichthys obtusus,Rhinichthys obtusus,Blacknose Dace,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Rhinichthys,obtusus
SubFam: buffalo/carpsuckers,,,"MN data, Sci",,,Ictiobinae,Ictiobinae,Ictiobinae,SubFam: buffalo/carpsuckers,Animalia,,,,,,
Chrosomus eos,,,AWQMS_Fish_Data_Export,Use MN master taxa list,,Phoxinus eos,Phoxinus eos,Phoxinus eos,Northern redbelly dace,Animalia,,,,,Phoxinus,eos
Chrosomus neogaeus,,,AWQMS_Fish_Data_Export,Use MN master taxa list,,Phoxinus neogaeus,Phoxinus neogaeus,Phoxinus neogaeus,Finescale Dace,Animalia,,,,,Phoxinus,neogaeus
Hybopsis dorsalis,,,AWQMS_Fish_Data_Export,Keep with MN master taxa list,,Notropis dorsalis,Notropis dorsalis,Notropis dorsalis,Bigmouth Shiner,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,dorsalis
Atlantic Salmon,,,MN BCG Access db,,2,Salmo salar,Salmo salar,Salmo salar,Atlantic Salmon,Animalia,Chordata,Osteichthyes,Salmoniformes,Salmonidae,Salmo,salar
Slimy Sculpin,,,MN BCG Access db,,19,Cottus cognatus,Cottus cognatus,Cottus cognatus,Slimy Sculpin,Animalia,Chordata,Osteichthyes,Scorpaeniformes,Cottidae,Cottus,cognatus
American brook lamprey,,,MN BCG Access db,,21,Lethenteron appendix,Lethenteron appendix,Lethenteron appendix,American brook lamprey,Animalia,Chordata,Osteichthyes,Petromyzontiformes,Petromyzontidae,Lethenteron,appendix
American eel,,,MN BCG Access db,,22,Anguilla rostrata,Anguilla rostrata,Anguilla rostrata,American eel,Animalia,Chordata,Osteichthyes,Anguilliformes,Anguillidae,Anguilla,rostrata
Banded darter,,,MN BCG Access db,,23,Etheostoma zonale,Etheostoma zonale,Etheostoma zonale,Banded darter,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Etheostoma,zonale
Banded killifish,,,MN BCG Access db,,24,Fundulus diaphanus,Fundulus diaphanus,Fundulus diaphanus,Banded killifish,Animalia,Chordata,Osteichthyes,Atheriniformes,Cyprinodontidae,Fundulus,diaphanus
Banded sunfish,,,MN BCG Access db,,25,Enneacanthus obesus,Enneacanthus obesus,Enneacanthus obesus,Banded sunfish,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Enneacanthus,obesus
Black crappie,,,MN BCG Access db,,26,Pomoxis nigromaculatus,Pomoxis nigromaculatus,Pomoxis nigromaculatus,Black crappie,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Pomoxis,nigromaculatus
western blacknose dace,,,MN BCG Access db,,27,Rhinichthys obtusus,Rhinichthys obtusus,Rhinichthys obtusus,western blacknose dace,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Rhinichthys,obtusus
Bluegill,,,MN BCG Access db,,28,Lepomis macrochirus,Lepomis macrochirus,Lepomis macrochirus,Bluegill,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Lepomis,macrochirus
Bluespotted sunfish,,,MN BCG Access db,,29,Enneacanthus gloriosus,Enneacanthus gloriosus,Enneacanthus gloriosus,Bluespotted sunfish,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Enneacanthus,gloriosus
Bluntnose minnow,,,MN BCG Access db,,30,Pimephales notatus,Pimephales notatus,Pimephales notatus,Bluntnose minnow,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Pimephales,notatus
Brook lamprey,,,MN BCG Access db,,31,Lampetra,Lampetra,Lampetra,Brook lamprey,Animalia,Chordata,Osteichthyes,Petromyzontiformes,Petromyzontidae,Lampetra,
Brook trout,,,MN BCG Access db,,32,Salvelinus fontinalis,Salvelinus fontinalis,Salvelinus fontinalis,Brook trout,Animalia,Chordata,Osteichthyes,Salmoniformes,Salmonidae,Salvelinus,fontinalis
Brown bullhead,,,MN BCG Access db,,33,Ameiurus nebulosus,Ameiurus nebulosus,Ameiurus nebulosus,Brown bullhead,Animalia,Chordata,Osteichthyes,Siluriformes,Ictaluridae,Ameiurus,nebulosus
Brown trout,,,MN BCG Access db,,34,Salmo trutta,Salmo trutta,Salmo trutta,Brown trout,Animalia,Chordata,Osteichthyes,Salmoniformes,Salmonidae,Salmo,trutta
Central stoneroller,,,MN BCG Access db,,35,Campostoma anomalum,Campostoma anomalum,Campostoma anomalum,Central stoneroller,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Campostoma,anomalum
Chain pickerel,,,MN BCG Access db,,36,Esox niger,Esox niger,Esox niger,Chain pickerel,Animalia,Chordata,Osteichthyes,Salmoniformes,Esocidae,Esox,niger
Channel catfish,,,MN BCG Access db,,37,Ictalurus punctatus,Ictalurus punctatus,Ictalurus punctatus,Channel catfish,Animalia,Chordata,Osteichthyes,Siluriformes,Ictaluridae,Ictalurus,punctatus
Checkered sculpin,,,MN BCG Access db,,38,Cottus sp.,Cottus sp.,Cottus sp.,Checkered sculpin,Animalia,Chordata,Osteichthyes,Perciformes,Cottidae,Cottus,
Comely shiner,,,MN BCG Access db,,39,Notropis amoenus,Notropis amoenus,Notropis amoenus,Comely shiner,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,amoenus
Common carp,,,MN BCG Access db,,40,Cyrpinus carpio,Cyrpinus carpio,Cyrpinus carpio,Common carp,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Cyrpinus,carpio
Common shiner,,,MN BCG Access db,,41,Luxilus cornutus,Luxilus cornutus,Luxilus cornutus,Common shiner,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Luxilus,cornutus
Creek chub,,,MN BCG Access db,,42,Semotilus atromaculatus,Semotilus atromaculatus,Semotilus atromaculatus,Creek chub,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Semotilus,atromaculatus
Creek chubsucker,,,MN BCG Access db,,43,Erimyzon oblongus,Erimyzon oblongus,Erimyzon oblongus,Creek chubsucker,Animalia,Chordata,Osteichthyes,Cypriniformes,Catostomidae,Erimyzon,oblongus
Cutlips minnow,,,MN BCG Access db,,44,Exoglossum maxillingua,Exoglossum maxillingua,Exoglossum maxillingua,Cutlips minnow,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Exoglossum,maxillingua
Eastern Mosquitofish,,,MN BCG Access db,,45,Gambusia holbrooki,Gambusia holbrooki,Gambusia holbrooki,Eastern Mosquitofish,Animalia,Chordata,Osteichthyes,Atheriniformes,Poeciliidae,Gambusia,holbrooki
Eastern mudminnow,,,MN BCG Access db,,46,Umbra pygmaea,Umbra pygmaea,Umbra pygmaea,Eastern mudminnow,Animalia,Chordata,Osteichthyes,Salmoniformes,Umbridae,Umbra,pygmaea
Eastern silvery minnow,,,MN BCG Access db,,47,Hybognathus regius,Hybognathus regius,Hybognathus regius,Eastern silvery minnow,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Hybognathus,regius
Fallfish,,,MN BCG Access db,,48,Semotilus corporalis,Semotilus corporalis,Semotilus corporalis,Fallfish,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Semotilus,corporalis
Fantail darter,,,MN BCG Access db,,49,Etheostoma flabellare,Etheostoma flabellare,Etheostoma flabellare,Fantail darter,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Etheostoma,flabellare
Fathead minnow,,,MN BCG Access db,,50,Pimephales promelas,Pimephales promelas,Pimephales promelas,Fathead minnow,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Pimephales,promelas
Flier,,,MN BCG Access db,,51,Centrarchus macropterus,Centrarchus macropterus,Centrarchus macropterus,Flier,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Centrarchus,macropterus
Gizzard shad,,,MN BCG Access db,,52,Dorosoma cepedianum,Dorosoma cepedianum,Dorosoma cepedianum,Gizzard shad,Animalia,Chordata,Osteichthyes,,Clupeidae,Dorosoma,cepedianum
Glassy darter,,,MN BCG Access db,,53,Etheostoma vitreum,Etheostoma vitreum,Etheostoma vitreum,Glassy darter,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Etheostoma,vitreum
Golden redhorse,,,MN BCG Access db,,54,Moxostoma erythrurum,Moxostoma erythrurum,Moxostoma erythrurum,Golden redhorse,Animalia,Chordata,Osteichthyes,Cypriniformes,Catostomidae,Moxostoma,erythrurum
Golden shiner,,,MN BCG Access db,,55,Notemigonus crysoleucas,Notemigonus crysoleucas,Notemigonus crysoleucas,Golden shiner,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notemigonus,crysoleucas
Goldfish,,,MN BCG Access db,,56,Carassius auratus,Carassius auratus,Carassius auratus,Goldfish,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Carassius,auratus
Green sunfish,,,MN BCG Access db,,57,Lepomis cyanellus,Lepomis cyanellus,Lepomis cyanellus,Green sunfish,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Lepomis,cyanellus
Greenside darter,,,MN BCG Access db,,58,Etheostoma blennioides,Etheostoma blennioides,Etheostoma blennioides,Greenside darter,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Etheostoma,blennioides
Inland silverside,,,MN BCG Access db,,59,Menidia beryllina,Menidia beryllina,Menidia beryllina,Inland silverside,Animalia,Chordata,Osteichthyes,,Atherinidae,Menidia,beryllina
Ironcolor shiner,,,MN BCG Access db,,60,Notropis chalybaeus,Notropis chalybaeus,Notropis chalybaeus,Ironcolor shiner,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,chalybaeus
Johnny darter,,,MN BCG Access db,,61,Etheostoma nigrum,Etheostoma nigrum,Etheostoma nigrum,Johnny darter,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Etheostoma,nigrum
Largemouth bass,,,MN BCG Access db,,62,Micropterus salmoides,Micropterus salmoides,Micropterus salmoides,Largemouth bass,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Micropterus,salmoides
Least brook lamprey,,,MN BCG Access db,,63,Lampetra aepyptera,Lampetra aepyptera,Lampetra aepyptera,Least brook lamprey,Animalia,Chordata,Osteichthyes,Petromyzontiformes,Petromyzontidae,Lampetra,aepyptera
Logperch,,,MN BCG Access db,,64,Percina caprodes,Percina caprodes,Percina caprodes,Logperch,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Percina,caprodes
northern sunfish,,,MN BCG Access db,,65,Lepomis megalotis,Lepomis megalotis,Lepomis megalotis,northern sunfish,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Lepomis,megalotis
Longnose dace,,,MN BCG Access db,,66,Rhinichthys cataractae,Rhinichthys cataractae,Rhinichthys cataractae,Longnose dace,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Rhinichthys,cataractae
Longnose gar,,,MN BCG Access db,,67,Lepisosteus osseus,Lepisosteus osseus,Lepisosteus osseus,Longnose gar,Animalia,Chordata,Osteichthyes,Lepisosteiformes,Lepisosteidae,Lepisosteus,osseus
Margined madtom,,,MN BCG Access db,,68,Noturus insignis,Noturus insignis,Noturus insignis,Margined madtom,Animalia,Chordata,Osteichthyes,Siluriformes,Ictaluridae,Noturus,insignis
Mottled sculpin,,,MN BCG Access db,,69,Cottus bairdi,Cottus bairdi,Cottus bairdi,Mottled sculpin,Animalia,Chordata,Osteichthyes,Perciformes,Cottidae,Cottus,bairdi
Mud sunfish,,,MN BCG Access db,,70,Acantharchus pomotis,Acantharchus pomotis,Acantharchus pomotis,Mud sunfish,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Acantharchus,pomotis
Mummichog,,,MN BCG Access db,,71,Fundulus heteroclitus,Fundulus heteroclitus,Fundulus heteroclitus,Mummichog,Animalia,Chordata,Osteichthyes,Atheriniformes,Cyprinodontidae,Fundulus,heteroclitus
Northern hogsucker,,,MN BCG Access db,,72,Hypentelium nigricans,Hypentelium nigricans,Hypentelium nigricans,Northern hogsucker,Animalia,Chordata,Osteichthyes,Cypriniformes,Catostomidae,Hypentelium,nigricans
Northern pike,,,MN BCG Access db,,73,Esox lucius,Esox lucius,Esox lucius,Northern pike,Animalia,Chordata,Osteichthyes,Salmoniformes,Esocidae,Esox,lucius
northern pearl dace,,,MN BCG Access db,,74,Margariscus margarita,Margariscus margarita,Margariscus margarita,northern pearl dace,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Margariscus,margarita
Pirate perch,,,MN BCG Access db,,75,Aphredoderus sayanus,Aphredoderus sayanus,Aphredoderus sayanus,Pirate perch,Animalia,Chordata,Osteichthyes,Percopsiformes,Aphredoderidae,Aphredoderus,sayanus
Potomic sculpin,,,MN BCG Access db,,76,Cottus girardi,Cottus girardi,Cottus girardi,Potomic sculpin,Animalia,Chordata,Osteichthyes,Perciformes,Cottidae,Cottus,girardi
Pumpkinseed,,,MN BCG Access db,,77,Lepomis gibbosus,Lepomis gibbosus,Lepomis gibbosus,Pumpkinseed,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Lepomis,gibbosus
Rainbow trout,,,MN BCG Access db,,78,Oncorhynchus mykiss,Oncorhynchus mykiss,Oncorhynchus mykiss,Rainbow trout,Animalia,Chordata,Osteichthyes,Salmoniformes,Salmonidae,Oncorhynchus,mykiss
Rainwater killifish,,,MN BCG Access db,,79,Lucania parva,Lucania parva,Lucania parva,Rainwater killifish,Animalia,Chordata,Osteichthyes,,Fundulidae,Lucania,parva
Redbreast sunfish,,,MN BCG Access db,,80,Lepomis auritus,Lepomis auritus,Lepomis auritus,Redbreast sunfish,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Lepomis,auritus
Redfin pickerel,,,MN BCG Access db,,81,Esox americanus americanus,Esox americanus americanus,Esox americanus americanus,Redfin pickerel,Animalia,Chordata,Osteichthyes,Salmoniformes,Esocidae,Esox,americanus americanus
River chub,,,MN BCG Access db,,82,Nocomis micropogon,Nocomis micropogon,Nocomis micropogon,River chub,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Nocomis,micropogon
Rock bass,,,MN BCG Access db,,83,Ambloplites rupestris,Ambloplites rupestris,Ambloplites rupestris,Rock bass,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Ambloplites,rupestris
Rosyface shiner,,,MN BCG Access db,,84,Notropis rubellus,Notropis rubellus,Notropis rubellus,Rosyface shiner,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,rubellus
Rosyside dace,,,MN BCG Access db,,85,Clinostomus funduloides,Clinostomus funduloides,Clinostomus funduloides,Rosyside dace,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Clinostomus,funduloides
Satinfin shiner,,,MN BCG Access db,,86,Cyprinella analostana,Cyprinella analostana,Cyprinella analostana,Satinfin shiner,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Cyprinella,analostana
Shield darter,,,MN BCG Access db,,87,Percina peltata,Percina peltata,Percina peltata,Shield darter,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Percina,peltata
Shorthead redhorse,,,MN BCG Access db,,88,Moxostoma macrolepidotum,Moxostoma macrolepidotum,Moxostoma macrolepidotum,Shorthead redhorse,Animalia,Chordata,Osteichthyes,Cypriniformes,Catostomidae,Moxostoma,macrolepidotum
Silverjaw minnow,,,MN BCG Access db,,89,Notropis buccatus,Notropis buccatus,Notropis buccatus,Silverjaw minnow,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,buccatus
Smallmouth bass,,,MN BCG Access db,,91,Micropterus dolomieu,Micropterus dolomieu,Micropterus dolomieu,Smallmouth bass,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Micropterus,dolomieu
Spot,,,MN BCG Access db,,92,Leiostomus xanthurus,Leiostomus xanthurus,Leiostomus xanthurus,Spot,Animalia,Chordata,Osteichthyes,Perciformes,Sciaenidae,Leiostomus,xanthurus
Spotfin shiner,,,MN BCG Access db,,93,Cyprinella spiloptera,Cyprinella spiloptera,Cyprinella spiloptera,Spotfin shiner,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Cyprinella,spiloptera
Spottail shiner,,,MN BCG Access db,,94,Notropis hudsonius,Notropis hudsonius,Notropis hudsonius,Spottail shiner,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,hudsonius
Stonecat,,,MN BCG Access db,,95,Noturus flavus,Noturus flavus,Noturus flavus,Stonecat,Animalia,Chordata,Osteichthyes,Siluriformes,Ictaluridae,Noturus,flavus
Striped bass,,,MN BCG Access db,,96,Morone saxatilis,Morone saxatilis,Morone saxatilis,Striped bass,Animalia,Chordata,Osteichthyes,Perciformes,Moronidae,Morone,saxatilis
Striped killifish,,,MN BCG Access db,,97,Fundulus majalis,Fundulus majalis,Fundulus majalis,Striped killifish,Animalia,Chordata,Osteichthyes,Atheriniformes,Fundulidae,Fundulus,majalis
Striped shiner,,,MN BCG Access db,,98,Luxilus chrysocephalus,Luxilus chrysocephalus,Luxilus chrysocephalus,Striped shiner,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Luxilus,chrysocephalus
Swallowtail shiner,,,MN BCG Access db,,99,Notropis procne,Notropis procne,Notropis procne,Swallowtail shiner,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,procne
Swamp darter,,,MN BCG Access db,,100,Etheostoma fusiforme,Etheostoma fusiforme,Etheostoma fusiforme,Swamp darter,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Etheostoma,fusiforme
Tadpole madtom,,,MN BCG Access db,,101,Noturus gyrinus,Noturus gyrinus,Noturus gyrinus,Tadpole madtom,Animalia,Chordata,Osteichthyes,Siluriformes,Ictaluridae,Noturus,gyrinus
Tesselated darter,,,MN BCG Access db,,102,Etheostoma olmstedi,Etheostoma olmstedi,Etheostoma olmstedi,Tesselated darter,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Etheostoma,olmstedi
Warmouth,,,MN BCG Access db,,103,Lepomis gulosus,Lepomis gulosus,Lepomis gulosus,Warmouth,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Lepomis,gulosus
watercolumn fish,,,MN BCG Access db,,104,Osteichthyes,Osteichthyes,Osteichthyes,watercolumn fish,Animalia,Chordata,Osteichthyes,,,,
White catfish,,,MN BCG Access db,,105,Ameiurus catus,Ameiurus catus,Ameiurus catus,White catfish,Animalia,Chordata,Osteichthyes,Siluriformes,Ictaluridae,Ameiurus,catus
White crappie,,,MN BCG Access db,,106,Pomoxis annularis,Pomoxis annularis,Pomoxis annularis,White crappie,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Pomoxis,annularis
White perch,,,MN BCG Access db,,107,Morone americana,Morone americana,Morone americana,White perch,Animalia,Chordata,Osteichthyes,Perciformes,Moronidae,Morone,americana
White sucker,,,MN BCG Access db,,108,Catostomus commersoni,Catostomus commersoni,Catostomus commersoni,White sucker,Animalia,Chordata,Osteichthyes,Cypriniformes,Catostomidae,Catostomus,commersoni
Yellow bullhead,,,MN BCG Access db,add space to end of Taxon_Orig_Sci so not a duplicate,109,Ameiurus natalis,Ameiurus natalis,Ameiurus natalis,Yellow bullhead,Animalia,Chordata,Osteichthyes,Siluriformes,Ictaluridae,Ameiurus,natalis
Yellow perch,,,MN BCG Access db,,110,Perca flavescens,Perca flavescens,Perca flavescens,Yellow perch,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Perca,flavescens
bigmouth buffalo,,,MN BCG Access db,,111,Ictiobus cyprinellus,Ictiobus cyprinellus,Ictiobus cyprinellus,bigmouth buffalo,Animalia,,,,,Ictiobus,cyprinellus
bigmouth shiner,,,MN BCG Access db,,112,Notropis dorsalis,Notropis dorsalis,Notropis dorsalis,bigmouth shiner,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,dorsalis
black buffalo,,,MN BCG Access db,,113,Ictiobus niger,Ictiobus niger,Ictiobus niger,black buffalo,Animalia,,,,,Ictiobus,niger
black bullhead,,,MN BCG Access db,,114,Ameiurus melas,Ameiurus melas,Ameiurus melas,black bullhead,Animalia,Chordata,Osteichthyes,Siluriformes,Ictaluridae,Ameiurus,melas
black redhorse,,,MN BCG Access db,,115,Moxostoma duquesnei,Moxostoma duquesnei,Moxostoma duquesnei,black redhorse,Animalia,Chordata,Osteichthyes,Cypriniformes,Catostomidae,Moxostoma,duquesnei
blackchin shiner,,,MN BCG Access db,,116,Notropis heterodon,Notropis heterodon,Notropis heterodon,blackchin shiner,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,heterodon
blacknose shiner,,,MN BCG Access db,,117,Notropis heterolepis,Notropis heterolepis,Notropis heterolepis,blacknose shiner,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,heterolepis
blackside darter,,,MN BCG Access db,,118,Percina maculata,Percina maculata,Percina maculata,blackside darter,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Percina,maculata
blue sucker,,,MN BCG Access db,,119,Cycleptus elongatus,Cycleptus elongatus,Cycleptus elongatus,blue sucker,Animalia,,,,,Cycleptus,elongatus
bowfin,,,MN BCG Access db,,120,Amia calva,Amia calva,Amia calva,bowfin,Animalia,,,,,Amia,calva
brassy minnow,,,MN BCG Access db,,121,Hybognathus hankinsoni,Hybognathus hankinsoni,Hybognathus hankinsoni,brassy minnow,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Hybognathus,hankinsoni
brook silverside,,,MN BCG Access db,,122,Labidesthes sicculus,Labidesthes sicculus,Labidesthes sicculus,brook silverside,Animalia,,,,,Labidesthes,sicculus
brook stickleback,,,MN BCG Access db,,123,Culaea inconstans,Culaea inconstans,Culaea inconstans,brook stickleback,Animalia,,,,,Culaea,inconstans
bullhead minnow,,,MN BCG Access db,,124,Pimephales vigilax,Pimephales vigilax,Pimephales vigilax,bullhead minnow,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Pimephales,vigilax
burbot,,,MN BCG Access db,,125,Lota lota,Lota lota,Lota lota,burbot,Animalia,,,,,Lota,lota
carmine shiner,,,MN BCG Access db,,126,Notropis percobromus,Notropis percobromus,Notropis percobromus,carmine shiner,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,percobromus
central mudminnow,,,MN BCG Access db,,127,Umbra limi,Umbra limi,Umbra limi,central mudminnow,Animalia,Chordata,Osteichthyes,Salmoniformes,Umbridae,Umbra,limi
channel shiner,,,MN BCG Access db,,128,Notropis wickliffi,Notropis wickliffi,Notropis wickliffi,channel shiner,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,wickliffi
chestnut lamprey,,,MN BCG Access db,,129,Ichthyomyzon castaneus,Ichthyomyzon castaneus,Ichthyomyzon castaneus,chestnut lamprey,Animalia,,,,,Ichthyomyzon,castaneus
chinook salmon,,,MN BCG Access db,,130,Oncorhynchus tshawytscha,Oncorhynchus tshawytscha,Oncorhynchus tshawytscha,chinook salmon,Animalia,Chordata,Osteichthyes,Salmoniformes,Salmonidae,Oncorhynchus,tshawytscha
coho salmon,,,MN BCG Access db,,131,Oncorhynchus kisutch,Oncorhynchus kisutch,Oncorhynchus kisutch,coho salmon,Animalia,Chordata,Osteichthyes,Salmoniformes,Salmonidae,Oncorhynchus,kisutch
crystal darter,,,MN BCG Access db,,132,Crystallaria asprella,Crystallaria asprella,Crystallaria asprella,crystal darter,Animalia,,,,,Crystallaria,asprella
