TAXAID,FAMILY,GENUS,COMMONNAME,BCG_ATTR,BCGATTR_ROMAN,BCG_ATTR2,BCG_ATTR2_ROMAN,BCG_NUM,NATIVE,TROPHIC,HABITAT,REPRODUCTION
ESOX AMERICANUS,ESOCIDAE,ESOX,REDFIN OR GRASS PICKEREL,3,III,3_BETTER,IIIa,3,NATIVE,TC,W,
ESOX LUCIUS,ESOCIDAE,ESOX,NORTHERN PIKE,4,IV,4_WORSE,IVb,4.5,NATIVE,TC,W,BROADCASTER
ESOX MASQUINONGY,ESOCIDAE,ESOX,MUSKELLUNGE,3,III,3_WORSE,IIIb,3.5,NATIVE,TC,W,BROADCASTER
ESOX NIGER,ESOCIDAE,ESOX,CHAIN PICKEREL,4,IV,4_BETTER,IVa,4,NATIVE,TC,W,BROADCASTER
ETHEOSTOMA,PERCIDAE,ETHEOSTOMA,DARTER,4,IV,4_BETTER,IVa,4,NATIVE,IV,B,
ETHEOSTOMA ARTESIAE,PERCIDAE,ETHEOSTOMA,REDSPOT DARTER,3,III,3_MIDDLE,III,3,NATIVE,IV,B;F,LITHOPHIL
ETHEOSTOMA ASPRIGENE,PERCIDAE,ETHEOSTOMA,MUD DARTER,4,IV,4_BETTER,IVa,4,NATIVE,IV,B,COMPLEX NEST
ETHEOSTOMA AUTUMNALE,PERCIDAE,ETHEOSTOMA,AUTUMN DARTER,,,,,,NATIVE,OM,,
ETHEOSTOMA BLENNIOIDES,PERCIDAE,ETHEOSTOMA,GREENSIDE DARTER,3,III,3_BETTER,IIIa,3,NATIVE,IV,B;F,SIMPLE NEST
ETHEOSTOMA BURRI,PERCIDAE,ETHEOSTOMA,BROOK DARTER,,,,,,NATIVE,IV,B;F,LITHOPHIL
ETHEOSTOMA CAERULEUM,PERCIDAE,ETHEOSTOMA,RAINBOW DARTER,3,III,3_WORSE,IIIb,3.5,NATIVE,IV,B;F,SIMPLE NEST; LITHOPHIL
ETHEOSTOMA CHLOROSOMA,PERCIDAE,ETHEOSTOMA,BLUNTNOSE DARTER,3,III,3_BETTER,IIIa,3,NATIVE,IV,B,COMPLEX NEST
ETHEOSTOMA COLLETTEI,PERCIDAE,ETHEOSTOMA,CREOLE DARTER,,,,,,NATIVE,IV,B;F,LITHOPHIL
ETHEOSTOMA CRAGINI,PERCIDAE,ETHEOSTOMA,ARKANSAS DARTER,3,III,3_WORSE,IIIb,3.5,NATIVE,IV,B,
ETHEOSTOMA ERYTHROZONUM,PERCIDAE,ETHEOSTOMA,MERAMEC SADDLED DARTER,,,,,,NATIVE,OM,F,LITHOPHIL
ETHEOSTOMA EUZONUM,PERCIDAE,ETHEOSTOMA,ARKANSAS SADDLED DARTER,,,,,,NATIVE,IV,B;F,LITHOPHIL
ETHEOSTOMA EXILE,PERCIDAE,ETHEOSTOMA,IOWA DARTER,4,IV,4_BETTER,IVa,4,NATIVE,IV,B,COMPLEX NEST; MIGRATORY
ETHEOSTOMA FLABELLARE,PERCIDAE,ETHEOSTOMA,FANTAIL DARTER,4,IV,4_BETTER,IVa,4,NATIVE,IV,B;F,COMPLEX NEST
ETHEOSTOMA FLABELLARE FLABELLARE,PERCIDAE,ETHEOSTOMA,BARRED FANTAIL DARTER,4,IV,4_BETTER,IVa,4,NATIVE,IV,B;F,LITHOPHIL
