Taxon_Group,Taxon_Orig_Common,Taxon_Orig_Sci,NonTarget,source_MPCA,source_RedLake,Comment,FishTaxaID,OTU_BCG_Common,OTU_IBI_Common,OTU_BCG_Sci,OTU_IBI_Sci,SciID,Kingdom,Phylum,Class,Order,Family,Genus,Species
,Fam: herrings,Clupeidae,,MN BCG Access db,,,134,Fam: herrings,Fam: herrings,Clupeidae,Clupeidae,Clupeidae,Animalia,Chordata,Osteichthyes,,Clupeidae,,
,Fam: lamprey,Petromyzontidae,,MN BCG Access db,,,135,Fam: lamprey,Fam: lamprey,Petromyzontidae,Petromyzontidae,Petromyzontidae,Animalia,Chordata,Osteichthyes,Petromyzontiformes,Petromyzontidae,,
,Fam: minnows,Cyprinidae,,MN BCG Access db,,,136,Fam: minnows,Fam: minnows,Cyprinidae,Cyprinidae,Cyprinidae,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,,
,Fam: trout,Salmonidae,,MN BCG Access db,,,137,Fam: trout,Fam: trout,Salmonidae,Salmonidae,Salmonidae,Animalia,Chordata,Osteichthyes,Salmoniformes,Salmonidae,,
,finescale dace,Phoxinus neogaeus,,MN BCG Access db,,,138,finescale dace,finescale dace,Phoxinus neogaeus,Phoxinus neogaeus,Phoxinus neogaeus,Animalia,,,,,Phoxinus,neogaeus
,flathead catfish,Pylodictis olivaris,,MN BCG Access db,,,139,flathead catfish,flathead catfish,Pylodictis olivaris,Pylodictis olivaris,Pylodictis olivaris,Animalia,,,,,Pylodictis,olivaris
,freshwater drum,Aplodinotus grunniens,,MN BCG Access db,,,140,freshwater drum,freshwater drum,Aplodinotus grunniens,Aplodinotus grunniens,Aplodinotus grunniens,Animalia,,,,,Aplodinotus,grunniens
,Gen: buffalos,Ictiobus,,MN BCG Access db,,,141,Gen: buffalos,Gen: buffalos,Ictiobus,Ictiobus,Ictiobus,Animalia,,,,,Ictiobus,
,Gen: bullheads,Ameiurus,,MN BCG Access db,,,142,Gen: bullheads,Gen: bullheads,Ameiurus,Ameiurus,Ameiurus,Animalia,Chordata,Osteichthyes,Siluriformes,Ictaluridae,Ameiurus,
,Gen: carpsuckers,Carpiodes,,MN BCG Access db,,,143,Gen: carpsuckers,Gen: carpsuckers,Carpiodes,Carpiodes,Carpiodes,Animalia,,,,,Carpiodes,
,Gen: Catostomus,Catostomus,,MN BCG Access db,,,144,Gen: Catostomus,Gen: Catostomus,Catostomus,Catostomus,Catostomus,Animalia,Chordata,Osteichthyes,Cypriniformes,Catostomidae,Catostomus,
,Gen: common sunfishes,Lepomis,,MN BCG Access db,,,145,Gen: common sunfishes,Gen: common sunfishes,Lepomis,Lepomis,Lepomis,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Lepomis,
,Gen: Etheostoma,Etheostoma,,MN BCG Access db,,,146,Gen: Etheostoma,Gen: Etheostoma,Etheostoma,Etheostoma,Etheostoma,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Etheostoma,
,Gen: Notropis,Notropis,,MN BCG Access db,,,147,Gen: Notropis,Gen: Notropis,Notropis,Notropis,Notropis,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,
,Gen: Percina,Percina,,MN BCG Access db,,,148,Gen: Percina,Gen: Percina,Percina,Percina,Percina,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Percina,
,Gen: Chrosomus,Chrosomus,,MN BCG Access db,,,149,Gen: Chrosomus,Gen: Chrosomus,Chrosomus,Chrosomus,Chrosomus,Animalia,,,,,Chrosomus,
,Gen: redhorses,Moxostoma,,MN BCG Access db,,,150,Gen: redhorses,Gen: redhorses,Moxostoma,Moxostoma,Moxostoma,Animalia,Chordata,Osteichthyes,Cypriniformes,Catostomidae,Moxostoma,
,Gen: sculpins,Cottus,,MN BCG Access db,,,151,Gen: sculpins,Gen: sculpins,Cottus,Cottus,Cottus,Animalia,Chordata,Osteichthyes,Perciformes,Cottidae,Cottus,
,Gen: stonerollers,Campostoma,,MN BCG Access db,,,152,Gen: stonerollers,Gen: stonerollers,Campostoma,Campostoma,Campostoma,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Campostoma,
,gilt darter,Percina evides,,MN BCG Access db,,,153,gilt darter,gilt darter,Percina evides,Percina evides,Percina evides,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Percina,evides
,goldeye,Hiodon alosoides,,MN BCG Access db,,,154,goldeye,goldeye,Hiodon alosoides,Hiodon alosoides,Hiodon alosoides,Animalia,,,,,Hiodon,alosoides
,grass carp,Ctenopharyngodon idella,,MN BCG Access db,,,155,grass carp,grass carp,Ctenopharyngodon idella,Ctenopharyngodon idella,Ctenopharyngodon idella,Animalia,,,,,Ctenopharyngodon,idella
,gravel chub,Erimystax x-punctatus,,MN BCG Access db,,,156,gravel chub,gravel chub,Erimystax x-punctatus,Erimystax x-punctatus,Erimystax x-punctatus,Animalia,,,,,Erimystax,x-punctatus
,greater redhorse,Moxostoma valenciennesi,,MN BCG Access db,,,157,greater redhorse,greater redhorse,Moxostoma valenciennesi,Moxostoma valenciennesi,Moxostoma valenciennesi,Animalia,Chordata,Osteichthyes,Cypriniformes,Catostomidae,Moxostoma,valenciennesi
,highfin carpsucker,Carpiodes velifer,,MN BCG Access db,,,158,highfin carpsucker,highfin carpsucker,Carpiodes velifer,Carpiodes velifer,Carpiodes velifer,Animalia,,,,,Carpiodes,velifer
,hornyhead chub,Nocomis biguttatus,,MN BCG Access db,,,159,hornyhead chub,hornyhead chub,Nocomis biguttatus,Nocomis biguttatus,Nocomis biguttatus,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Nocomis,biguttatus
,hybrid minnow,Cyprinidae hybrid,,MN BCG Access db,,,160,hybrid minnow,hybrid minnow,Cyprinidae hybrid,Cyprinidae hybrid,Cyprinidae hybrid,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,hybrid,
,hybrid Chrosomus,Chrosomus hybrid,,MN BCG Access db,,,161,hybrid Chrosomus,hybrid Chrosomus,Chrosomus hybrid,Chrosomus hybrid,Chrosomus hybrid,Animalia,,,,,Chrosomus,hybrid
,hybrid sunfish,Lepomis hybrid,,MN BCG Access db,,,162,hybrid sunfish,hybrid sunfish,Lepomis hybrid,Lepomis hybrid,Lepomis hybrid,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Lepomis,hybrid
,Iowa darter,Etheostoma exile,,MN BCG Access db,,,163,Iowa darter,Iowa darter,Etheostoma exile,Etheostoma exile,Etheostoma exile,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Etheostoma,exile
,lake chub,Couesius plumbeus,,MN BCG Access db,,,164,lake chub,lake chub,Couesius plumbeus,Couesius plumbeus,Couesius plumbeus,Animalia,,,,,Couesius,plumbeus
,lake herring,Coregonus artedi,,MN BCG Access db,,,165,lake herring,lake herring,Coregonus artedi,Coregonus artedi,Coregonus artedi,Animalia,,,,,Coregonus,artedi
,lake sturgeon,Acipenser fulvescens,,MN BCG Access db,,,166,lake sturgeon,lake sturgeon,Acipenser fulvescens,Acipenser fulvescens,Acipenser fulvescens,Animalia,,,,,Acipenser,fulvescens
,lamprey ammocoete,Petromyzontidae larvae,,MN BCG Access db,,,167,lamprey ammocoete,lamprey ammocoete,Petromyzontidae larvae,Petromyzontidae larvae,Petromyzontidae larvae,Animalia,Chordata,Osteichthyes,Petromyzontiformes,Petromyzontidae,larvae,
,largescale stoneroller,Campostoma oligolepis,,MN BCG Access db,,,168,largescale stoneroller,largescale stoneroller,Campostoma oligolepis,Campostoma oligolepis,Campostoma oligolepis,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Campostoma,oligolepis
,least darter,Etheostoma microperca,,MN BCG Access db,,,169,least darter,least darter,Etheostoma microperca,Etheostoma microperca,Etheostoma microperca,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Etheostoma,microperca
,longnose sucker,Catostomus catostomus,,MN BCG Access db,,,170,longnose sucker,longnose sucker,Catostomus catostomus,Catostomus catostomus,Catostomus catostomus,Animalia,Chordata,Osteichthyes,Cypriniformes,Catostomidae,Catostomus,catostomus
,mimic shiner,Notropis volucellus,,MN BCG Access db,,,171,mimic shiner,mimic shiner,Notropis volucellus,Notropis volucellus,Notropis volucellus,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,volucellus
,Mississippi silvery minnow,Hybognathus nuchalis,,MN BCG Access db,,,172,Mississippi silvery minnow,Mississippi silvery minnow,Hybognathus nuchalis,Hybognathus nuchalis,Hybognathus nuchalis,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Hybognathus,nuchalis
,mooneye,Hiodon tergisus,,MN BCG Access db,,,173,mooneye,mooneye,Hiodon tergisus,Hiodon tergisus,Hiodon tergisus,Animalia,,,,,Hiodon,tergisus
,mud darter,Etheostoma asprigene,,MN BCG Access db,,,174,mud darter,mud darter,Etheostoma asprigene,Etheostoma asprigene,Etheostoma asprigene,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Etheostoma,asprigene
,muskellunge,Esox masquinongy,,MN BCG Access db,,,175,muskellunge,muskellunge,Esox masquinongy,Esox masquinongy,Esox masquinongy,Animalia,Chordata,Osteichthyes,Salmoniformes,Esocidae,Esox,masquinongy
,ninespine stickleback,Pungitius pungitius,,MN BCG Access db,,,176,ninespine stickleback,ninespine stickleback,Pungitius pungitius,Pungitius pungitius,Pungitius pungitius,Animalia,,,,,Pungitius,pungitius
,northern brook lamprey,Ichthyomyzon fossor,,MN BCG Access db,,,177,northern brook lamprey,northern brook lamprey,Ichthyomyzon fossor,Ichthyomyzon fossor,Ichthyomyzon fossor,Animalia,,,,,Ichthyomyzon,fossor
,northern redbelly dace,Phoxinus eos,,MN BCG Access db,,,178,northern redbelly dace,northern redbelly dace,Phoxinus eos,Phoxinus eos,Phoxinus eos,Animalia,,,,,Phoxinus,eos
,orangespotted sunfish,Lepomis humilis,,MN BCG Access db,,,179,orangespotted sunfish,orangespotted sunfish,Lepomis humilis,Lepomis humilis,Lepomis humilis,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Lepomis,humilis
,Ozark minnow,Notropis nubilus,,MN BCG Access db,,,180,Ozark minnow,Ozark minnow,Notropis nubilus,Notropis nubilus,Notropis nubilus,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,nubilus
,pink salmon,Oncorhynchus gorbuscha,,MN BCG Access db,,,181,pink salmon,pink salmon,Oncorhynchus gorbuscha,Oncorhynchus gorbuscha,Oncorhynchus gorbuscha,Animalia,Chordata,Osteichthyes,Salmoniformes,Salmonidae,Oncorhynchus,gorbuscha
,plains topminnow,Fundulus sciadicus,,MN BCG Access db,,,182,plains topminnow,plains topminnow,Fundulus sciadicus,Fundulus sciadicus,Fundulus sciadicus,Animalia,Chordata,Osteichthyes,Atheriniformes,Fundulidae,Fundulus,sciadicus
,pugnose minnow,Opsopoeodus emiliae,,MN BCG Access db,,,183,pugnose minnow,pugnose minnow,Opsopoeodus emiliae,Opsopoeodus emiliae,Opsopoeodus emiliae,Animalia,,,,,Opsopoeodus,emiliae
,pugnose shiner,Notropis anogenus,,MN BCG Access db,,,184,pugnose shiner,pugnose shiner,Notropis anogenus,Notropis anogenus,Notropis anogenus,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,anogenus
,quillback,Carpiodes cyprinus,,MN BCG Access db,,,185,quillback,quillback,Carpiodes cyprinus,Carpiodes cyprinus,Carpiodes cyprinus,Animalia,,,,,Carpiodes,cyprinus
,rainbow darter,Etheostoma caeruleum,,MN BCG Access db,,,186,rainbow darter,rainbow darter,Etheostoma caeruleum,Etheostoma caeruleum,Etheostoma caeruleum,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Etheostoma,caeruleum
,rainbow smelt,Osmerus mordax,,MN BCG Access db,,,187,rainbow smelt,rainbow smelt,Osmerus mordax,Osmerus mordax,Osmerus mordax,Animalia,,,,,Osmerus,mordax
,red shiner,Cyprinella lutrensis,,MN BCG Access db,,,188,red shiner,red shiner,Cyprinella lutrensis,Cyprinella lutrensis,Cyprinella lutrensis,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Cyprinella,lutrensis
,redfin shiner,Lythrurus umbratilis,,MN BCG Access db,,,189,redfin shiner,redfin shiner,Lythrurus umbratilis,Lythrurus umbratilis,Lythrurus umbratilis,Animalia,,,,,Lythrurus,umbratilis
,redside dace,Clinostomus elongatus,,MN BCG Access db,,,190,redside dace,redside dace,Clinostomus elongatus,Clinostomus elongatus,Clinostomus elongatus,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Clinostomus,elongatus
,river carpsucker,Carpiodes carpio,,MN BCG Access db,,,191,river carpsucker,river carpsucker,Carpiodes carpio,Carpiodes carpio,Carpiodes carpio,Animalia,,,,,Carpiodes,carpio
,river darter,Percina shumardi,,MN BCG Access db,,,192,river darter,river darter,Percina shumardi,Percina shumardi,Percina shumardi,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Percina,shumardi
,river redhorse,Moxostoma carinatum,,MN BCG Access db,,,193,river redhorse,river redhorse,Moxostoma carinatum,Moxostoma carinatum,Moxostoma carinatum,Animalia,Chordata,Osteichthyes,Cypriniformes,Catostomidae,Moxostoma,carinatum
,river shiner,Notropis blennius,,MN BCG Access db,,,194,river shiner,river shiner,Notropis blennius,Notropis blennius,Notropis blennius,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,blennius
,ruffe,Gymnocephalus cernuus,,MN BCG Access db,,,195,ruffe,ruffe,Gymnocephalus cernuus,Gymnocephalus cernuus,Gymnocephalus cernuus,Animalia,,,,,Gymnocephalus,cernuus
,sand shiner,Notropis stramineus,,MN BCG Access db,,,196,sand shiner,sand shiner,Notropis stramineus,Notropis stramineus,Notropis stramineus,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,stramineus
,sauger,Sander canadensis,,MN BCG Access db,,,197,sauger,sauger,Sander canadensis,Sander canadensis,Sander canadensis,Animalia,,,,,Sander,canadensis
,sea lamprey,Petromyzon marinus,,MN BCG Access db,,,198,sea lamprey,sea lamprey,Petromyzon marinus,Petromyzon marinus,Petromyzon marinus,Animalia,,,,,Petromyzon,marinus
,shoal chub,Macrhybopsis hyostoma,,MN BCG Access db,,,199,shoal chub,shoal chub,Macrhybopsis hyostoma,Macrhybopsis hyostoma,Macrhybopsis hyostoma,Animalia,,,,,Macrhybopsis,hyostoma
,shortnose gar,Lepisosteus platostomus,,MN BCG Access db,,,200,shortnose gar,shortnose gar,Lepisosteus platostomus,Lepisosteus platostomus,Lepisosteus platostomus,Animalia,Chordata,Osteichthyes,Lepisosteiformes,Lepisosteidae,Lepisosteus,platostomus
,shovelnose sturgeon,Scaphirhynchus platorynchus,,MN BCG Access db,,,201,shovelnose sturgeon,shovelnose sturgeon,Scaphirhynchus platorynchus,Scaphirhynchus platorynchus,Scaphirhynchus platorynchus,Animalia,,,,,Scaphirhynchus,platorynchus
,silver chub,Macrhybopsis storeriana,,MN BCG Access db,,,202,silver chub,silver chub,Macrhybopsis storeriana,Macrhybopsis storeriana,Macrhybopsis storeriana,Animalia,,,,,Macrhybopsis,storeriana
,silver lamprey,Ichthyomyzon unicuspis,,MN BCG Access db,,,203,silver lamprey,silver lamprey,Ichthyomyzon unicuspis,Ichthyomyzon unicuspis,Ichthyomyzon unicuspis,Animalia,,,,,Ichthyomyzon,unicuspis
,silver redhorse,Moxostoma anisurum,,MN BCG Access db,,,204,silver redhorse,silver redhorse,Moxostoma anisurum,Moxostoma anisurum,Moxostoma anisurum,Animalia,Chordata,Osteichthyes,Cypriniformes,Catostomidae,Moxostoma,anisurum
,slenderhead darter,Percina phoxocephala,,MN BCG Access db,,,205,slenderhead darter,slenderhead darter,Percina phoxocephala,Percina phoxocephala,Percina phoxocephala,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Percina,phoxocephala
,smallmouth buffalo,Ictiobus bubalus,,MN BCG Access db,,,206,smallmouth buffalo,smallmouth buffalo,Ictiobus bubalus,Ictiobus bubalus,Ictiobus bubalus,Animalia,,,,,Ictiobus,bubalus
,southern brook lamprey,Ichthyomyzon gagei,,MN BCG Access db,,,207,southern brook lamprey,southern brook lamprey,Ichthyomyzon gagei,Ichthyomyzon gagei,Ichthyomyzon gagei,Animalia,,,,,Ichthyomyzon,gagei
,southern redbelly dace,Phoxinus erythrogaster,,MN BCG Access db,,,208,southern redbelly dace,southern redbelly dace,Phoxinus erythrogaster,Phoxinus erythrogaster,Phoxinus erythrogaster,Animalia,,,,,Phoxinus,erythrogaster
,splake,Salvelinus hybrid,,MN BCG Access db,,,209,splake,splake,Salvelinus hybrid,Salvelinus hybrid,Salvelinus hybrid,Animalia,Chordata,Osteichthyes,Salmoniformes,Salmonidae,Salvelinus,hybrid
,spotted sucker,Minytrema melanops,,MN BCG Access db,,,210,spotted sucker,spotted sucker,Minytrema melanops,Minytrema melanops,Minytrema melanops,Animalia,,,,,Minytrema,melanops
,SubFam: salmonids,Salmoninae,,MN BCG Access db,,,211,SubFam: salmonids,SubFam: salmonids,Salmoninae,Salmoninae,Salmoninae,Animalia,,,,,Salmoninae,
,suckermouth minnow,Phenacobius mirabilis,,MN BCG Access db,,,212,suckermouth minnow,suckermouth minnow,Phenacobius mirabilis,Phenacobius mirabilis,Phenacobius mirabilis,Animalia,,,,,Phenacobius,mirabilis
,threespine stickleback,Gasterosteus aculeatus,,MN BCG Access db,,,213,threespine stickleback,threespine stickleback,Gasterosteus aculeatus,Gasterosteus aculeatus,Gasterosteus aculeatus,Animalia,,,,,Gasterosteus,aculeatus
,tiger musky,Esox hybrid,,MN BCG Access db,,,214,tiger musky,tiger musky,Esox hybrid,Esox hybrid,Esox hybrid,Animalia,Chordata,Osteichthyes,Salmoniformes,Esocidae,Esox,hybrid
,tiger trout,Salmonidae hybrid,,MN BCG Access db,,,215,tiger trout,tiger trout,Salmonidae hybrid,Salmonidae hybrid,Salmonidae hybrid,Animalia,Chordata,Osteichthyes,Salmoniformes,Salmonidae,hybrid,
,Topeka shiner,Notropis topeka,,MN BCG Access db,,,216,Topeka shiner,Topeka shiner,Notropis topeka,Notropis topeka,Notropis topeka,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,topeka
,trout-perch,Percopsis omiscomaycus,,MN BCG Access db,,,217,trout-perch,trout-perch,Percopsis omiscomaycus,Percopsis omiscomaycus,Percopsis omiscomaycus,Animalia,,,,,Percopsis,omiscomaycus
,walleye,Sander vitreus,,MN BCG Access db,,,218,walleye,walleye,Sander vitreus,Sander vitreus,Sander vitreus,Animalia,,,,,Sander,vitreus
,weed shiner,Notropis texanus,,MN BCG Access db,,,219,weed shiner,weed shiner,Notropis texanus,Notropis texanus,Notropis texanus,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,texanus
,western sand darter,Ammocrypta clara,,MN BCG Access db,,,220,western sand darter,western sand darter,Ammocrypta clara,Ammocrypta clara,Ammocrypta clara,Animalia,,,,,Ammocrypta,clara
,white bass,Morone chrysops,,MN BCG Access db,,,221,white bass,white bass,Morone chrysops,Morone chrysops,Morone chrysops,Animalia,Chordata,Osteichthyes,Perciformes,Moronidae,Morone,chrysops
,Blacknose Dace,Rhinichthys obtusus ,,,AWQMS_Fish_Data_Export,add space to end of Taxon_Orig_Sci so not a duplicate,,western blacknose dace,western blacknose dace,Rhinichthys obtusus,Rhinichthys obtusus,Rhinichthys obtusus,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Rhinichthys,obtusus
,Lamprey (larvae),Petromyzontidae ,,,AWQMS_Fish_Data_Export,add space to end of Taxon_Orig_Sci so not a duplicate,,Fam: lamprey,Fam: lamprey,Petromyzontidae,Petromyzontidae,Petromyzontidae,Animalia,Chordata,Osteichthyes,Petromyzontiformes,Petromyzontidae,,
,Blackside Darter,Percina maculata ,,,AWQMS_Fish_Data_Export,add space to end of Taxon_Orig_Sci so not a duplicate,,blackside darter,blackside darter,Percina maculata,Percina maculata,Percina maculata,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Percina,maculata
,Carmine shiner,Notropis percobromus ,,,AWQMS_Fish_Data_Export,add space to end of Taxon_Orig_Sci so not a duplicate,,carmine shiner,carmine shiner,Notropis percobromus,Notropis percobromus,Notropis percobromus,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notropis,percobromus
,Central Mudminnow,Umbra limi ,,,AWQMS_Fish_Data_Export,add space to end of Taxon_Orig_Sci so not a duplicate,,central mudminnow,central mudminnow,Umbra limi,Umbra limi,Umbra limi,Animalia,Chordata,Osteichthyes,Salmoniformes,Umbridae,Umbra,limi
,Common Shiner,Luxilus cornutus ,,,AWQMS_Fish_Data_Export,add space to end of Taxon_Orig_Sci so not a duplicate,,Common shiner,Common shiner,Luxilus cornutus,Luxilus cornutus,Luxilus cornutus,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Luxilus,cornutus
,Creek Chub,Semotilus atromaculatus ,,,AWQMS_Fish_Data_Export,add space to end of Taxon_Orig_Sci so not a duplicate,,Creek chub,Creek chub,Semotilus atromaculatus,Semotilus atromaculatus,Semotilus atromaculatus,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Semotilus,atromaculatus
,Fathead Minnow,Pimephales promelas ,,,AWQMS_Fish_Data_Export,add space to end of Taxon_Orig_Sci so not a duplicate,,Fathead minnow,Fathead minnow,Pimephales promelas,Pimephales promelas,Pimephales promelas,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Pimephales,promelas
,Hornyhead Chub,Nocomis biguttatus ,,,AWQMS_Fish_Data_Export,add space to end of Taxon_Orig_Sci so not a duplicate,,hornyhead chub,hornyhead chub,Nocomis biguttatus,Nocomis biguttatus,Nocomis biguttatus,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Nocomis,biguttatus
,Johnny Darter,Etheostoma nigrum ,,,AWQMS_Fish_Data_Export,add space to end of Taxon_Orig_Sci so not a duplicate,,Johnny darter,Johnny darter,Etheostoma nigrum,Etheostoma nigrum,Etheostoma nigrum,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Etheostoma,nigrum
,Northern Pike,Esox lucius ,,,AWQMS_Fish_Data_Export,add space to end of Taxon_Orig_Sci so not a duplicate,,Northern pike,Northern pike,Esox lucius,Esox lucius,Esox lucius,Animalia,Chordata,Osteichthyes,Salmoniformes,Esocidae,Esox,lucius
,Northern Redbelly Dace,Phoxinus eos ,,,AWQMS_Fish_Data_Export,add space to end of Taxon_Orig_Sci so not a duplicate,,northern redbelly dace,northern redbelly dace,Phoxinus eos,Phoxinus eos,Phoxinus eos,Animalia,,,,,Phoxinus,eos
,River Redhorse,Moxostoma carinatum ,,,AWQMS_Fish_Data_Export,add space to end of Taxon_Orig_Sci so not a duplicate,,river redhorse,river redhorse,Moxostoma carinatum,Moxostoma carinatum,Moxostoma carinatum,Animalia,Chordata,Osteichthyes,Cypriniformes,Catostomidae,Moxostoma,carinatum
,Rock Bass,Ambloplites rupestris  ,,,AWQMS_Fish_Data_Export,add space to end of Taxon_Orig_Sci so not a duplicate,,Rock bass,Rock bass,Ambloplites rupestris,Ambloplites rupestris,Ambloplites rupestris,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Ambloplites,rupestris
,White Sucker,Catostomus commersoni ,,,AWQMS_Fish_Data_Export,add space to end of Taxon_Orig_Sci so not a duplicate,,White sucker,White sucker,Catostomus commersoni,Catostomus commersoni,Catostomus commersoni,Animalia,Chordata,Osteichthyes,Cypriniformes,Catostomidae,Catostomus,commersoni
,Yellow Perch,Perca flavescens ,,,AWQMS_Fish_Data_Export,add space to end of Taxon_Orig_Sci so not a duplicate,,Yellow perch,Yellow perch,Perca flavescens,Perca flavescens,Perca flavescens,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Perca,flavescens
,Atlantic salmon,Salmo salar ,,"MN, case",add space to end of Taxon_Orig_Sci so not a duplicate,,,Atlantic Salmon,Atlantic Salmon,Salmo salar,Salmo salar,Salmo salar,Animalia,Chordata,Osteichthyes,Salmoniformes,Salmonidae,Salmo,salar
,banded darter,Etheostoma zonale ,,"MN, case",,add space to end of Taxon_Orig_Sci so not a duplicate,,Banded darter,Banded darter,Etheostoma zonale,Etheostoma zonale,Etheostoma zonale,Animalia,Chordata,Osteichthyes,Perciformes,Percidae,Etheostoma,zonale
,banded killifish,Fundulus diaphanus ,,"MN, case",,add space to end of Taxon_Orig_Sci so not a duplicate,,Banded killifish,Banded killifish,Fundulus diaphanus,Fundulus diaphanus,Fundulus diaphanus,Animalia,Chordata,Osteichthyes,Atheriniformes,Cyprinodontidae,Fundulus,diaphanus
,black crappie,Pomoxis nigromaculatus ,,"MN, case",,add space to end of Taxon_Orig_Sci so not a duplicate,,Black crappie,Black crappie,Pomoxis nigromaculatus,Pomoxis nigromaculatus,Pomoxis nigromaculatus,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Pomoxis,nigromaculatus
,bluegill,Lepomis macrochirus ,,"MN, case",,add space to end of Taxon_Orig_Sci so not a duplicate,,Bluegill,Bluegill,Lepomis macrochirus,Lepomis macrochirus,Lepomis macrochirus,Animalia,Chordata,Osteichthyes,Perciformes,Centrarchidae,Lepomis,macrochirus
,bluntnose minnow,Pimephales notatus ,,"MN, case",,add space to end of Taxon_Orig_Sci so not a duplicate,,Bluntnose minnow,Bluntnose minnow,Pimephales notatus,Pimephales notatus,Pimephales notatus,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Pimephales,notatus
,brook trout,Salvelinus fontinalis ,,"MN, case",,add space to end of Taxon_Orig_Sci so not a duplicate,,Brook trout,Brook trout,Salvelinus fontinalis,Salvelinus fontinalis,Salvelinus fontinalis,Animalia,Chordata,Osteichthyes,Salmoniformes,Salmonidae,Salvelinus,fontinalis
,brown bullhead,Ameiurus nebulosus ,,"MN, case",,add space to end of Taxon_Orig_Sci so not a duplicate,,Brown bullhead,Brown bullhead,Ameiurus nebulosus,Ameiurus nebulosus,Ameiurus nebulosus,Animalia,Chordata,Osteichthyes,Siluriformes,Ictaluridae,Ameiurus,nebulosus
,brown trout,Salmo trutta ,,"MN, case",,add space to end of Taxon_Orig_Sci so not a duplicate,,Brown trout,Brown trout,Salmo trutta,Salmo trutta,Salmo trutta,Animalia,Chordata,Osteichthyes,Salmoniformes,Salmonidae,Salmo,trutta
,central stoneroller,Campostoma anomalum ,,"MN, case",,add space to end of Taxon_Orig_Sci so not a duplicate,,Central stoneroller,Central stoneroller,Campostoma anomalum,Campostoma anomalum,Campostoma anomalum,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Campostoma,anomalum
,channel catfish,Ictalurus punctatus ,,"MN, case",,add space to end of Taxon_Orig_Sci so not a duplicate,,Channel catfish,Channel catfish,Ictalurus punctatus,Ictalurus punctatus,Ictalurus punctatus,Animalia,Chordata,Osteichthyes,Siluriformes,Ictaluridae,Ictalurus,punctatus
,common carp,Cyrpinus carpio ,,"MN, case",,add space to end of Taxon_Orig_Sci so not a duplicate,,Common carp,Common carp,Cyrpinus carpio,Cyrpinus carpio,Cyrpinus carpio,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Cyrpinus,carpio
,common shiner,Luxilus cornutus  ,,"MN, case",,add space to end of Taxon_Orig_Sci so not a duplicate,,Common shiner,Common shiner,Luxilus cornutus,Luxilus cornutus,Luxilus cornutus,Animalia,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Luxilus,cornutus
