"TaxaID","CommonName","NONTARGET","Order","Family","BCG_ATTR","Reproduction","Trophic","Type"
"Oncorhynchus clarki ssp.","Snake river cutthroat trout",FALSE,"Salmoniformes","Salmonidae","6s",,"IV",
"Catostomus insignis","Sonora sucker",FALSE,"Cypriniformes","Catostomidae","6",,"OM",
"Phoxinus erythrogaster","Southern redbelly dace",FALSE,"Cypriniformes","Cyprinidae","x",,"HB",
"Macrhybopsis aestivalis","Speckled chub",FALSE,"Cypriniformes","Cyprinidae","1","Broadcaster","IV",
"Rhinichthys osculus","Speckled dace",FALSE,"Cypriniformes","Cyprinidae","x",,"IV",
"Meda fulgida","Spikedace",FALSE,"Cypriniformes","Cyprinidae","x",,"IV",
"Micropterus punctulatus","Spotted bass",FALSE,"Perciformes","Centrarchidae","4",,"PI",
"Lepiosteus oculatus","Spotted gar",FALSE,,"Lepisosteidae","5",,,"LLNLB"
"Minytrema melanops","Spotted sucker",FALSE,,"Catostomidae","3",,"IV",
"Noturus flavus","Stonecat",FALSE,,"Ictaluridae","4",,,
"Morone saxatilis","Striped bass",FALSE,"Perciformes","Percichthyidae","x",,"PI",
"Mugil cephalus","Striped mullet",FALSE,,"Mugilidae","4",,"OM",
"Phenacobius mirabilis","Suckermouth minnow",FALSE,"Cypriniformes","Cyprinidae","x",,"IV",
"Noturus gyrinus","Tadpole madtom",FALSE,,"Ictaluridae","2",,"IV",
"Tinca tinca","Tench",FALSE,"Cypriniformes","Cyprinidae","6",,,
"Dorosoma petenense","Threadfin shad",FALSE,"Clupeiformes","Clupeidae","6",,"PL",
"Gasterosteus aculeatus","Threespine stickleback",FALSE,,"Gasterosteidae","3",,"IV",
"Cottus rhotheus","Torrent sculpin",FALSE,,"Cottidae","2",,"IV",
"Hysterocarpus traskii","Tule perch",FALSE,,"Embiotocidae","4",,"IV",
"Campostoma","Unknown campostoma",FALSE,,"Cyprinidae","x",,,
"Fundulus","Unknown fundulus",FALSE,,"Fundulidae","x",,,
"Notropis","Unknown notropis",FALSE,,"Cyprinidae","x",,,
"Perciformes","Unknown temperate bass",FALSE,"Perciformes",,"x",,,
"Gila seminuda","Virgin chub",FALSE,,"Cyprinidae","1",,"OM",
"Stizostedion vitreum","Walleye",FALSE,"Perciformes","Percidae","6",,"PI",
"Chaenobryttus gulosus","Warmouth",FALSE,"Perciformes","Centrarchidae","6t",,"IV",
"Notropis texanus","Weed shiner",FALSE,,"Cyprinidae","4",,"HB",
"Gambusia affinis","Western mosquitofish",FALSE,"Cyprinodontiformes","Poeciliidae","5",,"IV",
"Morone chrysops","White bass",FALSE,"Perciformes","Percichthyidae","6",,"PI",
"Ameiurus catus","White catfish",FALSE,,"Ictaluridae","5",,"OM","LLNLB"
"Pomoxis annularis","White crappie",FALSE,"Perciformes","Centrarchidae","6t",,"PI",
"Mugil curema","White mullet",FALSE,,"Mugilidae","x",,"OM",
"Morone americana","White perch",FALSE,,"Moronidae","4",,,
"Cyprinodon tularosa","White sands pupfish",FALSE,"Cyprinodontiformes","Cyprinodontidae","x",,"OM",
"Catostomus commersonii","White sucker",FALSE,"Cypriniformes","Catostomidae","6t",,"OM",
"Morone chrysops x saxatilis","Wiper",FALSE,,"Moronidae","4",,,
"Plagopterus argentissimus","Woundfin",FALSE,,"Cyprinidae","1",,"OM",
"Morone mississippiensis","Yellow bass",FALSE,,"Moronidae","4",,,
"Ameiurus natalis","Yellow bullhead",FALSE,"Siluriformes","Ictaluridae","6t",,"OM",
"Perca flavescens","Yellow perch",FALSE,"Perciformes","Percidae","6",,"IV",
"Acanathogobius flavimanus","Yellowfin goby",FALSE,,"Gobiidae","6",,,
"Gerres cinereus","Yellowfin mojarra",FALSE,,"Gerridae","x",,,
"Catostomus discobolus yarrowi","Zuni bluehead sucker",FALSE,"Cypriniformes","Catostomidae","x",,"HB",
