Taxon_Group,Taxon_orig,NonTarget,Rationale,BenTaxaID,FinalID,OTU_BCG,OTU_IBI,OTU_Final,OTU_Lowest,OTU_Genus,OTU_Family,TSN,ParTSN,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,Family,SubFamily,Tribe,Genus,SubGenus,Species,Variety,Rank
,,,MN Access db,47,Uncinais,Oligochaeta,Oligochaeta,Oligochaeta,NA,NA,NA,68989,68854,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Naididae,,,Uncinais,,,,Genus
,,,MN Access db,49,Tubificidae,Oligochaeta,Oligochaeta,Oligochaeta,NA,NA,NA,68585,68509,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Tubificidae,,,,,,,Family
,,,MN Access db,50,Aulodrilus,Oligochaeta,Oligochaeta,Oligochaeta,NA,NA,NA,68679,68585,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Tubificidae,,,Aulodrilus,,,,Genus
,,,MN Access db,51,Aulodrilus limnobius,Oligochaeta,Oligochaeta,Oligochaeta,NA,NA,NA,68682,68679,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Tubificidae,,,Aulodrilus,,Aulodrilus limnobius,,Species
,,,MN Access db,52,Aulodrilus pigueti,Oligochaeta,Oligochaeta,Oligochaeta,NA,NA,NA,68680,68679,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Tubificidae,,,Aulodrilus,,Aulodrilus pigueti,,Species
,,,MN Access db,53,Aulodrilus pluriseta,Oligochaeta,Oligochaeta,Oligochaeta,NA,NA,NA,68684,68679,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Tubificidae,,,Aulodrilus,,Aulodrilus pluriseta,,Species
,,,MN Access db,54,Bothrioneurum vejdovskyanum,Oligochaeta,Oligochaeta,Oligochaeta,NA,NA,NA,68779,68778,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Tubificidae,,,Bothrioneurum,,Bothrioneurum vejdovskyanum,,Species
,,,MN Access db,55,Branchiura,Oligochaeta,Oligochaeta,Oligochaeta,NA,NA,NA,89404,83677,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Tubificidae,,,Branchiura,,,,Genus
,,,MN Access db,56,Branchiura sowerbyi,Oligochaeta,Oligochaeta,Oligochaeta,NA,NA,NA,68621,68619,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Tubificidae,,,Branchiura,,Branchiura sowerbyi,,Species
,,,MN Access db,57,Ilyodrilus,Oligochaeta,Oligochaeta,Oligochaeta,NA,NA,NA,68660,68585,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Tubificidae,,,Ilyodrilus,,,,Genus
