Taxon_Group,BenTaxaID,FinalID,TSN,ParTSN,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,Family,SubFamily,Tribe,Genus,SubGenus,Species,Variety,Rank,TolVal,TolValSource,FFG,FFGSource,Habit,HabitSource,InBenthics,AdminCheck,DateNameRevised,EnterDate,Comments,Terrestrial,BCG_Attr,data_MN,BCG_Attr_NLF,BCG_Attr_Driftless,BCG_Attr_MN,BCG_Attr_GP,BCG_Attr_RR,BCG_Cool_8,BCG_Cold_9
,76,Hydryphantoidea,,,Arthropoda,,Arachnida,Acarina,Acariformes,Hydryphantoidea,,,,,,,,SubOrder,,WSA,,WSA,,WSA,,FALSE,,2006-01-17,WSA,FALSE,,FALSE,,,,,,,
,77,Oribatida,,,Arthropoda,,Arachnida,Acarina,Acariformes,Oribatida,,,,,,,,SubOrder,,WSA,,WSA,,WSA,,FALSE,,2006-01-17,WSA,FALSE,,FALSE,,,,,,,
,78,Hydrozetidae,553091,83544,Arthropoda,,Arachnida,Acarina,Sarcoptiformes,Oribatei,Hydrozetidae,,,,,,,Family,,WSA,,WSA,,WSA,,FALSE,,2006-01-17,WSA,FALSE,,FALSE,,,,,,,
,79,Trombidiformes,82769,82754,Arthropoda,,Arachnida,Acarina,Trombidiformes,,,,,,,,,Order,8,WSA,PR,WSA,,WSA,,FALSE,,2006-01-17,WSA,FALSE,,FALSE,,,,,,x,x
,80,Anisitsiellidae,83531,82770,Arthropoda,,Arachnida,Acarina,Trombidiformes,Prostigmata,Anisitsiellidae,,,,,,,Family,,WSA,,WSA,,WSA,,FALSE,,2006-01-17,WSA,FALSE,,FALSE,,,,,,,
,81,Arrenuridae,82862,82770,Arthropoda,,Arachnida,Acarina,Trombidiformes,Prostigmata,Arrenuridae,,,,,,,Family,,WSA,,WSA,,WSA,,FALSE,,2006-01-17,WSA,FALSE,,FALSE,,,,,,,
,82,Arrenurus,82864,82862,Arthropoda,,Arachnida,Acarina,Trombidiformes,Prostigmata,Arrenuridae,,,Arrenurus,,,,Genus,,WSA,PR,RBP2 1999,,WSA,,FALSE,,2006-01-17,WSA,FALSE,,FALSE,,,,,,,
,83,Arrenurus problecornis,205791,82864,Arthropoda,,Arachnida,Acarina,Trombidiformes,,Arrenuridae,,,Arrenurus,,Arrenurus problecornis,,Species,,WSA,PR,RBP2 1999,,WSA,,FALSE,,2006-01-17,WSA,FALSE,,FALSE,,,,,,,
,84,Hydrobatidae,174619,174770,Arthropoda,,Arachnida,Acarina,Trombidiformes,,Hydrobatidae,,,,,,,Family,,WSA,,WSA,,WSA,,FALSE,,2006-01-17,WSA,FALSE,,FALSE,,,,,,,
,85,Hygrobatidae,83281,82770,Arthropoda,,Arachnida,Acarina,Trombidiformes,Prostigmata,Hygrobatidae,,,,,,,Family,8,WSA,PR,WSA,,WSA,,FALSE,,2006-01-17,WSA,FALSE,,FALSE,,,,,,,
