TaxaID_orig,OTU_BCG,Modified,Rationale,Notes_ORWA,NM_FINALID,RANK,PHYLUM,SUBPHYLUM,CLASS,SUBCLASS,ORDER,SUBORDER,INFRAORDER,SUPERFAMILY,FAMILY,SUBFAMILY,TRIBE,GENUS,SUBGENUS,SPECIES,SUBSPECIES
Ferrissia rivularis,Ferrissia rivularis,FALSE,,,Ferrissia rivularis,Species,Mollusca,,Gastropoda,,Basommatophora,,,,Ancylidae,,,Ferrissia,,rivularis,
Flabellifera,Flabellifera,FALSE,,,Flabellifera,SubOrder,Arthropoda,Crustacea,Malacostraca,,Isopoda,Flabellifera,,,,,,,,,
FORCIPOMYIA,Forcipomyia,TRUE,formatting - CAPS,,,Genus,Arthropoda,,Insecta,,Diptera,Nematocera,Culicomorpha,,Ceratopogonidae,Forcipomyiinae,,Forcipomyia,,,
Forcipomyiinae,Forcipomyiinae,FALSE,,,Forcipomyiinae,SubFamily,Arthropoda,,Insecta,,Diptera,Nematocera,Culicomorpha,,Ceratopogonidae,Forcipomyiinae,,,,,
FOSSARIA,Fossaria,TRUE,formatting - CAPS,,Fossaria,Genus,Mollusca,,Gastropoda,,Basommatophora,,,,Lymnaeidae,,,Fossaria,,,
Furcatergalia,Furcatergalia,FALSE,,,Furcatergalia,SubOrder,Arthropoda,,Insecta,,Ephemeroptera,Furcatergalia,,,,,,,,,
Galba,Galba,FALSE,,,,Genus,Mollusca,,Gastropoda,,Basommatophora,,,,Lymnaeidae,,,Galba,,,
Gamarus,Gamarus,FALSE,,,Gamarus,Genus,Arthropoda,Crustacea,Malacostraca,,Amphipoda,Gammaridea,,,Gammaridae,,,Gamarus,,,
Gammaridae,Gammaridae,FALSE,,,Gammaridae,Family,Arthropoda,Crustacea,Malacostraca,,Amphipoda,Gammaridea,,,Gammaridae,,,,,,
Gammaridea,Gammaridea,FALSE,,,Gammaridea,SubOrder,Arthropoda,Crustacea,Malacostraca,,Amphipoda,Gammaridea,,,,,,,,,
Gammarus,Gammarus,FALSE,,,Gammarus,Genus,Arthropoda,Crustacea,Malacostraca,,Amphipoda,Gammaridea,,,Gammaridae,,,Gamarus,,,
Gammarus desperatus,Gammarus desperatus,FALSE,,,Gammarus desperatus,Species,Arthropoda,Crustacea,Malacostraca,,Amphipoda,Gammaridea,,,Gammaridae,,,Gamarus,,desperatus,
Gammarus lacustris,Gammarus lacustris,FALSE,,,Gammarus lacustris,Species,Arthropoda,Crustacea,Malacostraca,,Amphipoda,Gammaridea,,,Gammaridae,,,Gamarus,,lacustris,
Gastropoda,Gastropoda,FALSE,,TOO COARSE,Gastropoda,Class,Mollusca,,Gastropoda,,,,,,,,,,,,
Geayia,Geayia,FALSE,,,,Genus,Arthropoda,,Arachnida,,Trombidiformes,,,,Krendowskiidae,,,,,,
Gelasrocorinae,Gelasrocorinae,FALSE,,,Gelasrocorinae,SubFamily,Arthropoda,,Insecta,,Hemiptera,,,,Gelastocoridae,Gelasrocorinae,,,,,
Gelastocoridae,Gelastocoridae,FALSE,,,Gelastocoridae,Family,Arthropoda,,Insecta,,Hemiptera,,,,Gelastocoridae,,,,,,
Gelastocoris,Gelastocoris,FALSE,,toad bugs,Gelastocoris,Genus,Arthropoda,,Insecta,,Hemiptera,,,,Gelastocoridae,Gelasrocorinae,,Gelastocoris,,,
Gelastocoris oculatus,Gelastocoris oculatus,FALSE,,,Gelastocoris oculatus,Species,Arthropoda,,Insecta,,Hemiptera,,,,Gelastocoridae,Gelasrocorinae,,Gelastocoris,,oculatus,
Gerridae,Gerridae,FALSE,,Excluded as water column or surface dwellers,Gerridae,Family,Arthropoda,,Insecta,,Hemiptera,Heteroptera,,,Gerridae,,,,,,
Gerrinae,Gerrinae,FALSE,,Excluded as water column or surface dwellers,Gerrinae,SubFamily,Arthropoda,,Insecta,,Hemiptera,Heteroptera,,,Gerridae,Gerrinae,,,,,
Gerris,Gerris,FALSE,,Excluded as water column or surface dwellers,Gerris,Genus,Arthropoda,,Insecta,,Hemiptera,Heteroptera,,,Gerridae,Gerrinae,,Gerris,,,
Gerris comatus,Gerris comatus,FALSE,,,Gerris comatus,Species,Arthropoda,,Insecta,,Hemiptera,,,,Gerridae,Gerrinae,,Gerris,Gerris (Gerris),comatus,
Gerris marginatus,Gerris marginatus,FALSE,,,Gerris marginatus,Species,Arthropoda,,Insecta,,Hemiptera,,,,Gerridae,Gerrinae,,Gerris,Gerris (Gerris),marginatus,
Gerris remigis,Gerris remigis,FALSE,,,Gerris remigis,Species,Arthropoda,,Insecta,,Hemiptera,,,,Gerridae,Gerrinae,,Gerris,,remigis,
Gillotia,Gillotia,FALSE,,,Gillotia,Genus,Arthropoda,,Insecta,,Diptera,Nematocera,Culicomorpha,,Chironomidae,Chironominae,Chironomini,Gillotia,,,
Gillotia albovirdis,Gillotia albovirdis,FALSE,,,Gillotia albovirdis,Species,Arthropoda,,Insecta,,Diptera,Nematocera,Culicomorpha,,Chironomidae,Chironominae,Chironomini,Gillotia,,albovirdis,
Gloiobdella,Gloiobdella,FALSE,,,,Genus,Annelida,,Hirudinea,Hirudinea,Rhynchobdellida,,,,Glossiphoniidae,,,,,,
Glossiphoniidae,Glossiphoniidae,FALSE,,,Glossiphoniidae,Family,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,,,Glossiphoniidae,,,,,,
Glossosoma,Glossosoma,FALSE,,,Glossosoma,Genus,Arthropoda,,Insecta,,Trichoptera,Spicipalpia,,Glossosomatoidea,Glossosomatidae,Glossosomatinae,Glossosomatini,Glossosoma,,,
