TAXON,Rank,Taxon_Group,NonTarget,FFG,FFG_Source,Habit,Habit_Source,Life_Cycle,Life_Cycle_Source,TolVal,Thermal_indicator,Kingdom,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,SuperFamily,Family,SubFamily,Tribe,GenusGroup,Genus Slash,Genus,SubGenus,SpeciesGroup,SpeciesSubGroup,SpeciesComplex,Species Slash,Species
LASIODIAMESA,Genus,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,PODONOMINAE,BOREOCHLINI,,,LASIODIAMESA,,,,,,
LAUTERBORNIELLA,Genus,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,,,LAUTERBORNIELLA,,,,,,
LAUTERBORNIELLA AGRAYLOIDES,Species,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,,,LAUTERBORNIELLA,,,,,,LAUTERBORNIELLA AGRAYLOIDES
LAUTERBORNIELLA VARIPENNIS,Species,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,,,LAUTERBORNIELLA,,,,,,LAUTERBORNIELLA VARIPENNIS
LIMNOPHYES,Genus,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,ORTHOCLADIINAE,,,,LIMNOPHYES,,,,,,
LOPESCLADIUS,Genus,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,ORTHOCLADIINAE,,,,LOPESCLADIUS,,,,,,
MACROPELOPIA,Genus,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,TANYPODINAE,MACROPELOPIINI,,,MACROPELOPIA,,,,,,
MACROPELOPIA DECEDENS,Species,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,TANYPODINAE,MACROPELOPIINI,,,MACROPELOPIA,,MACROPELOPIA NEBULOSA GROUP,,,,MACROPELOPIA DECEDENS
MACROPELOPIA FLORIDENSIS,Species,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,TANYPODINAE,MACROPELOPIINI,,,MACROPELOPIA,,,,,,MACROPELOPIA FLORIDENSIS
MACROPELOPIINI,Tribe,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,TANYPODINAE,MACROPELOPIINI,,,,,,,,,
MEROPELOPIA,Genus,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,TANYPODINAE,PENTANEURINI,THIENEMANNIMYIA GROUP,,MEROPELOPIA,,,,,,
MEROPELOPIA AMERICANA,Species,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,TANYPODINAE,PENTANEURINI,THIENEMANNIMYIA GROUP,,MEROPELOPIA,,,,,,MEROPELOPIA AMERICANA
MEROPELOPIA FLAVIFRONS,Species,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,TANYPODINAE,PENTANEURINI,THIENEMANNIMYIA GROUP,,MEROPELOPIA,,,,,,MEROPELOPIA FLAVIFRONS
MESOCRICOTOPUS,Genus,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,ORTHOCLADIINAE,,,,MESOCRICOTOPUS,,,,,,
MESOCRICOTOPUS LOTICUS,Species,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,ORTHOCLADIINAE,,,,MESOCRICOTOPUS,,,,,,MESOCRICOTOPUS LOTICUS
MESOCRICOTOPUS THIENEMANNI,Species,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,ORTHOCLADIINAE,,,,MESOCRICOTOPUS,,,,,,MESOCRICOTOPUS THIENEMANNI
MESOSMITTIA,Genus,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,ORTHOCLADIINAE,,,,MESOSMITTIA,,,,,,
METRIOCNEMUS,Genus,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,ORTHOCLADIINAE,,,,METRIOCNEMUS,,,,,,
METRIOCNEMUS EURYNOTUS GROUP,SpeciesGroup,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,ORTHOCLADIINAE,,,,METRIOCNEMUS,,METRIOCNEMUS EURYNOTUS GROUP,,,,
METRIOCNEMUS FUSCIPES GROUP,SpeciesGroup,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,ORTHOCLADIINAE,,,,METRIOCNEMUS,,METRIOCNEMUS FUSCIPES GROUP,,,,
METRIOCNEMUS HYGROPETRICUS GROUP,SpeciesGroup,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,ORTHOCLADIINAE,,,,METRIOCNEMUS,,METRIOCNEMUS HYGROPETRICUS GROUP,,,,
MICROCHIRONOMUS,Genus,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,HARNISCHIA COMPLEX,,MICROCHIRONOMUS,,,,,,
MICROPSECTRA,Genus,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,CHIRONOMINAE,TANYTARSINI,,MICROPSECTRA/TANYTARSUS,MICROPSECTRA,,,,,,
MICROPSECTRA/TANYTARSUS,Genus slash,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,CHIRONOMINAE,TANYTARSINI,,MICROPSECTRA/TANYTARSUS,,,,,,,
MICROTENDIPES,Genus,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,,,MICROTENDIPES,,,,,,
MICROTENDIPES CAELUM,Species,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,,,MICROTENDIPES,,,,,,MICROTENDIPES CAELUM
MICROTENDIPES PEDELLUS GROUP,SpeciesGroup,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,,,MICROTENDIPES,,MICROTENDIPES PEDELLUS GROUP,,,,
MICROTENDIPES RYDALENSIS GROUP,SpeciesGroup,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,,,MICROTENDIPES,,MICROTENDIPES RYDALENSIS GROUP,,,,
MONODIAMESA,Genus,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,PRODIAMESINAE,,,,MONODIAMESA,,,,,,
MONODIAMESA BATHYPHILA,Species,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,PRODIAMESINAE,,,,MONODIAMESA,,,,,,MONODIAMESA BATHYPHILA
MONODIAMESA DEPECTINATA,Species,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,PRODIAMESINAE,,,,MONODIAMESA,,,,,,MONODIAMESA DEPECTINATA
MONODIAMESA TUBERCULATA,Species,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,PRODIAMESINAE,,,,MONODIAMESA,,,,,,MONODIAMESA TUBERCULATA
MONOPELOPIA,Genus,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,TANYPODINAE,PENTANEURINI,,,MONOPELOPIA,,,,,,
MONOPELOPIA TENUICALCAR,Species,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,TANYPODINAE,PENTANEURINI,,,MONOPELOPIA,,,,,,MONOPELOPIA TENUICALCAR
NANOCLADIUS,Genus,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,ORTHOCLADIINAE,,,,NANOCLADIUS,,,,,,
NATARSIA,Genus,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,TANYPODINAE,NATARSIINI,,,NATARSIA,,,,,,
NEOSTEMPELLINA REISSI,Species,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,CHIRONOMINAE,TANYTARSINI,,,NEOSTEMPELLINA,,,,,,NEOSTEMPELLINA REISSI
NEOZAVRELIA,Genus,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,ORTHOCLADIINAE,,,,NEOZAVRELIA,,,,,,
NILOTANYPUS,Genus,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,TANYPODINAE,PENTANEURINI,,,NILOTANYPUS,,,,,,
NILOTANYPUS AMERICANUS,Species,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,TANYPODINAE,PENTANEURINI,,,NILOTANYPUS,,,,,,NILOTANYPUS AMERICANUS
NILOTANYPUS FIMBRIATUS,Species,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,TANYPODINAE,PENTANEURINI,,,NILOTANYPUS,,,,,,NILOTANYPUS FIMBRIATUS
NILOTANYPUS KANSENSIS,Species,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,TANYPODINAE,PENTANEURINI,,,NILOTANYPUS,,,,,,NILOTANYPUS KANSENSIS
NILOTHAUMA,Genus,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,,,NILOTHAUMA,,,,,,
NIMBOCERA,Genus,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,CHIRONOMINAE,TANYTARSINI,,,NIMBOCERA,,,,,,
ODONTOMESA,Genus,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,PRODIAMESINAE,,,,ODONTOMESA,,,,,,
OLIVERIDIA,Genus,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,ORTHOCLADIINAE,,,,OLIVERIDIA,,,,,,
OMISUS,Genus,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,,,OMISUS,,,,,,
OMISUS BROWNI,Species,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,,,OMISUS,,,,,,OMISUS BROWNI
OMISUS PICA,Species,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,CHIRONOMINAE,CHIRONOMINI,,,OMISUS,,,,,,OMISUS PICA
ORTHOCLADIINAE,Subfamily,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,ORTHOCLADIINAE,,,,,,,,,,
ORTHOCLADIINAE SPECIES C,Species,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,ORTHOCLADIINAE,,,,,,,,,,ORTHOCLADIINAE SPECIES C
ORTHOCLADIUS,Genus,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,ORTHOCLADIINAE,,,CRICOTOPUS/ORTHOCLADIUS,ORTHOCLADIUS,,,,,,
ORTHOCLADIUS (EUDACTYLOCLADIUS),SubGenus,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,ORTHOCLADIINAE,,,CRICOTOPUS/ORTHOCLADIUS,ORTHOCLADIUS,ORTHOCLADIUS (EUDACTYLOCLADIUS),,,,,
ORTHOCLADIUS (EUORTHOCLADIUS),SubGenus,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,ORTHOCLADIINAE,,,CRICOTOPUS/ORTHOCLADIUS,ORTHOCLADIUS,ORTHOCLADIUS (EUORTHOCLADIUS),,,,,
ORTHOCLADIUS (MESORTHOCLADIUS),SubGenus,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,ORTHOCLADIINAE,,,CRICOTOPUS/ORTHOCLADIUS,ORTHOCLADIUS,ORTHOCLADIUS (MESORTHOCLADIUS),,,,,
ORTHOCLADIUS (ORTHOCLADIUS),SubGenus,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,ORTHOCLADIINAE,,,CRICOTOPUS/ORTHOCLADIUS,ORTHOCLADIUS,ORTHOCLADIUS (ORTHOCLADIUS),,,,,
ORTHOCLADIUS (POGONOCLADIUS),SubGenus,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,ORTHOCLADIINAE,,,CRICOTOPUS/ORTHOCLADIUS,ORTHOCLADIUS,ORTHOCLADIUS (POGONOCLADIUS),,,,,
ORTHOCLADIUS (SYMPOSIOCLADIUS),SubGenus,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,ORTHOCLADIINAE,,,CRICOTOPUS/ORTHOCLADIUS,ORTHOCLADIUS,ORTHOCLADIUS (SYMPOSIOCLADIUS),,,,,
ORTHOCLADIUS ANNECTENS,Species,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,ORTHOCLADIINAE,,,CRICOTOPUS/ORTHOCLADIUS,ORTHOCLADIUS,ORTHOCLADIUS (ORTHOCLADIUS),,,,,ORTHOCLADIUS ANNECTENS
ORTHOCLADIUS CARLATUS,Species,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,ORTHOCLADIINAE,,,CRICOTOPUS/ORTHOCLADIUS,ORTHOCLADIUS,ORTHOCLADIUS (ORTHOCLADIUS),,,,,ORTHOCLADIUS CARLATUS
ORTHOCLADIUS CLARKEI,Species,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,ORTHOCLADIINAE,,,CRICOTOPUS/ORTHOCLADIUS,ORTHOCLADIUS,ORTHOCLADIUS (ORTHOCLADIUS),,,,,ORTHOCLADIUS CLARKEI
ORTHOCLADIUS CURTISETA,Species,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,ORTHOCLADIINAE,,,CRICOTOPUS/ORTHOCLADIUS,ORTHOCLADIUS,ORTHOCLADIUS (ORTHOCLADIUS),,,,,ORTHOCLADIUS CURTISETA
ORTHOCLADIUS DENTIFER,Species,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,ORTHOCLADIINAE,,,CRICOTOPUS/ORTHOCLADIUS,ORTHOCLADIUS,ORTHOCLADIUS (ORTHOCLADIUS),,,,,ORTHOCLADIUS DENTIFER
ORTHOCLADIUS DORENUS,Species,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,ORTHOCLADIINAE,,,CRICOTOPUS/ORTHOCLADIUS,ORTHOCLADIUS,ORTHOCLADIUS (ORTHOCLADIUS),,,,,ORTHOCLADIUS DORENUS
ORTHOCLADIUS DUBITATUS,Species,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,ORTHOCLADIINAE,,,CRICOTOPUS/ORTHOCLADIUS,ORTHOCLADIUS,ORTHOCLADIUS (EUDACTYLOCLADIUS),,,,CRICOTOPUS FUGAX/ORTHOCLADIUS DUBITATUS,ORTHOCLADIUS DUBITATUS
ORTHOCLADIUS FRIGIDUS,Species,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,ORTHOCLADIINAE,,,CRICOTOPUS/ORTHOCLADIUS,ORTHOCLADIUS,ORTHOCLADIUS (ORTHOCLADIUS),,,,,ORTHOCLADIUS FRIGIDUS
ORTHOCLADIUS HELLANTHALI,Species,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,ORTHOCLADIINAE,,,CRICOTOPUS/ORTHOCLADIUS,ORTHOCLADIUS,ORTHOCLADIUS (ORTHOCLADIUS),,,,,ORTHOCLADIUS HELLANTHALI
ORTHOCLADIUS JACOBSEN,Species,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,ORTHOCLADIINAE,,,CRICOTOPUS/ORTHOCLADIUS,ORTHOCLADIUS,ORTHOCLADIUS (ORTHOCLADIUS),,,,,ORTHOCLADIUS JACOBSEN
ORTHOCLADIUS LIGNICOLA,Species,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,ORTHOCLADIINAE,,,CRICOTOPUS/ORTHOCLADIUS,ORTHOCLADIUS,ORTHOCLADIUS (SYMPOSIOCLADIUS),,,,,ORTHOCLADIUS LIGNICOLA
ORTHOCLADIUS LUTEIPES,Species,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,ORTHOCLADIINAE,,,CRICOTOPUS/ORTHOCLADIUS,ORTHOCLADIUS,ORTHOCLADIUS (EUORTHOCLADIUS),,,,,ORTHOCLADIUS LUTEIPES
ORTHOCLADIUS MALLOCHI,Species,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,ORTHOCLADIINAE,,,CRICOTOPUS/ORTHOCLADIUS,ORTHOCLADIUS,ORTHOCLADIUS (ORTHOCLADIUS),,,,,ORTHOCLADIUS MALLOCHI
ORTHOCLADIUS NIGRITUS,Species,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,ORTHOCLADIINAE,,,CRICOTOPUS/ORTHOCLADIUS,ORTHOCLADIUS,ORTHOCLADIUS (ORTHOCLADIUS),,,,,ORTHOCLADIUS NIGRITUS
ORTHOCLADIUS OBUMBRATUS,Species,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,ORTHOCLADIINAE,,,CRICOTOPUS/ORTHOCLADIUS,ORTHOCLADIUS,ORTHOCLADIUS (ORTHOCLADIUS),,,,,ORTHOCLADIUS OBUMBRATUS
ORTHOCLADIUS OLIVERI,Species,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,ORTHOCLADIINAE,,,CRICOTOPUS/ORTHOCLADIUS,ORTHOCLADIUS,ORTHOCLADIUS (ORTHOCLADIUS),,,,,ORTHOCLADIUS OLIVERI
ORTHOCLADIUS RIVICOLA,Species,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,ORTHOCLADIINAE,,,CRICOTOPUS/ORTHOCLADIUS,ORTHOCLADIUS,ORTHOCLADIUS (EUORTHOCLADIUS),,,,,ORTHOCLADIUS RIVICOLA
ORTHOCLADIUS RIVULORUM,Species,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,ORTHOCLADIINAE,,,CRICOTOPUS/ORTHOCLADIUS,ORTHOCLADIUS,ORTHOCLADIUS (EUORTHOCLADIUS),,,,,ORTHOCLADIUS RIVULORUM
ORTHOCLADIUS ROBACKI,Species,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,ORTHOCLADIINAE,,,CRICOTOPUS/ORTHOCLADIUS,ORTHOCLADIUS,ORTHOCLADIUS (ORTHOCLADIUS),,,,,ORTHOCLADIUS ROBACKI
ORTHOCLADIUS RUBICUNDUS,Species,CHIRONOMIDAE,FALSE,,,,,,,,,ANIMALIA,ARTHROPODA,HEXAPODA,INSECTA,PTERYGOTA,DIPTERA,NEMATOCERA,,CHIRONOMIDAE,ORTHOCLADIINAE,,,CRICOTOPUS/ORTHOCLADIUS,ORTHOCLADIUS,ORTHOCLADIUS (ORTHOCLADIUS),,,,,ORTHOCLADIUS RUBICUNDUS
