Taxon_Group,Taxon,NonTarget,LBR_NumSamp,LBR_SumAbund,BCG_attr,BCG_attr2,BCG_attr_Roman,BURP_TOL,FFG,BURP_FFG,Habit,BURP_HABIT,Life_Cycle,BURP_VOLT,LONGLIVED,Thermal_indicator,ThermPref_ORWA,BURP_THERM,ThermVar_ORWA,Habitat,FSBI_2012,BSTI_v2_opt,BSTI_v2_tol,Hemoglobin,LargeRiver,TSN,Kingdom,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,SuperFamily,Family,SubFamily,Tribe,GenusGroup,Genus,SubGenus,SpeciesGroup,SpeciesSubGroup,SpeciesComplex,Species,Comments
Diptera,Caloparyphus,FALSE,,,4,4_middle,IV_middle,8,CG,Gatherer,SP,Sprawler,multi,Univoltine,FALSE,,warm,Eurythermal: warm summer,,GENE,,,,,,130409,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,,Stratiomyidae,Stratiomyinae,Oxycerini,,Caloparyphus,,,,,,
Odonata,Calopteryx,FALSE,,,NA,,NA,5,PR,Predator,"CN,CB",Climber,semi,Facultative Semivoltine,FALSE,,,Eurythermal: cool summer,,LOTI,,,,,,102052,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Zygoptera,,Calopterygidae,,,,Calopteryx,,,,,,
Crustacea,Cambaridae,FALSE,,,6t,,VI t,6.6,OM,Gatherer,SP,,semi,,TRUE,,,,,GENE,,,,F,,97336,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Decapoda,Pleocyemata,,Cambaridae,,,,,,,,,,
Ephemeroptera,Camelobaetidius,FALSE,2,33.368,NA,,NA,7,CG,Gatherer,"SW,CN",Clinger/Swimmer,multi,Facultative Multivoltine,FALSE,,,Eurythermal: warm summer,,LOTI,,,,,TRUE,568548,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Camelobaetidius,,,,,,
Plecoptera,Capniidae,FALSE,,,3,,III,4,SH,Shredder,"SP,CN",Clinger,uni,Univoltine,FALSE,cool,cool,Stenothermal: cold,,LOTI,,10.87852929,15.99463653,,,102643,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Plecoptera,Euholognatha,,Capniidae,,,,,,,,,,
Chironomidae,Cardiocladius,FALSE,80,6635.376,4,4_better,IV_better,5,PR,Predator,"BU,CN",Burrower/Clinger,multi,Bivo/Multivo,FALSE,,warm,Eurythermal: warm summer,,LOTI,,15.99763805,15.19269986,,TRUE,128511,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Cardiocladius,,,,,,
Ephemeroptera,Caudatella,FALSE,1,9,2,,II,4,"CG,SC",Gatherer/Scraper/Shredder,CN,Clinger,uni,Univoltine,FALSE,cool,,Stenothermal: cold,yes,LOTI,15,5.639547841,7.377314554,,,101347,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Furcatergalia,,Ephemerellidae,,,,Caudatella,,,,,,
Ephemeroptera,Caudatella edmundsi,FALSE,,,1i,,I i,3,"CG,SC",Gatherer/Scraper/Shredder,CN,Clinger,uni,Univoltine,FALSE,,,Stenothermal: cold,,LOTI,,,,,,568631,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Furcatergalia,,Ephemerellidae,,,,Caudatella,,,,,edmundsi,
Ephemeroptera,Caudatella heterocaudata complex,FALSE,,,2,,II,,"CG,SC",,CN,,uni,,FALSE,,cold,,,LOTI,,,,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Furcatergalia,,Ephemerellidae,,,,Caudatella,,,,heterocaudata complex,,
Ephemeroptera,Caudatella hystrix,FALSE,,,2,,II,3,"CG,SC",Gatherer/Scraper/Shredder,CN,Clinger,uni,Univoltine,FALSE,,stenoc,Stenothermal: cold,,LOTI,15,,,,,101348,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Furcatergalia,,Ephemerellidae,,,,Caudatella,,,,,hystrix,
Trichoptera,Ceraclea,FALSE,16,169.432,3,,III,6,"CG,MH,PR",Omnivore,"CB,SP,BU",Clinger,uni,,FALSE,,,Eurythermal: warm summer,,GENE,,,,,TRUE,116684,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,Integripalpia,Leptoceroidea,Leptoceridae,Leptocerinae,Athripsodini,,Ceraclea,,,,,,
Diptera,Ceratopogonidae,FALSE,,,NA,,NA,6,"PR,CG,SC",Predator,"SP,BU",Sprawler/Burrower/Swimmer,multi,Facultative Multivoltine,FALSE,,,Eurythermal: warm summer,yes,GENE,,,,F,,127338,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Ceratopogonidae,,,,,,,,,,
Diptera,Ceratopogoninae,FALSE,7,113.672,4,4_middle,IV_middle,6,PR,Predator,BU,Burrower,multi,Facultative Multivoltine,FALSE,,cool,Eurythermal: warm summer,,GENE,,25.02022744,26.61934866,U,,127338,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Ceratopogonidae,Ceratopogoninae,,,,,,,,,
Chironomidae,Chaetocladius,FALSE,1,15,3,,III,6,CG,Gatherer,SP,Sprawler,multi,,FALSE,,cool,,,GENE,,23.48032861,20.60935757,,,128520,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Chaetocladius,,,,,,
Diptera,Chelifera/Metachela,FALSE,17,158,4,4_middle,IV_middle,,PR,,CN,,uni,,FALSE,cool,cool,,,GENE,,14.69610851,17.67925155,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,,Empididae,Hemerodromiinae,Hemerodromiini,,Chelifera/Metachela,,,,,,
Trichoptera,Cheumatopsyche,FALSE,120,27263.6,5,,V,8,CF,Filterer,CN,Clinger,multi,Facultative Multivoltine,FALSE,,stenow,Eurythermal: warm summer,,LOTI,,28.9546427,23.60616995,,,115408,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,Annulipalpia,Hydropsychoidea,Hydropsychidae,Hydropsychinae,,,Cheumatopsyche,,,,,,
Trichoptera,Chimarra,FALSE,,,4,4_middle,IV_middle,7,CF,Filterer,CN,Clinger,uni,Univoltine,FALSE,,stenow,Eurythermal: warm summer,,LOTI,,,,,TRUE,115273,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,Annulipalpia,Philopotamoidea,Philopotamidae,Chimarrinae,,,Chimarra,,,,,,
Chironomidae,Chironomidae,FALSE,121,10414.588,NA,,NA,6,NA,Gatherer,NA,Burrower,multi,Univo/Bivo/Multivo,FALSE,,,Eurythermal: warm summer,yes,NA,,,,,,127917,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,,,,,,,,,,
Chironomidae,Chironomini,FALSE,,,NA,,NA,7,NA,Gatherer,NA,Burrower,multi,Univo/Bivo/Multivo,FALSE,,,Eurythermal: warm summer,yes,NA,,,,,,129229,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Chironomini,,,,,,,,
Chironomidae,Chironomus,FALSE,5,65.91,5,,V,10,"CG,MH",Filterer,BU,Burrower,multi,Multivoltine,FALSE,,warm,Eurythermal: warm summer,,GENE,,55.27774189,36.04949605,T,,129254,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Chironomini,,Chironomus,,,,,,
Plecoptera,Chloroperlidae,FALSE,2,9,NA,,NA,5,"PR,SC,CG",Predator/Scraper/Gatherer,"CN,BU",Clinger,uni,,FALSE,,,Eurythermal: warm summer,yes,LOTI,,,,U,,103202,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Plecoptera,Systellognatha,,Chloroperlidae,,,,,,,,,,
Ephemeroptera,Choroterpes,FALSE,,,NA,,NA,8,"CG,SC",Gatherer/Scraper,"CN,SP,SW",Clinger,uni,,FALSE,,,Eurythermal: warm summer,,GENE,,,,,TRUE,101108,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Furcatergalia,,Leptophlebiidae,,,,Choroterpes,,,,,,
Trichoptera,Chyrandra,FALSE,1,1,,,NA,,,,UN,,,,FALSE,,,,,,,,,,,568778,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,Integripalpia,Limnephiloidea,Limnephilidae,Limnephilinae,Stenophylacini,,Chyrandra,,,,,,
Ephemeroptera,Cinygma,FALSE,,,4,4_middle,IV_middle,4,"SC,CG",Scraper/Gatherer,CN,Clinger,uni,Univoltine,FALSE,,cold,Eurythermal: cool summer,,LOTI,,15.56683292,16.78078173,,,100598,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Heptageniidae,,,,Cinygma,,,,,,
Ephemeroptera,Cinygmula,FALSE,,,3,,III,5,"SC,CG",Scraper/Gatherer,CN,Clinger,uni,,FALSE,,cool,Eurythermal: cool summer,,LOTI,5,9.621177479,12.17235185,U,,100557,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Heptageniidae,,,,Cinygmula,,,,,,
Plecoptera,Claassenia sabulosa,FALSE,1,7,3,,III,6,PR,Predator,"SP,CN",Clinger,semi,Obligate Semivoltine,TRUE,,warm,Eurythermal: cool summer,,LOTI,20,,,,TRUE,102930,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Plecoptera,Systellognatha,,Perlidae,Perlinae,Perlini,,Claassenia,,,,,sabulosa,
Chironomidae,Cladopelma,FALSE,,,4,4_middle,IV_middle,,CG,Gatherer,BU,Burrower,multi,Bivo/Multivo,FALSE,,,Eurythermal: warm summer,,GENE,,,,T,,129350,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Chironomini,,Cladopelma,,,,,,
Chironomidae,Cladotanytarsus,FALSE,2,18,4,4_better,IV_better,7,"CG,CF",Gatherer/Filterer,"BU,CN",Clinger,multi,Univoltine,FALSE,,warm,Eurythermal: warm summer,,GENE,,11.84767093,14.35860179,,,129873,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Tanytarsini,,Cladotanytarsus,,,,,,
Acari,Clathrosperchon,FALSE,,,,,NA,,"PR,PA",Predator,,,,,FALSE,,,,,,,,,,,,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Rhynchohydracaridae,,,,Clathrosperchon,,,,,,
Coleoptera,Cleptelmis addenda,FALSE,11,82.35,4,4_middle,IV_middle,6,"CG,SC",Scraper/Gatherer,"CN,CB",Clinger,semi,Facultative Semivoltine,TRUE,cool,cowa,Eurythermal: cool summer,,LOTI,,22.38667336,26.28518234,U,,114164,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Elmidae,Elminae,Elmini,,Cleptelmis,,,,,addenda,
Diptera,Clinocera/Trichoclinocera,FALSE,,,3,,III,,PR,,CN,,uni,,FALSE,,,,,GENE,,48.97861034,36.96026254,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,,Empididae,Clinocerinae,,Clinocera/Trichoclinocera,,,,,,,
Odonata,Coenagrionidae,FALSE,3,35,5,,V,9,PR,Predator,CB,Climber,uni,Facultative Semivoltine,FALSE,stenow,stenow,Eurythermal: hot summer,,GENE,,,,,TRUE,102077,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Zygoptera,,Coenagrionidae,,,,,,,,,,
Chironomidae,Constempellina,FALSE,,,4,4_middle,IV_middle,4,"CG,CF",Gatherer/Filterer,SP,Clinger,multi,Facultative Multivoltine,FALSE,,cool,Eurythermal: warm summer,,GENE,,31.46575541,35.66972338,,,129884,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Tanytarsini,,Constempellina,,,,,,
Mollusca,Corbicula,FALSE,33,2594.204,6t,,VI t,6.3,CF,Filterer,"BU,SP",Burrower,semi,Multivoltine,TRUE,,,,,GENE,,,,,TRUE,81385,Animalia,Mollusca,,Bivalvia,Heterodonta,Veneroida,,,Corbiculidae,,,,Corbicula,,,,,,
Mollusca,Corbiculoidea,FALSE,,,4,4_middle,IV_middle,,CF,,"BU,SP",,semi,,FALSE,,warm,,,GENE,,,,,,566875,Animalia,Mollusca,,Bivalvia,Heterodonta,Veneroida,,Corbiculoidea,,,,,,,,,,,
Odonata,Cordulegaster,FALSE,,,2,,II,6,PR,Predator,BU,Burrower,semi,Obligate Semivoltine,TRUE,,cowa,,,LOTI,,,,,,102027,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Anisoptera,,Cordulegastridae,,,,Cordulegaster,,,,,,
Odonata,Corduliidae,FALSE,,,NA,,NA,5,PR,Predator,"SP,CB",Sprawler,semi,,TRUE,,,,,GENE,,,,,,102020,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Odonata,Anisoptera,,Corduliidae,,,,,,,,,,
Hemiptera,Corixidae,FALSE,8,162.426,,,NA,9,,Predator/Macrophyte Piercer/Gatherer,,Swimmer,,Facultative Semivoltine,FALSE,,,Eurythermal: warm summer,,,,,,,TRUE,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Hemiptera,Heteroptera,,Corixidae,,,,,,,,,,
Acari,Corticacarus,FALSE,,,2,,II,,"PR,PA",,UN,,uni,,FALSE,,,,,LOTI,,,,,,,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Hygrobatidae,,,,Coticacarus,,,,,,
Chironomidae,Corynoneura,FALSE,4,61.602,4,4_middle,IV_middle,5,CG,Shredder,SP,Sprawler,multi,Obligate Multivoltine,FALSE,,eurythermal,Eurythermal: warm,,GENE,,24.58798666,25.5585271,,,128563,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Corynoneura,,,,,,
Crustacea,Crangonyx,FALSE,71,12214.918,5,,V,7,CG,Gatherer/Omnivore,SW,Swimmer/Sprawler,multi,Facultative Multivoltine,FALSE,,cowa,Eurythermal: cool summer,,NA,,,,,,95081,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Amphipoda,Gammaridea,,Crangonyctidae,,,,Crangonyx,,,,,,
Chironomidae,Cricotopus,FALSE,89,15696.936,4,4_worse,IV_worse,7,"CG,MH",Shredder,"CN,BU",Clinger,multi,Bivo/Multivo,FALSE,,,Eurythermal: warm summer,yes,GENE,,,,,,128575,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Cricotopus,,,,,,
Chironomidae,Cricotopus (Isocladius),FALSE,4,390.864,4,4_worse,IV_worse,7,"CG,MH",Shredder,"CN,BU",Clinger,multi,Obligate Multivoltine,FALSE,,warm,Eurythermal: warm summer,,GENE,,,,,,568515,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Cricotopus,Isocladius,,,,,
Chironomidae,Cricotopus (Nostococladius),FALSE,,,3,,III,7,MH,Shredder,BU,Clinger,multi,Bivo/Multivo,FALSE,,eurythermal,Eurythermal: warm summer,,LOTI,,10.5265662,13.55625185,,,568516,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Cricotopus,Nostococladius,,,,,
Chironomidae,Cricotopus Bicinctus Group,FALSE,26,449.614,5,,V,,"CG,MH",,"CN,BU",,multi,,FALSE,,warm,,,GENE,,44.36354882,38.36777614,,TRUE,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Cricotopus,Cricotopus,Bicinctus Gr.,,,,
Chironomidae,Cricotopus Trifascia Group,FALSE,70,9247.184,4,4_worse,IV_worse,,"CG,MH",,"CN,BU",,multi,,FALSE,,warm,,,GENE,,,,,TRUE,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Cricotopus,Cricotopus,Trifascia Gr.,,,,
Chironomidae,Cricotopus/Orthocladius,FALSE,100,16871.464,4,4_middle,IV_middle,,"CG,MH",,"CN,BU",,multi,,FALSE,,,,,GENE,,13.49795796,17.26863928,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,Cricotopus/Orthocladius,,,,,,,
Trichoptera,Cryptochia,FALSE,,,2,,II,3,SH,Shredder,"CN,CB",Sprawler,semi,Obligate Semivoltine,TRUE,,cold,Eurythermal: cool summer,,TERR,,19.95569498,14.3268119,,,115907,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,Integripalpia,Limnephiloidea,Limnephilidae,Dicosmoecinae,,,Cryptochia,,,,,,
Chironomidae,Cryptochironomus,FALSE,7,20.654,5,,V,8,PR,Predator,"SP,BU",Burrower/Sprawler,multi,Bivo/Multivo,FALSE,,warm,Eurythermal: warm summer,,GENE,,50.71923008,27.43184316,T,,129368,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Chironomini,,Cryptochironomus,,,,,,
Diptera,Cryptolabis,FALSE,,,3,,III,7,UN,,BU,Burrower,uni,,FALSE,,warm,Eurythermal: cool summer,,LOTI,,4.511719795,7.605249334,,,120488,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Limoniidae,Chioneinae,,,Cryptolabis,,,,,,
Chironomidae,Cryptotendipes,FALSE,,,4,4_middle,IV_middle,7,CG,Gatherer,SP,Sprawler,multi,Obligate Multivoltine,FALSE,,,Stenothermal: warm,,GENE,,,,T,,129394,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Chironomini,,Cryptotendipes,,,,,,
Trichoptera,Culoptila/Protoptila,FALSE,46,1337.608,4,4_worse,IV_worse,7,SC,Scraper,CN,Clinger,multi,Facultative Multivoltine,FALSE,,,Eurythermal: warm summer,,,,,,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,Spicipalpia,Glossosomatoidea,Glossosomatidae,,,Culoptila/Protoptila,,,,,,,
Plecoptera,Cultus,FALSE,,,3,,III,3,PR,Predator,"SP,CN",Clinger,uni,Univoltine,FALSE,,,Eurythermal: cool summer,,LOTI,15,,,,,103137,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Plecoptera,Systellognatha,,Perlodidae,Perlodinae,Diploperlini,,Cultus,,,,,,
Leeches,Cystobranchus,FALSE,,,NA,,NA,,PA,,CN,,uni,,FALSE,,,,,GENE,,,,,,,Animalia,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,,Piscicolidae,Piscicolinae,,,Cystobranchus,,,,,,
Diptera,Dasyhelea,FALSE,,,4,4_worse,IV_worse,,"CG,SC",Gatherer,"SP,CB",Burrower/Swimmer,multi,,FALSE,,warm,,,GENE,,,,,,127278,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Ceratopogonidae,Dasyheleinae,,,Dasyhelea,,,,,,
Crustacea,Decapoda,FALSE,,,NA,,NA,6,NA,Omnivore,NA,Swimmer/Sprawler,UN,,FALSE,,,,yes,NA,,,,,,95599,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,Decapoda,,,,,,,,,,,,,
Chironomidae,Demicryptochironomus,FALSE,,,4,4_middle,IV_middle,8,CG,Gatherer,BU,Burrower,multi,Univoltine,FALSE,,,Eurythermal: warm summer,,GENE,,,,T,,129421,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Chironomini,,Demicryptochironomus,,,,,,
Chironomidae,Derotanypus,FALSE,,,NA,,NA,,PR,,UN,,multi,,FALSE,,,,,GENE,,,,,,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Tanypodinae,,,Derotanypus,,,,,,
Plecoptera,Despaxia augusta,FALSE,,,3,,III,3,SH,Shredder,"SP,CN",Clinger,uni,Facultative Semivoltine,FALSE,,cool,Stenothermal: cold,,LOTI,20,10.87992384,15.41960378,,,102841,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Plecoptera,Euholognatha,,Leuctridae,Leuctrinae,,,Despaxia,,,,,augusta,
Diptera,Deuterophlebia,FALSE,,,2,,II,2,SC,Scraper,CN,Clinger,uni,Univoltine,FALSE,,,Stenothermal: cold,,LOTI,,,,,,121287,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Deuterophlebiidae,,,,Deuterophlebia,,,,,,
Chironomidae,Diamesa,FALSE,47,2775.224,3,,III,6,"CG,SC",Gatherer/Scraper,SP,Sprawler,multi,Univoltine,FALSE,,cold,Eurythermal: warm summer,,LOTI,,6.578592492,7.404815391,,,128355,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Diamesinae,Diamesini,,Diamesa,,,,,,
Chironomidae,Diamesinae,FALSE,,,3,,III,4,"CG,SC",Gatherer,"SP,CN",Sprawler,multi,Univoltine,FALSE,,,Eurythermal: warm summer,yes,GENE,,,,U,,128341,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Diamesinae,,,,,,,,,
Trichoptera,Dicosmoecus,FALSE,,,3,,III,4,"SC,SH",Omnivore,"CN,CB",Sprawler,UN,Facultative Semivoltine,FALSE,,,Eurythermal: cool summer,yes,LOTI,10,,,U,,116265,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,Integripalpia,Limnephiloidea,Limnephilidae,Dicosmoecinae,,,Dicosmoecus,,,,,,
Trichoptera,Dicosmoecus atripes,FALSE,,,2,,II,2,"SH,SC,PR",Predator/Scraper/Shredder,"CN,SP",Clinger,semi,Facultative Semivoltine,TRUE,,cool,Eurythermal: cool summer,,LOTI,,10.00963295,11.51828665,U,,116266,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,Integripalpia,Limnephiloidea,Limnephilidae,Dicosmoecinae,,,Dicosmoecus,,,,,atripes,
Trichoptera,Dicosmoecus gilvipes,FALSE,3,31.712,3,,III,5,"SC,SH",Scraper/Shredder,"CN,CB",Clinger,uni,Facultative Semivoltine,FALSE,,warm,Eurythermal: warm summer,,LOTI,10,12.78879469,14.45883293,,,116268,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,Integripalpia,Limnephiloidea,Limnephilidae,Dicosmoecinae,,,Dicosmoecus,,,,,gilvipes,
Diptera,Dicranomyia,FALSE,3,18,4,4_middle,IV_middle,,"MH,SH",,"BU,SP",,multi,,FALSE,,cool,,,GENE,,,,,,119705,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Limoniidae,Limoniinae,,,Dicranomyia,,,,,,
Diptera,Dicranota,FALSE,4,7,4,4_middle,IV_middle,5,PR,Predator,"SP,BU,CN",Sprawler,uni,Univoltine,FALSE,,cool,Eurythermal: warm summer,,GENE,,18.9011036,24.74437249,,,121027,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Pediciidae,Pediciinae,,,Dicranota,,,,,,
Chironomidae,Dicrotendipes,FALSE,26,793.48,5,,V,8,CG,Gatherer/Filterer,"BU,CN",Burrower,multi,Obligate Multivoltine,FALSE,,warm,Eurythermal: warm summer,,GENE,,17.45361485,23.43919898,T,,129428,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Chironominae,Chironomini,,Dicrotendipes,,,,,,
Ephemeroptera,Diphetor hageni,FALSE,2,87,4,4_better,IV_better,5,CG,Gatherer/Scraper,"SW,CN",Clinger/Swimmer,multi,Facultative Multivoltine,FALSE,,cowa,Eurythermal: warm summer,,LOTI,,13.04408327,16.14837641,,,568550,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Baetidae,,,,Diphetor,,,,,hageni,
Chironomidae,Diplocladius,FALSE,,,5,,V,4,CG,Gatherer,SP,Sprawler,multi,,FALSE,,cowa,Stenothermal: cold,,GENE,,36.4585849,29.73823551,,,128670,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Diplocladius,,,,,,
Diptera,Diptera,FALSE,1,10,NA,,NA,,UN,,UN,,UN,,FALSE,,,,yes,UN,,,,,,118831,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,,,,,,,,,,,,,
Plecoptera,Diura,FALSE,,,2,,II,3,PR,Predator,"SP,CN",Clinger,uni,Facultative Semivoltine,FALSE,,,Eurythermal: cool summer,,LOTI,,,,,,103094,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Plecoptera,Systellognatha,,Perlodidae,Perlodinae,Perlodini,,Diura,,,,,,
Diptera,Dixa,FALSE,,,4,4_better,IV_better,4,"CG,CF",Gatherer,"SW,CB",Swimmer,multi,Facultative Multivoltine,FALSE,,cool,Eurythermal: warm summer,,LOTI,,14.01634853,16.33114913,,,125810,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Dixidae,,,,Dixa,,,,,,
Diptera,Dixella,FALSE,,,4,4_worse,IV_worse,9,CG,Gatherer,"SW,CB",Swimmer,multi,Facultative Multivoltine,FALSE,,cowa,Eurythermal: warm summer,,GENE,,55.82213676,30.58129127,,,125854,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Dixidae,,,,Dixella,,,,,,
Diptera,Dixidae,FALSE,,,NA,,NA,4,"CG,CF",Gatherer,"SW,CB",Swimmer,multi,Facultative Multivoltine,FALSE,,,Eurythermal: warm summer,yes,GENE,,,,,,125809,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Dixidae,,,,,,,,,,
Diptera,Dolichopodidae,FALSE,2,11,5,,V,8,PR,Predator,"SP,BU",Sprawler,uni,Univoltine,FALSE,,,Eurythermal: warm summer,,GENE,,,,,,136824,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Brachycera,,Dolichopodidae,,,,,,,,,,
Trichoptera,Dolophilodes,FALSE,,,2,,II,2,CF,Filterer,CN,Clinger,uni,Facultative Multivoltine,FALSE,,cold,Eurythermal: cool summer,,LOTI,10,8.124993544,7.067578659,U,,115319,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,Annulipalpia,Philopotamoidea,Philopotamidae,Philopotaminae,,,Dolophilodes,,,,,,
Chironomidae,Doncricotopus,FALSE,,,NA,,NA,,UN,Gatherer,UN,Sprawler,multi,,FALSE,,,,,GENE,,,,,,128680,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Chironomidae,Orthocladiinae,,,Doncricotopus,,,,,,
Plecoptera,Doroneuria,FALSE,1,6,2,,II,3,PR,Predator,"SP,CN",Clinger,semi,Obligate Semivoltine,TRUE,,cold,Stenothermal: cold,,LOTI,15,6.44099323,8.718107917,U,,103121,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Plecoptera,Systellognatha,,Perlidae,Acroneuriinae,Acroneuriini,,Doroneuria,,,,,,
